# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2014-12-15 15:02:42 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04116000 GRAND RIVER AT IONIA, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04116000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
# 5s	15s	20d	14n	10s
USGS	04116000	1952-02-01	3760	A
USGS	04116000	1952-02-02	5040	A
USGS	04116000	1952-02-03	4880	A
USGS	04116000	1952-02-04	5120	A
USGS	04116000	1952-02-05	6000	A
USGS	04116000	1952-02-06	6240	A
USGS	04116000	1952-02-07	6080	A
USGS	04116000	1952-02-08	5600	A
USGS	04116000	1952-02-09	4800	A
USGS	04116000	1952-02-10	4320	A
USGS	04116000	1952-02-11	4320	A
USGS	04116000	1952-02-12	4080	A
USGS	04116000	1952-02-13	4000	A
USGS	04116000	1952-02-14	3530	A
USGS	04116000	1952-02-15	2900	A
USGS	04116000	1952-02-16	2830	A
USGS	04116000	1952-02-17	2620	A
USGS	04116000	1952-02-18	2410	A
USGS	04116000	1952-02-19	2270	A
USGS	04116000	1952-02-20	2200	A
USGS	04116000	1952-02-21	1970	A
USGS	04116000	1952-02-22	1950	A
USGS	04116000	1952-02-23	1900	A
USGS	04116000	1952-02-24	1730	A
USGS	04116000	1952-02-25	1790	A
USGS	04116000	1952-02-26	1730	A
USGS	04116000	1952-02-27	1760	A
USGS	04116000	1952-02-28	1850	A
USGS	04116000	1952-02-29	1810	A
USGS	04116000	1952-03-01	1900	A
USGS	04116000	1952-03-02	1830	A
USGS	04116000	1952-03-03	1720	A
USGS	04116000	1952-03-04	2070	A
USGS	04116000	1952-03-05	3180	A
USGS	04116000	1952-03-06	3530	A
USGS	04116000	1952-03-07	3180	A
USGS	04116000	1952-03-08	2970	A
USGS	04116000	1952-03-09	2760	A
USGS	04116000	1952-03-10	3110	A
USGS	04116000	1952-03-11	5360	A
USGS	04116000	1952-03-12	6830	A
USGS	04116000	1952-03-13	7590	A
USGS	04116000	1952-03-14	7350	A
USGS	04116000	1952-03-15	6650	A
USGS	04116000	1952-03-16	6240	A
USGS	04116000	1952-03-17	5760	A
USGS	04116000	1952-03-18	5360	A
USGS	04116000	1952-03-19	5600	A
USGS	04116000	1952-03-20	6480	A
USGS	04116000	1952-03-21	7130	A
USGS	04116000	1952-03-22	7130	A
USGS	04116000	1952-03-23	6930	A
USGS	04116000	1952-03-24	6740	A
USGS	04116000	1952-03-25	6400	A
USGS	04116000	1952-03-26	6080	A
USGS	04116000	1952-03-27	5600	A
USGS	04116000	1952-03-28	5360	A
USGS	04116000	1952-03-29	4800	A
USGS	04116000	1952-03-30	4560	A
USGS	04116000	1952-03-31	4240	A
USGS	04116000	1952-04-01	4080	A
USGS	04116000	1952-04-02	3840	A
USGS	04116000	1952-04-03	3680	A
USGS	04116000	1952-04-04	3600	A
USGS	04116000	1952-04-05	3760	A
USGS	04116000	1952-04-06	4000	A
USGS	04116000	1952-04-07	3760	A
USGS	04116000	1952-04-08	4400	A
USGS	04116000	1952-04-09	5680	A
USGS	04116000	1952-04-10	6480	A
USGS	04116000	1952-04-11	6930	A
USGS	04116000	1952-04-12	6930	A
USGS	04116000	1952-04-13	7850	A
USGS	04116000	1952-04-14	11900	A
USGS	04116000	1952-04-15	13700	A
USGS	04116000	1952-04-16	13100	A
USGS	04116000	1952-04-17	11700	A
USGS	04116000	1952-04-18	10000	A
USGS	04116000	1952-04-19	8160	A
USGS	04116000	1952-04-20	7130	A
USGS	04116000	1952-04-21	6480	A
USGS	04116000	1952-04-22	5840	A
USGS	04116000	1952-04-23	5200	A
USGS	04116000	1952-04-24	4640	A
USGS	04116000	1952-04-25	4160	A
USGS	04116000	1952-04-26	3920	A
USGS	04116000	1952-04-27	3530	A
USGS	04116000	1952-04-28	3180	A
USGS	04116000	1952-04-29	2970	A
USGS	04116000	1952-04-30	2620	A
USGS	04116000	1952-05-01	2410	A
USGS	04116000	1952-05-02	2050	A
USGS	04116000	1952-05-03	2150	A
USGS	04116000	1952-05-04	1890	A
USGS	04116000	1952-05-05	1800	A
USGS	04116000	1952-05-06	1640	A
USGS	04116000	1952-05-07	1660	A
USGS	04116000	1952-05-08	1550	A
USGS	04116000	1952-05-09	1580	A
USGS	04116000	1952-05-10	1550	A
USGS	04116000	1952-05-11	1530	A
USGS	04116000	1952-05-12	1510	A
USGS	04116000	1952-05-13	1480	A
USGS	04116000	1952-05-14	1460	A
USGS	04116000	1952-05-15	1510	A
USGS	04116000	1952-05-16	1490	A
USGS	04116000	1952-05-17	1390	A
USGS	04116000	1952-05-18	1390	A
USGS	04116000	1952-05-19	1430	A
USGS	04116000	1952-05-20	1370	A
USGS	04116000	1952-05-21	1420	A
USGS	04116000	1952-05-22	1590	A
USGS	04116000	1952-05-23	1630	A
USGS	04116000	1952-05-24	2830	A
USGS	04116000	1952-05-25	3680	A
USGS	04116000	1952-05-26	4160	A
USGS	04116000	1952-05-27	4400	A
USGS	04116000	1952-05-28	4480	A
USGS	04116000	1952-05-29	4080	A
USGS	04116000	1952-05-30	3680	A
USGS	04116000	1952-05-31	3110	A
USGS	04116000	1952-06-01	2970	A
USGS	04116000	1952-06-02	2480	A
USGS	04116000	1952-06-03	2340	A
USGS	04116000	1952-06-04	2270	A
USGS	04116000	1952-06-05	2110	A
USGS	04116000	1952-06-06	1820	A
USGS	04116000	1952-06-07	1820	A
USGS	04116000	1952-06-08	1610	A
USGS	04116000	1952-06-09	1520	A
USGS	04116000	1952-06-10	1270	A
USGS	04116000	1952-06-11	1130	A
USGS	04116000	1952-06-12	1140	A
USGS	04116000	1952-06-13	1040	A
USGS	04116000	1952-06-14	1010	A
USGS	04116000	1952-06-15	1030	A
USGS	04116000	1952-06-16	1010	A
USGS	04116000	1952-06-17	968	A
USGS	04116000	1952-06-18	921	A
USGS	04116000	1952-06-19	805	A
USGS	04116000	1952-06-20	749	A
USGS	04116000	1952-06-21	806	A
USGS	04116000	1952-06-22	810	A
USGS	04116000	1952-06-23	785	A
USGS	04116000	1952-06-24	772	A
USGS	04116000	1952-06-25	685	A
USGS	04116000	1952-06-26	780	A
USGS	04116000	1952-06-27	801	A
USGS	04116000	1952-06-28	645	A
USGS	04116000	1952-06-29	678	A
USGS	04116000	1952-06-30	603	A
USGS	04116000	1952-07-01	683	A
USGS	04116000	1952-07-02	603	A
USGS	04116000	1952-07-03	566	A
USGS	04116000	1952-07-04	538	A
USGS	04116000	1952-07-05	537	A
USGS	04116000	1952-07-06	681	A
USGS	04116000	1952-07-07	540	A
USGS	04116000	1952-07-08	581	A
USGS	04116000	1952-07-09	562	A
USGS	04116000	1952-07-10	656	A
USGS	04116000	1952-07-11	509	A
USGS	04116000	1952-07-12	509	A
USGS	04116000	1952-07-13	442	A
USGS	04116000	1952-07-14	535	A
USGS	04116000	1952-07-15	551	A
USGS	04116000	1952-07-16	445	A
USGS	04116000	1952-07-17	635	A
USGS	04116000	1952-07-18	737	A
USGS	04116000	1952-07-19	878	A
USGS	04116000	1952-07-20	866	A
USGS	04116000	1952-07-21	845	A
USGS	04116000	1952-07-22	760	A
USGS	04116000	1952-07-23	836	A
USGS	04116000	1952-07-24	752	A
USGS	04116000	1952-07-25	491	A
USGS	04116000	1952-07-26	637	A
USGS	04116000	1952-07-27	610	A
USGS	04116000	1952-07-28	700	A
USGS	04116000	1952-07-29	618	A
USGS	04116000	1952-07-30	568	A
USGS	04116000	1952-07-31	514	A
USGS	04116000	1952-08-01	515	A
USGS	04116000	1952-08-02	469	A
USGS	04116000	1952-08-03	470	A
USGS	04116000	1952-08-04	818	A
USGS	04116000	1952-08-05	794	A
USGS	04116000	1952-08-06	733	A
USGS	04116000	1952-08-07	655	A
USGS	04116000	1952-08-08	624	A
USGS	04116000	1952-08-09	698	A
USGS	04116000	1952-08-10	767	A
USGS	04116000	1952-08-11	654	A
USGS	04116000	1952-08-12	818	A
USGS	04116000	1952-08-13	581	A
USGS	04116000	1952-08-14	708	A
USGS	04116000	1952-08-15	493	A
USGS	04116000	1952-08-16	1110	A
USGS	04116000	1952-08-17	1400	A
USGS	04116000	1952-08-18	935	A
USGS	04116000	1952-08-19	816	A
USGS	04116000	1952-08-20	769	A
USGS	04116000	1952-08-21	732	A
USGS	04116000	1952-08-22	644	A
USGS	04116000	1952-08-23	590	A
USGS	04116000	1952-08-24	652	A
USGS	04116000	1952-08-25	532	A
USGS	04116000	1952-08-26	476	A
USGS	04116000	1952-08-27	517	A
USGS	04116000	1952-08-28	499	A
USGS	04116000	1952-08-29	513	A
USGS	04116000	1952-08-30	467	A
USGS	04116000	1952-08-31	523	A
USGS	04116000	1952-09-01	598	A
USGS	04116000	1952-09-02	779	A
USGS	04116000	1952-09-03	498	A
USGS	04116000	1952-09-04	843	A
USGS	04116000	1952-09-05	666	A
USGS	04116000	1952-09-06	720	A
USGS	04116000	1952-09-07	584	A
USGS	04116000	1952-09-08	561	A
USGS	04116000	1952-09-09	576	A
USGS	04116000	1952-09-10	497	A
USGS	04116000	1952-09-11	549	A
USGS	04116000	1952-09-12	485	A
USGS	04116000	1952-09-13	472	A
USGS	04116000	1952-09-14	508	A
USGS	04116000	1952-09-15	760	A
USGS	04116000	1952-09-16	589	A
USGS	04116000	1952-09-17	386	A
USGS	04116000	1952-09-18	543	A
USGS	04116000	1952-09-19	508	A
USGS	04116000	1952-09-20	490	A
USGS	04116000	1952-09-21	481	A
USGS	04116000	1952-09-22	567	A
USGS	04116000	1952-09-23	553	A
USGS	04116000	1952-09-24	599	A
USGS	04116000	1952-09-25	592	A
USGS	04116000	1952-09-26	433	A
USGS	04116000	1952-09-27	457	A
USGS	04116000	1952-09-28	412	A
USGS	04116000	1952-09-29	457	A
USGS	04116000	1952-09-30	497	A
USGS	04116000	1952-10-01	390	A
USGS	04116000	1952-10-02	427	A
USGS	04116000	1952-10-03	423	A
USGS	04116000	1952-10-04	420	A
USGS	04116000	1952-10-05	381	A
USGS	04116000	1952-10-06	398	A
USGS	04116000	1952-10-07	392	A
USGS	04116000	1952-10-08	371	A
USGS	04116000	1952-10-09	404	A
USGS	04116000	1952-10-10	435	A
USGS	04116000	1952-10-11	377	A
USGS	04116000	1952-10-12	418	A
USGS	04116000	1952-10-13	436	A
USGS	04116000	1952-10-14	488	A
USGS	04116000	1952-10-15	430	A
USGS	04116000	1952-10-16	506	A
USGS	04116000	1952-10-17	441	A
USGS	04116000	1952-10-18	469	A
USGS	04116000	1952-10-19	562	A
USGS	04116000	1952-10-20	546	A
USGS	04116000	1952-10-21	606	A
USGS	04116000	1952-10-22	479	A
USGS	04116000	1952-10-23	553	A
USGS	04116000	1952-10-24	511	A
USGS	04116000	1952-10-25	470	A
USGS	04116000	1952-10-26	547	A
USGS	04116000	1952-10-27	502	A
USGS	04116000	1952-10-28	484	A
USGS	04116000	1952-10-29	652	A
USGS	04116000	1952-10-30	335	A
USGS	04116000	1952-10-31	528	A
USGS	04116000	1952-11-01	476	A
USGS	04116000	1952-11-02	466	A
USGS	04116000	1952-11-03	603	A
USGS	04116000	1952-11-04	570	A
USGS	04116000	1952-11-05	470	A
USGS	04116000	1952-11-06	484	A
USGS	04116000	1952-11-07	478	A
USGS	04116000	1952-11-08	462	A
USGS	04116000	1952-11-09	472	A
USGS	04116000	1952-11-10	506	A
USGS	04116000	1952-11-11	532	A
USGS	04116000	1952-11-12	532	A
USGS	04116000	1952-11-13	514	A
USGS	04116000	1952-11-14	608	A
USGS	04116000	1952-11-15	482	A
USGS	04116000	1952-11-16	476	A
USGS	04116000	1952-11-17	903	A
USGS	04116000	1952-11-18	1150	A
USGS	04116000	1952-11-19	1190	A
USGS	04116000	1952-11-20	1210	A
USGS	04116000	1952-11-21	1100	A
USGS	04116000	1952-11-22	1280	A
USGS	04116000	1952-11-23	1390	A
USGS	04116000	1952-11-24	1260	A
USGS	04116000	1952-11-25	1470	A
USGS	04116000	1952-11-26	1640	A
USGS	04116000	1952-11-27	1220	A
USGS	04116000	1952-11-28	1420	A
USGS	04116000	1952-11-29	1520	A
USGS	04116000	1952-11-30	1320	A
USGS	04116000	1952-12-01	1250	A
USGS	04116000	1952-12-02	1170	A
USGS	04116000	1952-12-03	1140	A
USGS	04116000	1952-12-04	1120	A
USGS	04116000	1952-12-05	1210	A
USGS	04116000	1952-12-06	1200	A
USGS	04116000	1952-12-07	1250	A
USGS	04116000	1952-12-08	1330	A
USGS	04116000	1952-12-09	1280	A
USGS	04116000	1952-12-10	1480	A
USGS	04116000	1952-12-11	1440	A
USGS	04116000	1952-12-12	1400	A
USGS	04116000	1952-12-13	1450	A
USGS	04116000	1952-12-14	1360	A
USGS	04116000	1952-12-15	1250	A
USGS	04116000	1952-12-16	1180	A
USGS	04116000	1952-12-17	1070	A
USGS	04116000	1952-12-18	1120	A
USGS	04116000	1952-12-19	1090	A
USGS	04116000	1952-12-20	1140	A
USGS	04116000	1952-12-21	1190	A
USGS	04116000	1952-12-22	1390	A
USGS	04116000	1952-12-23	1350	A
USGS	04116000	1952-12-24	1650	A
USGS	04116000	1952-12-25	1760	A
USGS	04116000	1952-12-26	1850	A
USGS	04116000	1952-12-27	1630	A
USGS	04116000	1952-12-28	1440	A
USGS	04116000	1952-12-29	1450	A
USGS	04116000	1952-12-30	1170	A
USGS	04116000	1952-12-31	1390	A
USGS	04116000	1953-01-01	1240	A
USGS	04116000	1953-01-02	1310	A
USGS	04116000	1953-01-03	1200	A
USGS	04116000	1953-01-04	1080	A
USGS	04116000	1953-01-05	1010	A
USGS	04116000	1953-01-06	850	A
USGS	04116000	1953-01-07	600	A
USGS	04116000	1953-01-08	600	A
USGS	04116000	1953-01-09	700	A
USGS	04116000	1953-01-10	1000	A
USGS	04116000	1953-01-11	1100	A
USGS	04116000	1953-01-12	1100	A
USGS	04116000	1953-01-13	1200	A
USGS	04116000	1953-01-14	1200	A
USGS	04116000	1953-01-15	1220	A
USGS	04116000	1953-01-16	1300	A
USGS	04116000	1953-01-17	1460	A
USGS	04116000	1953-01-18	1650	A
USGS	04116000	1953-01-19	1740	A
USGS	04116000	1953-01-20	1400	A
USGS	04116000	1953-01-21	1490	A
USGS	04116000	1953-01-22	1440	A
USGS	04116000	1953-01-23	1340	A
USGS	04116000	1953-01-24	1780	A
USGS	04116000	1953-01-25	1990	A
USGS	04116000	1953-01-26	1920	A
USGS	04116000	1953-01-27	1550	A
USGS	04116000	1953-01-28	1900	A
USGS	04116000	1953-01-29	1500	A
USGS	04116000	1953-01-30	1420	A
USGS	04116000	1953-01-31	1460	A
USGS	04116000	1953-02-01	1200	A
USGS	04116000	1953-02-02	1100	A
USGS	04116000	1953-02-03	1200	A
USGS	04116000	1953-02-04	1400	A
USGS	04116000	1953-02-05	1500	A
USGS	04116000	1953-02-06	1660	A
USGS	04116000	1953-02-07	1550	A
USGS	04116000	1953-02-08	1640	A
USGS	04116000	1953-02-09	1290	A
USGS	04116000	1953-02-10	1340	A
USGS	04116000	1953-02-11	1170	A
USGS	04116000	1953-02-12	1270	A
USGS	04116000	1953-02-13	1150	A
USGS	04116000	1953-02-14	1080	A
USGS	04116000	1953-02-15	1090	A
USGS	04116000	1953-02-16	1150	A
USGS	04116000	1953-02-17	1040	A
USGS	04116000	1953-02-18	1030	A
USGS	04116000	1953-02-19	768	A
USGS	04116000	1953-02-20	951	A
USGS	04116000	1953-02-21	2010	A
USGS	04116000	1953-02-22	1630	A
USGS	04116000	1953-02-23	1530	A
USGS	04116000	1953-02-24	1920	A
USGS	04116000	1953-02-25	1680	A
USGS	04116000	1953-02-26	1650	A
USGS	04116000	1953-02-27	1670	A
USGS	04116000	1953-02-28	1730	A
USGS	04116000	1953-03-01	1600	A
USGS	04116000	1953-03-02	1440	A
USGS	04116000	1953-03-03	1480	A
USGS	04116000	1953-03-04	3320	A
USGS	04116000	1953-03-05	3530	A
USGS	04116000	1953-03-06	3680	A
USGS	04116000	1953-03-07	3180	A
USGS	04116000	1953-03-08	2620	A
USGS	04116000	1953-03-09	2620	A
USGS	04116000	1953-03-10	2480	A
USGS	04116000	1953-03-11	2340	A
USGS	04116000	1953-03-12	2620	A
USGS	04116000	1953-03-13	2760	A
USGS	04116000	1953-03-14	2690	A
USGS	04116000	1953-03-15	3530	A
USGS	04116000	1953-03-16	4000	A
USGS	04116000	1953-03-17	4280	A
USGS	04116000	1953-03-18	4200	A
USGS	04116000	1953-03-19	4200	A
USGS	04116000	1953-03-20	4280	A
USGS	04116000	1953-03-21	4200	A
USGS	04116000	1953-03-22	3880	A
USGS	04116000	1953-03-23	3960	A
USGS	04116000	1953-03-24	3480	A
USGS	04116000	1953-03-25	3480	A
USGS	04116000	1953-03-26	3260	A
USGS	04116000	1953-03-27	3120	A
USGS	04116000	1953-03-28	2910	A
USGS	04116000	1953-03-29	2700	A
USGS	04116000	1953-03-30	2700	A
USGS	04116000	1953-03-31	2140	A
USGS	04116000	1953-04-01	2420	A
USGS	04116000	1953-04-02	2210	A
USGS	04116000	1953-04-03	2210	A
USGS	04116000	1953-04-04	2280	A
USGS	04116000	1953-04-05	2280	A
USGS	04116000	1953-04-06	2290	A
USGS	04116000	1953-04-07	2120	A
USGS	04116000	1953-04-08	2020	A
USGS	04116000	1953-04-09	1960	A
USGS	04116000	1953-04-10	2240	A
USGS	04116000	1953-04-11	2360	A
USGS	04116000	1953-04-12	2770	A
USGS	04116000	1953-04-13	2560	A
USGS	04116000	1953-04-14	2690	A
USGS	04116000	1953-04-15	2360	A
USGS	04116000	1953-04-16	2100	A
USGS	04116000	1953-04-17	2110	A
USGS	04116000	1953-04-18	1930	A
USGS	04116000	1953-04-19	1990	A
USGS	04116000	1953-04-20	2020	A
USGS	04116000	1953-04-21	1780	A
USGS	04116000	1953-04-22	1860	A
USGS	04116000	1953-04-23	1770	A
USGS	04116000	1953-04-24	1610	A
USGS	04116000	1953-04-25	1710	A
USGS	04116000	1953-04-26	1990	A
USGS	04116000	1953-04-27	2490	A
USGS	04116000	1953-04-28	2910	A
USGS	04116000	1953-04-29	2840	A
USGS	04116000	1953-04-30	2910	A
USGS	04116000	1953-05-01	3260	A
USGS	04116000	1953-05-02	3800	A
USGS	04116000	1953-05-03	3960	A
USGS	04116000	1953-05-04	3800	A
USGS	04116000	1953-05-05	3560	A
USGS	04116000	1953-05-06	3480	A
USGS	04116000	1953-05-07	3120	A
USGS	04116000	1953-05-08	2910	A
USGS	04116000	1953-05-09	2770	A
USGS	04116000	1953-05-10	2700	A
USGS	04116000	1953-05-11	2490	A
USGS	04116000	1953-05-12	2280	A
USGS	04116000	1953-05-13	2160	A
USGS	04116000	1953-05-14	2070	A
USGS	04116000	1953-05-15	2140	A
USGS	04116000	1953-05-16	2260	A
USGS	04116000	1953-05-17	2060	A
USGS	04116000	1953-05-18	1940	A
USGS	04116000	1953-05-19	1850	A
USGS	04116000	1953-05-20	1760	A
USGS	04116000	1953-05-21	1860	A
USGS	04116000	1953-05-22	1490	A
USGS	04116000	1953-05-23	1510	A
USGS	04116000	1953-05-24	1260	A
USGS	04116000	1953-05-25	1390	A
USGS	04116000	1953-05-26	1320	A
USGS	04116000	1953-05-27	1380	A
USGS	04116000	1953-05-28	1140	A
USGS	04116000	1953-05-29	1090	A
USGS	04116000	1953-05-30	1140	A
USGS	04116000	1953-05-31	911	A
USGS	04116000	1953-06-01	908	A
USGS	04116000	1953-06-02	873	A
USGS	04116000	1953-06-03	1050	A
USGS	04116000	1953-06-04	860	A
USGS	04116000	1953-06-05	964	A
USGS	04116000	1953-06-06	1300	A
USGS	04116000	1953-06-07	1910	A
