# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-01-07 14:22:16 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04116000 GRAND RIVER AT IONIA, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04116000
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
# 5s	15s	20d	14n	10s
USGS	04116000	2000-10-01	1640	A
USGS	04116000	2000-10-02	1610	A
USGS	04116000	2000-10-03	1560	A
USGS	04116000	2000-10-04	1630	A
USGS	04116000	2000-10-05	1590	A
USGS	04116000	2000-10-06	1610	A
USGS	04116000	2000-10-07	1840	A
USGS	04116000	2000-10-08	1770	A
USGS	04116000	2000-10-09	1680	A
USGS	04116000	2000-10-10	1530	A
USGS	04116000	2000-10-11	1450	A
USGS	04116000	2000-10-12	1370	A
USGS	04116000	2000-10-13	1210	A
USGS	04116000	2000-10-14	1340	A
USGS	04116000	2000-10-15	1010	A
USGS	04116000	2000-10-16	1040	A
USGS	04116000	2000-10-17	1140	A
USGS	04116000	2000-10-18	1100	A
USGS	04116000	2000-10-19	990	A
USGS	04116000	2000-10-20	906	A
USGS	04116000	2000-10-21	918	A
USGS	04116000	2000-10-22	980	A
USGS	04116000	2000-10-23	882	A
USGS	04116000	2000-10-24	1050	A
USGS	04116000	2000-10-25	1300	A
USGS	04116000	2000-10-26	1180	A
USGS	04116000	2000-10-27	1260	A
USGS	04116000	2000-10-28	1290	A
USGS	04116000	2000-10-29	1320	A
USGS	04116000	2000-10-30	1160	A
USGS	04116000	2000-10-31	1170	A
USGS	04116000	2000-11-01	1120	A
USGS	04116000	2000-11-02	1110	A
USGS	04116000	2000-11-03	998	A
USGS	04116000	2000-11-04	1080	A
USGS	04116000	2000-11-05	950	A
USGS	04116000	2000-11-06	961	A
USGS	04116000	2000-11-07	1060	A
USGS	04116000	2000-11-08	994	A
USGS	04116000	2000-11-09	1090	A
USGS	04116000	2000-11-10	1490	A
USGS	04116000	2000-11-11	1960	A
USGS	04116000	2000-11-12	1700	A
USGS	04116000	2000-11-13	1910	A
USGS	04116000	2000-11-14	2400	A
USGS	04116000	2000-11-15	2410	A
USGS	04116000	2000-11-16	2450	A
USGS	04116000	2000-11-17	2370	A
USGS	04116000	2000-11-18	2220	A
USGS	04116000	2000-11-19	2150	A
USGS	04116000	2000-11-20	2070	A
USGS	04116000	2000-11-21	2010	A
USGS	04116000	2000-11-22	1830	A
USGS	04116000	2000-11-23	1830	A
USGS	04116000	2000-11-24	1670	A
USGS	04116000	2000-11-25	1570	A
USGS	04116000	2000-11-26	1550	A
USGS	04116000	2000-11-27	2000	A
USGS	04116000	2000-11-28	2130	A
USGS	04116000	2000-11-29	2090	A
USGS	04116000	2000-11-30	2150	A
USGS	04116000	2000-12-01	2110	A
USGS	04116000	2000-12-02	2020	A
USGS	04116000	2000-12-03	1970	A
USGS	04116000	2000-12-04	1840	A
USGS	04116000	2000-12-05	1750	A
USGS	04116000	2000-12-06	1550	A
USGS	04116000	2000-12-07	1400	A
USGS	04116000	2000-12-08	1350	A
USGS	04116000	2000-12-09	1500	A
USGS	04116000	2000-12-10	1410	A
USGS	04116000	2000-12-11	1290	A
USGS	04116000	2000-12-12	1300	A:e
USGS	04116000	2000-12-13	1300	A:e
USGS	04116000	2000-12-14	1300	A:e
USGS	04116000	2000-12-15	1350	A:e
USGS	04116000	2000-12-16	1450	A:e
USGS	04116000	2000-12-17	1550	A:e
USGS	04116000	2000-12-18	1650	A:e
USGS	04116000	2000-12-19	1900	A:e
USGS	04116000	2000-12-20	1850	A:e
USGS	04116000	2000-12-21	1800	A:e
USGS	04116000	2000-12-22	1750	A:e
USGS	04116000	2000-12-23	1700	A:e
USGS	04116000	2000-12-24	1750	A:e
USGS	04116000	2000-12-25	1750	A:e
USGS	04116000	2000-12-26	1700	A:e
USGS	04116000	2000-12-27	1700	A:e
USGS	04116000	2000-12-28	1700	A:e
USGS	04116000	2000-12-29	1650	A:e
USGS	04116000	2000-12-30	1650	A:e
USGS	04116000	2000-12-31	1600	A:e
USGS	04116000	2001-01-01	1600	A:e
USGS	04116000	2001-01-02	1550	A:e
USGS	04116000	2001-01-03	1500	A:e
USGS	04116000	2001-01-04	1500	A:e
USGS	04116000	2001-01-05	1550	A:e
USGS	04116000	2001-01-06	1600	A:e
USGS	04116000	2001-01-07	1650	A:e
USGS	04116000	2001-01-08	1700	A:e
USGS	04116000	2001-01-09	1650	A:e
USGS	04116000	2001-01-10	1650	A:e
USGS	04116000	2001-01-11	1600	A:e
USGS	04116000	2001-01-12	1600	A:e
USGS	04116000	2001-01-13	1650	A:e
USGS	04116000	2001-01-14	1750	A:e
USGS	04116000	2001-01-15	1850	A:e
USGS	04116000	2001-01-16	2000	A:e
USGS	04116000	2001-01-17	2200	A:e
USGS	04116000	2001-01-18	2350	A:e
USGS	04116000	2001-01-19	2500	A:e
USGS	04116000	2001-01-20	2400	A:e
USGS	04116000	2001-01-21	2200	A:e
USGS	04116000	2001-01-22	1900	A:e
USGS	04116000	2001-01-23	1750	A:e
USGS	04116000	2001-01-24	1900	A:e
USGS	04116000	2001-01-25	1800	A:e
USGS	04116000	2001-01-26	1900	A:e
USGS	04116000	2001-01-27	1600	A:e
USGS	04116000	2001-01-28	1500	A:e
USGS	04116000	2001-01-29	1550	A:e
USGS	04116000	2001-01-30	1900	A:e
USGS	04116000	2001-01-31	2700	A:e
USGS	04116000	2001-02-01	3370	A
USGS	04116000	2001-02-02	3560	A
USGS	04116000	2001-02-03	3390	A
USGS	04116000	2001-02-04	3240	A
USGS	04116000	2001-02-05	2930	A
USGS	04116000	2001-02-06	2940	A
USGS	04116000	2001-02-07	2790	A
USGS	04116000	2001-02-08	2740	A
USGS	04116000	2001-02-09	3690	A
USGS	04116000	2001-02-10	8940	A
USGS	04116000	2001-02-11	13100	A
USGS	04116000	2001-02-12	13600	A
USGS	04116000	2001-02-13	12500	A
USGS	04116000	2001-02-14	11500	A
USGS	04116000	2001-02-15	10200	A
USGS	04116000	2001-02-16	8670	A
USGS	04116000	2001-02-17	7300	A:e
USGS	04116000	2001-02-18	6400	A:e
USGS	04116000	2001-02-19	5700	A:e
USGS	04116000	2001-02-20	5440	A
USGS	04116000	2001-02-21	5070	A
USGS	04116000	2001-02-22	4440	A
USGS	04116000	2001-02-23	4020	A
