# Monthly Mean Gauged Percentage for runoff to LK SUPERIOR  from land surface
# (cubic meters/second) # Subbasin Drainage Area (square meters) =   0.1281E+006 
#
# Tim Hunter, NOAA GLERL, Nov. 13, 2014 email
# attachment copied to Drew, Jacob, Vincent, and me. 
# I am attaching information
# about Lake Superior runoff data. Note that this is from my 2012 update, so it
# doesn't reflect the current state of data availability. Primarily, the values
# from 2011-2012 should be ignored, since I had no Canadian runoff data. But it at
# least shows you what I can provide (once I get this data set updated as far as
# possible), and gives a historical sense.
# 
# Note that my runoff data does NOT use all available gauges. Our procedure is to
# first identify gauges that we might want to include, based on their location
# (not too close to lake, so we avoid backwater effects) and period of record.
# That gives us several dozen gauges per lake. Then, the ARM method only uses the
# most-downstream gauge from any branch of a river. Looking at the data (% gaged
# and number of gages) it might appear incongruous at times, since the number of
# gages may rise when the % falls. But that would be because a downstream gage did
# not report, so upstream gages on two separate branches were then used.
# 
# Note that the file for number of gauges in a month accounts for gaguges that
# report for only some days. This the fractional values. I think the data files
# should be relatively self-explanatory, but let me know if you have any questions
# about the files or methodology.
# 
# Tim
# 
Year       Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep   Oct     Nov     Dec      Ann 
 1908      6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94     6.94
 1909      6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94     6.94
 1910      6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94     6.94
 1911      6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94     6.94
 1912      6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94     6.94
 1913      6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94    6.94     6.94
 1914      6.94    6.94    6.94    6.94    6.94    6.94    6.98    8.14    8.14    8.14    8.14    8.14     7.44
 1915      8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14     8.14
 1916      8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14     8.14
 1917      8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14     8.14
 1918      8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14     8.14
 1919      8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14    8.14     8.14
 1920      8.14    8.14    8.14    8.14    8.14    8.14   10.21   12.15   12.15   12.15   12.15   12.15     9.98
 1921     12.15   12.15   12.15   12.15   12.15   13.38   13.38   13.38   13.38   13.38   12.15    8.14    12.33
 1922      8.14    8.14    8.14   12.15   13.38   13.38   13.38   13.38   13.38   13.38   13.38    8.14    11.53
 1923      6.94    6.94    6.94    8.54   12.17   10.94   12.17   11.52    8.17   10.49   12.17   12.17     9.93
