#
#
# US Geological Survey, Water Resources Data
# retrieved: 2015-01-08 14:48:14 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# dd_nu
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 04108801 MACATAWA RIVER NEAR ZEELAND, MI
# 
# Explanation of Parameter Code and dd_nu used in the Statistics Data 
# parameter_cd	Parameter Name					dd_nu	Location Name
# 00060		Discharge, cubic feet per second		2	
#
#
agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
# 5s	15s	5s	3n	4s	2s	12n
USGS	04108801	00060	2	1960	10	4.36
USGS	04108801	00060	2	1960	11	7.23
USGS	04108801	00060	2	1960	12	5.32
USGS	04108801	00060	2	1961	1	4.42
USGS	04108801	00060	2	1961	2	18.5
USGS	04108801	00060	2	1961	3	107.9
USGS	04108801	00060	2	1961	4	114.6
USGS	04108801	00060	2	1961	5	15.4
USGS	04108801	00060	2	1961	6	4.76
USGS	04108801	00060	2	1961	7	2.79
USGS	04108801	00060	2	1961	8	2.64
USGS	04108801	00060	2	1961	9	47.5
USGS	04108801	00060	2	1961	10	26.7
USGS	04108801	00060	2	1961	11	65.3
USGS	04108801	00060	2	1961	12	33.1
USGS	04108801	00060	2	1962	1	38.6
USGS	04108801	00060	2	1962	2	54.1
USGS	04108801	00060	2	1962	3	342.6
USGS	04108801	00060	2	1962	4	24.5
USGS	04108801	00060	2	1962	5	47.3
USGS	04108801	00060	2	1962	6	4.28
USGS	04108801	00060	2	1962	7	2.84
USGS	04108801	00060	2	1962	8	2.03
USGS	04108801	00060	2	1962	9	7.47
USGS	04108801	00060	2	1962	10	3.97
USGS	04108801	00060	2	1962	11	4.42
USGS	04108801	00060	2	1962	12	5.50
USGS	04108801	00060	2	1963	1	6.05
USGS	04108801	00060	2	1963	2	6.71
USGS	04108801	00060	2	1963	3	340.0
USGS	04108801	00060	2	1963	4	56.0
USGS	04108801	00060	2	1963	5	58.0
USGS	04108801	00060	2	1963	6	7.26
USGS	04108801	00060	2	1963	7	2.90
USGS	04108801	00060	2	1963	8	3.15
USGS	04108801	00060	2	1963	9	2.09
USGS	04108801	00060	2	1963	10	2.56
USGS	04108801	00060	2	1963	11	5.52
USGS	04108801	00060	2	1963	12	6.99
USGS	04108801	00060	2	1964	1	61.4
USGS	04108801	00060	2	1964	2	22.5
USGS	04108801	00060	2	1964	3	141.6
USGS	04108801	00060	2	1964	4	123.9
USGS	04108801	00060	2	1964	5	62.6
USGS	04108801	00060	2	1964	6	7.19
USGS	04108801	00060	2	1964	7	3.69
USGS	04108801	00060	2	1964	8	2.03
USGS	04108801	00060	2	1964	9	2.45
USGS	04108801	00060	2	1964	10	2.79
USGS	04108801	00060	2	1964	11	14.9
USGS	04108801	00060	2	1964	12	63.5
USGS	04108801	00060	2	1965	1	72.7
USGS	04108801	00060	2	1965	2	208.9
USGS	04108801	00060	2	1965	3	196.9
USGS	04108801	00060	2	1965	4	201.0
USGS	04108801	00060	2	1965	5	9.51
USGS	04108801	00060	2	1965	6	4.76
USGS	04108801	00060	2	1965	7	1.94
USGS	04108801	00060	2	1965	8	2.92
USGS	04108801	00060	2	1965	9	11.0
USGS	04108801	00060	2	1965	10	32.2
USGS	04108801	00060	2	1965	11	18.8
USGS	04108801	00060	2	1965	12	182.4
USGS	04108801	00060	2	1966	1	30.2
USGS	04108801	00060	2	1966	2	176.8
USGS	04108801	00060	2	1966	3	127.8
USGS	04108801	00060	2	1966	4	140.7
USGS	04108801	00060	2	1966	5	67.5
USGS	04108801	00060	2	1966	6	12.2
USGS	04108801	00060	2	1966	7	4.89
USGS	04108801	00060	2	1966	8	3.85
USGS	04108801	00060	2	1966	9	2.58
USGS	04108801	00060	2	1966	10	4.45
USGS	04108801	00060	2	1966	11	28.5
USGS	04108801	00060	2	1966	12	98.8
USGS	04108801	00060	2	1967	1	60.5
USGS	04108801	00060	2	1967	2	65.0
USGS	04108801	00060	2	1967	3	177.2
USGS	04108801	00060	2	1967	4	196.6
USGS	04108801	00060	2	1967	5	16.5
USGS	04108801	00060	2	1967	6	118.3
USGS	04108801	00060	2	1967	7	11.1
USGS	04108801	00060	2	1967	8	5.66
USGS	04108801	00060	2	1967	9	3.86
USGS	04108801	00060	2	1967	10	34.1
USGS	04108801	00060	2	1967	11	132.2
USGS	04108801	00060	2	1967	12	114.8
USGS	04108801	00060	2	1968	1	89.8
USGS	04108801	00060	2	1968	2	118.3
USGS	04108801	00060	2	1968	3	55.1
USGS	04108801	00060	2	1968	4	29.0
USGS	04108801	00060	2	1968	5	8.89
USGS	04108801	00060	2	1968	6	16.3
USGS	04108801	00060	2	1968	7	10.7
USGS	04108801	00060	2	1968	8	4.40
USGS	04108801	00060	2	1968	9	3.38
USGS	04108801	00060	2	1968	10	3.93
USGS	04108801	00060	2	1968	11	34.9
USGS	04108801	00060	2	1968	12	36.6
USGS	04108801	00060	2	1969	1	100.2
USGS	04108801	00060	2	1969	2	51.6
