#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 15:56:46 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04109000     00060          GRAND RIVER AT JACKSON, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04109000	00060	1		1935	4	64.3	30
USGS	04109000	00060	1		1935	5	111.5	31
USGS	04109000	00060	1		1935	6	84.8	30
USGS	04109000	00060	1		1935	7	33.3	31
USGS	04109000	00060	1		1935	8	52.7	31
USGS	04109000	00060	1		1935	9	29.8	30
USGS	04109000	00060	1		1935	10	26.4	31
USGS	04109000	00060	1		1935	11	105.5	30
USGS	04109000	00060	1		1935	12	70.6	31
USGS	04109000	00060	1		1936	1	53.0	31
USGS	04109000	00060	1		1936	2	59.3	29
USGS	04109000	00060	1		1936	3	240.4	31
USGS	04109000	00060	1		1936	4	144.6	30
USGS	04109000	00060	1		1936	5	54.7	31
USGS	04109000	00060	1		1936	6	34.3	30
USGS	04109000	00060	1		1936	7	19.5	31
USGS	04109000	00060	1		1936	8	15.1	31
USGS	04109000	00060	1		1936	9	25.4	30
USGS	04109000	00060	1		1936	10	52.4	31
USGS	04109000	00060	1		1936	11	70.7	30
USGS	04109000	00060	1		1936	12	46.6	31
USGS	04109000	00060	1		1937	1	89.4	31
USGS	04109000	00060	1		1937	2	93.7	28
USGS	04109000	00060	1		1937	3	79.3	31
USGS	04109000	00060	1		1937	4	215.1	30
USGS	04109000	00060	1		1937	5	169.5	31
USGS	04109000	00060	1		1937	6	302.7	30
USGS	04109000	00060	1		1937	7	204.3	31
USGS	04109000	00060	1		1937	8	79.1	31
USGS	04109000	00060	1		1937	9	61.7	30
USGS	04109000	00060	1		1937	10	50.9	31
USGS	04109000	00060	1		1937	11	61.7	30
USGS	04109000	00060	1		1937	12	83.4	31
USGS	04109000	00060	1		1938	1	107.4	31
USGS	04109000	00060	1		1938	2	274.2	28
USGS	04109000	00060	1		1938	3	219.0	31
USGS	04109000	00060	1		1938	4	187.6	30
USGS	04109000	00060	1		1938	5	154.8	31
USGS	04109000	00060	1		1938	6	167.4	30
USGS	04109000	00060	1		1938	7	76.9	31
USGS	04109000	00060	1		1938	8	86.1	31
USGS	04109000	00060	1		1938	9	51.4	30
USGS	04109000	00060	1		1938	10	43.7	31
USGS	04109000	00060	1		1938	11	42.3	30
USGS	04109000	00060	1		1938	12	58.5	31
USGS	04109000	00060	1		1939	1	92.6	31
USGS	04109000	00060	1		1939	2	191.7	28
USGS	04109000	00060	1		1939	3	249.6	31
USGS	04109000	00060	1		1939	4	301.9	30
USGS	04109000	00060	1		1939	5	102.5	31
USGS	04109000	00060	1		1939	6	88.5	30
USGS	04109000	00060	1		1939	7	47.0	31
USGS	04109000	00060	1		1939	8	37.5	31
USGS	04109000	00060	1		1939	9	32.7	30
USGS	04109000	00060	1		1939	10	33.8	31
USGS	04109000	00060	1		1939	11	37.0	30
USGS	04109000	00060	1		1939	12	37.3	31
USGS	04109000	00060	1		1940	1	38.9	31
USGS	04109000	00060	1		1940	2	67.8	29
USGS	04109000	00060	1		1940	3	119.5	31
USGS	04109000	00060	1		1940	4	200.3	30
USGS	04109000	00060	1		1940	5	78.4	31
USGS	04109000	00060	1		1940	6	216.7	30
