#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 15:56:47 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04109500     00060          PORTAGE RIVER AT PORTAGE LAKE RD NEAR MUNITH, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04109500	00060	1		1944	4	100.1	30
USGS	04109500	00060	1		1944	5	77.1	31
USGS	04109500	00060	1		1944	6	69.9	30
USGS	04109500	00060	1		1944	7	16.3	31
USGS	04109500	00060	1		1944	8	3.09	31
USGS	04109500	00060	1		1944	9	3.51	30
USGS	04109500	00060	1		1944	10	5.67	31
USGS	04109500	00060	1		1944	11	13.1	30
USGS	04109500	00060	1		1944	12	11.9	31
USGS	04109500	00060	1		1945	1	8.26	31
USGS	04109500	00060	1		1945	2	20.2	28
USGS	04109500	00060	1		1945	3	68.6	31
USGS	04109500	00060	1		1945	4	66.9	30
USGS	04109500	00060	1		1945	5	124.6	31
USGS	04109500	00060	1		1945	6	75.8	30
USGS	04109500	00060	1		1945	7	17.3	31
USGS	04109500	00060	1		1945	8	8.84	31
USGS	04109500	00060	1		1945	9	12.3	30
USGS	04109500	00060	1		1945	10	43.9	31
USGS	04109500	00060	1		1945	11	24.5	30
USGS	04109500	00060	1		1945	12	16.3	31
USGS	04109500	00060	1		1946	1	44.3	31
USGS	04109500	00060	1		1946	2	25.6	28
USGS	04109500	00060	1		1946	3	95.3	31
USGS	04109500	00060	1		1946	4	18.1	30
USGS	04109500	00060	1		1946	5	20.5	31
USGS	04109500	00060	1		1946	6	31.6	30
USGS	04109500	00060	1		1946	7	14.4	31
USGS	04109500	00060	1		1946	8	0.129	31
USGS	04109500	00060	1		1946	9	0.483	30
USGS	04109500	00060	1		1946	10	3.83	31
USGS	04109500	00060	1		1946	11	9.94	30
USGS	04109500	00060	1		1946	12	17.3	31
USGS	04109500	00060	1		1947	1	17.5	31
USGS	04109500	00060	1		1947	2	17.6	28
USGS	04109500	00060	1		1947	3	44.5	31
USGS	04109500	00060	1		1947	4	273.4	30
USGS	04109500	00060	1		1947	5	106.6	31
USGS	04109500	00060	1		1947	6	69.6	30
USGS	04109500	00060	1		1947	7	17.8	31
USGS	04109500	00060	1		1947	8	7.55	31
USGS	04109500	00060	1		1947	9	27.4	30
USGS	04109500	00060	1		1947	10	19.9	31
USGS	04109500	00060	1		1947	11	42.6	30
USGS	04109500	00060	1		1947	12	47.5	31
USGS	04109500	00060	1		1948	1	16.6	31
USGS	04109500	00060	1		1948	2	39.3	29
USGS	04109500	00060	1		1948	3	162.6	31
USGS	04109500	00060	1		1948	4	83.7	30
USGS	04109500	00060	1		1948	5	92.0	31
USGS	04109500	00060	1		1948	6	14.1	30
USGS	04109500	00060	1		1948	7	12.4	31
USGS	04109500	00060	1		1948	8	4.92	31
USGS	04109500	00060	1		1948	9	4.51	30
USGS	04109500	00060	1		1948	10	5.42	31
USGS	04109500	00060	1		1948	11	32.1	30
USGS	04109500	00060	1		1948	12	26.0	31
USGS	04109500	00060	1		1949	1	56.3	31
USGS	04109500	00060	1		1949	2	87.6	28
USGS	04109500	00060	1		1949	3	65.6	31
USGS	04109500	00060	1		1949	4	104.3	30
USGS	04109500	00060	1		1949	5	23.8	31
USGS	04109500	00060	1		1949	6	24.2	30
USGS	04109500	00060	1		1949	7	4.23	31
USGS	04109500	00060	1		1949	8	2.60	31
USGS	04109500	00060	1		1949	9	6.22	30
USGS	04109500	00060	1		1949	10	12.9	31
USGS	04109500	00060	1		1949	11	12.3	30
USGS	04109500	00060	1		1949	12	50.3	31
USGS	04109500	00060	1		1950	1	90.3	31
USGS	04109500	00060	1		1950	2	65.8	28
USGS	04109500	00060	1		1950	3	147.0	31
USGS	04109500	00060	1		1950	4	193.1	30
USGS	04109500	00060	1		1950	5	54.4	31
USGS	04109500	00060	1		1950	6	46.1	30
USGS	04109500	00060	1		1950	7	19.2	31
USGS	04109500	00060	1		1950	8	6.29	31
USGS	04109500	00060	1		1950	9	43.6	30
USGS	04109500	00060	1		1950	10	25.2	31
USGS	04109500	00060	1		1950	11	45.5	30
USGS	04109500	00060	1		1950	12	66.2	31
USGS	04109500	00060	1		1951	1	63.2	31
USGS	04109500	00060	1		1951	2	91.9	28
USGS	04109500	00060	1		1951	3	107.6	31
USGS	04109500	00060	1		1951	4	107.2	30
USGS	04109500	00060	1		1951	5	61.7	31
USGS	04109500	00060	1		1951	6	25.1	30
USGS	04109500	00060	1		1951	7	40.4	31
USGS	04109500	00060	1		1951	8	16.3	31
USGS	04109500	00060	1		1951	9	8.98	30
USGS	04109500	00060	1		1951	10	34.5	31
USGS	04109500	00060	1		1951	11	54.2	30
USGS	04109500	00060	1		1951	12	40.1	31
USGS	04109500	00060	1		1952	1	89.0	31
USGS	04109500	00060	1		1952	2	58.6	29
USGS	04109500	00060	1		1952	3	92.5	31
USGS	04109500	00060	1		1952	4	120.2	30
USGS	04109500	00060	1		1952	5	58.5	31
USGS	04109500	00060	1		1952	6	25.6	30
USGS	04109500	00060	1		1952	7	9.79	31
