#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:48 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04110000     00060          ORCHARD CREEK AT STATE HWY-106 NEAR MUNITH, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04110000	00060	1		1944	3	61.4	31
USGS	04110000	00060	1		1944	4	88.3	30
USGS	04110000	00060	1		1944	5	72.0	31
USGS	04110000	00060	1		1944	6	43.7	30
USGS	04110000	00060	1		1944	7	8.50	31
USGS	04110000	00060	1		1944	8	4.25	31
USGS	04110000	00060	1		1944	9	3.91	30
USGS	04110000	00060	1		1944	10	4.42	31
USGS	04110000	00060	1		1944	11	5.89	30
USGS	04110000	00060	1		1944	12	5.44	31
USGS	04110000	00060	1		1945	1	5.18	31
USGS	04110000	00060	1		1945	2	12.0	28
USGS	04110000	00060	1		1945	3	37.3	31
USGS	04110000	00060	1		1945	4	49.9	30
USGS	04110000	00060	1		1945	5	116.4	31
USGS	04110000	00060	1		1945	6	70.4	30
USGS	04110000	00060	1		1945	7	11.8	31
USGS	04110000	00060	1		1945	8	7.18	31
USGS	04110000	00060	1		1945	9	13.1	30
USGS	04110000	00060	1		1945	10	35.4	31
USGS	04110000	00060	1		1945	11	20.8	30
USGS	04110000	00060	1		1945	12	13.7	31
USGS	04110000	00060	1		1946	1	39.3	31
USGS	04110000	00060	1		1946	2	22.5	28
USGS	04110000	00060	1		1946	3	89.0	31
USGS	04110000	00060	1		1946	4	19.1	30
USGS	04110000	00060	1		1946	5	23.6	31
USGS	04110000	00060	1		1946	6	26.3	30
USGS	04110000	00060	1		1946	7	8.02	31
USGS	04110000	00060	1		1946	8	3.05	31
USGS	04110000	00060	1		1946	9	1.90	30
USGS	04110000	00060	1		1946	10	4.03	31
USGS	04110000	00060	1		1946	11	8.13	30
USGS	04110000	00060	1		1946	12	16.4	31
USGS	04110000	00060	1		1947	1	16.0	31
USGS	04110000	00060	1		1947	2	16.6	28
USGS	04110000	00060	1		1947	3	59.1	31
USGS	04110000	00060	1		1947	4	248.1	30
USGS	04110000	00060	1		1947	5	113.1	31
USGS	04110000	00060	1		1947	6	100.8	30
USGS	04110000	00060	1		1947	7	13.8	31
USGS	04110000	00060	1		1947	8	12.2	31
USGS	04110000	00060	1		1947	9	16.3	30
USGS	04110000	00060	1		1947	10	12.4	31
USGS	04110000	00060	1		1947	11	28.0	30
USGS	04110000	00060	1		1947	12	40.1	31
USGS	04110000	00060	1		1948	1	18.5	31
USGS	04110000	00060	1		1948	2	67.8	29
USGS	04110000	00060	1		1948	3	168.4	31
USGS	04110000	00060	1		1948	4	72.7	30
USGS	04110000	00060	1		1948	5	123.0	31
USGS	04110000	00060	1		1948	6	18.1	30
USGS	04110000	00060	1		1948	7	13.2	31
USGS	04110000	00060	1		1948	8	6.45	31
USGS	04110000	00060	1		1948	9	3.91	30
USGS	04110000	00060	1		1948	10	3.72	31
USGS	04110000	00060	1		1948	11	8.37	30
USGS	04110000	00060	1		1948	12	11.6	31
USGS	04110000	00060	1		1949	1	48.5	31
USGS	04110000	00060	1		1949	2	95.4	28
USGS	04110000	00060	1		1949	3	49.9	31
USGS	04110000	00060	1		1949	4	71.9	30
USGS	04110000	00060	1		1949	5	18.9	31
USGS	04110000	00060	1		1949	6	23.8	30
USGS	04110000	00060	1		1949	7	7.79	31
USGS	04110000	00060	1		1949	8	5.89	31
USGS	04110000	00060	1		1949	9	9.02	30
USGS	04110000	00060	1		1949	10	11.0	31
USGS	04110000	00060	1		1949	11	9.75	30
USGS	04110000	00060	1		1949	12	53.0	31
USGS	04110000	00060	1		1950	1	90.1	31
USGS	04110000	00060	1		1950	2	58.0	28
USGS	04110000	00060	1		1950	3	172.0	31
USGS	04110000	00060	1		1950	4	201.9	30
USGS	04110000	00060	1		1950	5	39.2	31
USGS	04110000	00060	1		1950	6	40.6	30
USGS	04110000	00060	1		1950	7	13.8	31
USGS	04110000	00060	1		1950	8	7.49	31
USGS	04110000	00060	1		1950	9	16.2	30
USGS	04110000	00060	1		1950	10	11.8	31
USGS	04110000	00060	1		1950	11	21.2	30
USGS	04110000	00060	1		1950	12	49.7	31
USGS	04110000	00060	1		1951	1	69.3	31
USGS	04110000	00060	1		1951	2	98.8	28
USGS	04110000	00060	1		1951	3	75.0	31
USGS	04110000	00060	1		1951	4	74.8	30
USGS	04110000	00060	1		1951	5	46.7	31
USGS	04110000	00060	1		1951	6	20.2	30
USGS	04110000	00060	1		1951	7	15.7	31
USGS	04110000	00060	1		1951	8	6.79	31
USGS	04110000	00060	1		1951	9	5.28	30
USGS	04110000	00060	1		1951	10	16.0	31
USGS	04110000	00060	1		1951	11	33.4	30
USGS	04110000	00060	1		1951	12	39.5	31
USGS	04110000	00060	1		1952	1	107.6	31
USGS	04110000	00060	1		1952	2	51.2	29
USGS	04110000	00060	1		1952	3	70.3	31
USGS	04110000	00060	1		1952	4	98.7	30
USGS	04110000	00060	1		1952	5	55.1	31
USGS	04110000	00060	1		1952	6	30.1	30
USGS	04110000	00060	1		1952	7	8.37	31
USGS	04110000	00060	1		1952	8	5.64	31
USGS	04110000	00060	1		1952	9	5.66	30
USGS	04110000	00060	1		1952	10	4.77	31
USGS	04110000	00060	1		1952	11	14.6	30
USGS	04110000	00060	1		1952	12	18.6	31
USGS	04110000	00060	1		1953	1	20.5	31
USGS	04110000	00060	1		1953	2	18.3	28
USGS	04110000	00060	1		1953	3	52.5	31
USGS	04110000	00060	1		1953	4	45.6	30
USGS	04110000	00060	1		1953	5	35.2	31
USGS	04110000	00060	1		1953	6	31.8	30
USGS	04110000	00060	1		1953	7	11.3	31
USGS	04110000	00060	1		1953	8	8.77	31
USGS	04110000	00060	1		1953	9	6.36	30
USGS	04110000	00060	1		1953	10	4.09	31
USGS	04110000	00060	1		1953	11	5.68	30
USGS	04110000	00060	1		1953	12	6.25	31
USGS	04110000	00060	1		1954	1	5.85	31
USGS	04110000	00060	1		1954	2	52.8	28
USGS	04110000	00060	1		1954	3	92.1	31
USGS	04110000	00060	1		1954	4	75.5	30
USGS	04110000	00060	1		1954	5	28.3	31
USGS	04110000	00060	1		1954	6	112.2	30
USGS	04110000	00060	1		1954	7	29.9	31
USGS	04110000	00060	1		1954	8	11.0	31
USGS	04110000	00060	1		1954	9	6.31	30
USGS	04110000	00060	1		1954	10	54.0	31
USGS	04110000	00060	1		1954	11	38.3	30
USGS	04110000	00060	1		1954	12	40.4	31
USGS	04110000	00060	1		1955	1	51.2	31
USGS	04110000	00060	1		1955	2	34.1	28
USGS	04110000	00060	1		1955	3	64.7	31
USGS	04110000	00060	1		1955	4	35.8	30
USGS	04110000	00060	1		1955	5	17.6	31
USGS	04110000	00060	1		1955	6	13.4	30
USGS	04110000	00060	1		1955	7	7.30	31
USGS	04110000	00060	1		1955	8	5.11	31
USGS	04110000	00060	1		1955	9	3.57	30
USGS	04110000	00060	1		1955	10	7.86	31
USGS	04110000	00060	1		1955	11	15.1	30
USGS	04110000	00060	1		1955	12	10.3	31
USGS	04110000	00060	1		1956	1	5.29	31
USGS	04110000	00060	1		1956	2	11.2	29
USGS	04110000	00060	1		1956	3	74.7	31
USGS	04110000	00060	1		1956	4	76.9	30
USGS	04110000	00060	1		1956	5	122.6	31
USGS	04110000	00060	1		1956	6	24.2	30
USGS	04110000	00060	1		1956	7	11.2	31
USGS	04110000	00060	1		1956	8	10.4	31
USGS	04110000	00060	1		1956	9	6.07	30
