#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:49 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04111000     00060          GRAND RIVER NEAR EATON RAPIDS, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04111000	00060	1		1950	10	260.9	31
USGS	04111000	00060	1		1950	11	414.4	30
USGS	04111000	00060	1		1950	12	711.3	31
USGS	04111000	00060	1		1951	1	886.9	31
USGS	04111000	00060	1		1951	2	1214	28
USGS	04111000	00060	1		1951	3	980.0	31
USGS	04111000	00060	1		1951	4	971.7	30
USGS	04111000	00060	1		1951	5	779.4	31
USGS	04111000	00060	1		1951	6	366.7	30
USGS	04111000	00060	1		1951	7	419.1	31
USGS	04111000	00060	1		1951	8	252.9	31
USGS	04111000	00060	1		1951	9	159.7	30
USGS	04111000	00060	1		1951	10	404.9	31
USGS	04111000	00060	1		1951	11	669.9	30
USGS	04111000	00060	1		1951	12	567.8	31
USGS	04111000	00060	1		1952	1	1406	31
USGS	04111000	00060	1		1952	2	791.4	29
USGS	04111000	00060	1		1952	3	1001	31
USGS	04111000	00060	1		1952	4	1348	30
USGS	04111000	00060	1		1952	5	738.0	31
USGS	04111000	00060	1		1952	6	386.9	30
USGS	04111000	00060	1		1952	7	184.6	31
USGS	04111000	00060	1		1952	8	142.0	31
USGS	04111000	00060	1		1952	9	154.4	30
USGS	04111000	00060	1		1952	10	155.0	31
USGS	04111000	00060	1		1952	11	274.6	30
USGS	04111000	00060	1		1952	12	380.6	31
USGS	04111000	00060	1		1953	1	382.2	31
USGS	04111000	00060	1		1953	2	350.9	28
USGS	04111000	00060	1		1953	3	720.5	31
USGS	04111000	00060	1		1953	4	569.0	30
USGS	04111000	00060	1		1953	5	485.2	31
USGS	04111000	00060	1		1953	6	393.4	30
USGS	04111000	00060	1		1953	7	188.9	31
USGS	04111000	00060	1		1953	8	141.5	31
USGS	04111000	00060	1		1953	9	103.5	30
USGS	04111000	00060	1		1953	10	89.7	31
USGS	04111000	00060	1		1953	11	120.8	30
USGS	04111000	00060	1		1953	12	181.8	31
USGS	04111000	00060	1		1954	1	167.5	31
USGS	04111000	00060	1		1954	2	751.0	28
USGS	04111000	00060	1		1954	3	1054	31
USGS	04111000	00060	1		1954	4	1128	30
USGS	04111000	00060	1		1954	5	522.5	31
USGS	04111000	00060	1		1954	6	730.6	30
USGS	04111000	00060	1		1954	7	317.6	31
USGS	04111000	00060	1		1954	8	140.5	31
USGS	04111000	00060	1		1954	9	115.7	30
USGS	04111000	00060	1		1954	10	874.5	31
USGS	04111000	00060	1		1954	11	511.1	30
USGS	04111000	00060	1		1954	12	511.3	31
USGS	04111000	00060	1		1955	1	688.0	31
USGS	04111000	00060	1		1955	2	546.2	28
USGS	04111000	00060	1		1955	3	1039	31
USGS	04111000	00060	1		1955	4	606.9	30
USGS	04111000	00060	1		1955	5	322.9	31
USGS	04111000	00060	1		1955	6	291.7	30
USGS	04111000	00060	1		1955	7	166.6	31
USGS	04111000	00060	1		1955	8	129.2	31
USGS	04111000	00060	1		1955	9	89.2	30
USGS	04111000	00060	1		1955	10	212.4	31
USGS	04111000	00060	1		1955	11	406.2	30
USGS	04111000	00060	1		1955	12	291.9	31
USGS	04111000	00060	1		1956	1	167.0	31
USGS	04111000	00060	1		1956	2	332.1	29
USGS	04111000	00060	1		1956	3	1222	31
USGS	04111000	00060	1		1956	4	919.2	30
USGS	04111000	00060	1		1956	5	1848	31
USGS	04111000	00060	1		1956	6	435.2	30
USGS	04111000	00060	1		1956	7	292.8	31
USGS	04111000	00060	1		1956	8	207.5	31
USGS	04111000	00060	1		1956	9	139.1	30
USGS	04111000	00060	1		1956	10	116.1	31
USGS	04111000	00060	1		1956	11	173.1	30
USGS	04111000	00060	1		1956	12	270.3	31
USGS	04111000	00060	1		1957	1	281.6	31
USGS	04111000	00060	1		1957	2	444.3	28
USGS	04111000	00060	1		1957	3	536.4	31
USGS	04111000	00060	1		1957	4	690.0	30
USGS	04111000	00060	1		1957	5	592.2	31
USGS	04111000	00060	1		1957	6	288.6	30
USGS	04111000	00060	1		1957	7	266.7	31
USGS	04111000	00060	1		1957	8	113.3	31
USGS	04111000	00060	1		1957	9	159.0	30
USGS	04111000	00060	1		1957	10	227.3	31
USGS	04111000	00060	1		1957	11	462.8	30
USGS	04111000	00060	1		1957	12	634.1	31
USGS	04111000	00060	1		1958	1	388.3	31
USGS	04111000	00060	1		1958	2	319.4	28
USGS	04111000	00060	1		1958	3	627.1	31
USGS	04111000	00060	1		1958	4	447.3	30
USGS	04111000	00060	1		1958	5	200.3	31
USGS	04111000	00060	1		1958	6	161.1	30
USGS	04111000	00060	1		1958	7	180.9	31
USGS	04111000	00060	1		1958	8	125.9	31
USGS	04111000	00060	1		1958	9	110.2	30
USGS	04111000	00060	1		1958	10	198.6	31
USGS	04111000	00060	1		1958	11	234.9	30
USGS	04111000	00060	1		1958	12	205.3	31
USGS	04111000	00060	1		1959	1	194.7	31
USGS	04111000	00060	1		1959	2	489.6	28
USGS	04111000	00060	1		1959	3	1442	31
USGS	04111000	00060	1		1959	4	1074	30
USGS	04111000	00060	1		1959	5	533.1	31
USGS	04111000	00060	1		1959	6	224.1	30
USGS	04111000	00060	1		1959	7	118.2	31
USGS	04111000	00060	1		1959	8	113.5	31
USGS	04111000	00060	1		1959	9	101.2	30
USGS	04111000	00060	1		1959	10	348.8	31
USGS	04111000	00060	1		1959	11	503.1	30
USGS	04111000	00060	1		1959	12	492.7	31
USGS	04111000	00060	1		1960	1	830.9	31
USGS	04111000	00060	1		1960	2	727.2	29
USGS	04111000	00060	1		1960	3	591.0	31
USGS	04111000	00060	1		1960	4	1201	30
USGS	04111000	00060	1		1960	5	536.4	31
USGS	04111000	00060	1		1960	6	676.3	30
USGS	04111000	00060	1		1960	7	371.5	31
USGS	04111000	00060	1		1960	8	181.0	31
USGS	04111000	00060	1		1960	9	131.6	30
USGS	04111000	00060	1		1960	10	163.6	31
USGS	04111000	00060	1		1960	11	253.9	30
USGS	04111000	00060	1		1960	12	173.8	31
USGS	04111000	00060	1		1961	1	146.1	31
USGS	04111000	00060	1		1961	2	205.9	28
USGS	04111000	00060	1		1961	3	659.4	31
USGS	04111000	00060	1		1961	4	797.0	30
USGS	04111000	00060	1		1961	5	662.0	31
USGS	04111000	00060	1		1961	6	263.1	30
USGS	04111000	00060	1		1961	7	126.7	31
USGS	04111000	00060	1		1961	8	156.3	31
USGS	04111000	00060	1		1961	9	256.7	30
USGS	04111000	00060	1		1961	10	190.8	31
USGS	04111000	00060	1		1961	11	296.5	30
USGS	04111000	00060	1		1961	12	297.9	31
USGS	04111000	00060	1		1962	1	252.3	31
USGS	04111000	00060	1		1962	2	286.1	28
USGS	04111000	00060	1		1962	3	1144	31
USGS	04111000	00060	1		1962	4	647.0	30
USGS	04111000	00060	1		1962	5	363.4	31
USGS	04111000	00060	1		1962	6	144.3	30
USGS	04111000	00060	1		1962	7	136.7	31
USGS	04111000	00060	1		1962	8	105.1	31
USGS	04111000	00060	1		1962	9	128.1	30
USGS	04111000	00060	1		1962	10	154.0	31
USGS	04111000	00060	1		1962	11	173.1	30
USGS	04111000	00060	1		1962	12	149.3	31
USGS	04111000	00060	1		1963	1	96.5	31
USGS	04111000	00060	1		1963	2	114.9	28
USGS	04111000	00060	1		1963	3	620.8	31
USGS	04111000	00060	1		1963	4	447.2	30
USGS	04111000	00060	1		1963	5	454.1	31
USGS	04111000	00060	1		1963	6	149.3	30
USGS	04111000	00060	1		1963	7	95.8	31
USGS	04111000	00060	1		1963	8	78.8	31
USGS	04111000	00060	1		1963	9	64.6	30
USGS	04111000	00060	1		1963	10	64.6	31
USGS	04111000	00060	1		1963	11	94.7	30
USGS	04111000	00060	1		1963	12	86.0	31
USGS	04111000	00060	1		1964	1	106.9	31
USGS	04111000	00060	1		1964	2	111.5	29
USGS	04111000	00060	1		1964	3	222.9	31
USGS	04111000	00060	1		1964	4	378.4	30
USGS	04111000	00060	1		1964	5	271.9	31
USGS	04111000	00060	1		1964	6	138.1	30
USGS	04111000	00060	1		1964	7	116.9	31
USGS	04111000	00060	1		1964	8	86.4	31
USGS	04111000	00060	1		1964	9	83.0	30
USGS	04111000	00060	1		1964	10	85.6	31
USGS	04111000	00060	1		1964	11	104.4	30
USGS	04111000	00060	1		1964	12	170.8	31
USGS	04111000	00060	1		1965	1	251.0	31
USGS	04111000	00060	1		1965	2	671.1	28
USGS	04111000	00060	1		1965	3	809.5	31
USGS	04111000	00060	1		1965	4	979.8	30
USGS	04111000	00060	1		1965	5	299.7	31
USGS	04111000	00060	1		1965	6	163.8	30
USGS	04111000	00060	1		1965	7	94.7	31
USGS	04111000	00060	1		1965	8	90.3	31
USGS	04111000	00060	1		1965	9	117.5	30
USGS	04111000	00060	1		1965	10	130.8	31
USGS	04111000	00060	1		1965	11	170.4	30
USGS	04111000	00060	1		1965	12	395.8	31
USGS	04111000	00060	1		1966	1	395.1	31
USGS	04111000	00060	1		1966	2	315.3	28
USGS	04111000	00060	1		1966	3	567.5	31
USGS	04111000	00060	1		1966	4	528.8	30
USGS	04111000	00060	1		1966	5	701.6	31
USGS	04111000	00060	1		1966	6	206.0	30
USGS	04111000	00060	1		1966	7	115.7	31
USGS	04111000	00060	1		1966	8	125.8	31
USGS	04111000	00060	1		1966	9	83.5	30
USGS	04111000	00060	1		1966	10	93.5	31
USGS	04111000	00060	1		1966	11	211.2	30
USGS	04111000	00060	1		1966	12	546.5	31
USGS	04111000	00060	1		1967	1	346.5	31
USGS	04111000	00060	1		1967	2	488.2	28
USGS	04111000	00060	1		1967	3	829.7	31
USGS	04111000	00060	1		1967	4	969.4	30
USGS	04111000	00060	1		1967	5	436.0	31
USGS	04111000	00060	1		1967	6	250.0	30
USGS	04111000	00060	1		1967	7	159.4	31
USGS	04111000	00060	1		1967	8	114.9	31
USGS	04111000	00060	1		1967	9	103.7	30
USGS	04111000	00060	1		1967	10	207.6	31
USGS	04111000	00060	1		1967	11	402.8	30
USGS	04111000	00060	1		1967	12	624.1	31
USGS	04111000	00060	1		1968	1	410.6	31
USGS	04111000	00060	1		1968	2	968.3	29
USGS	04111000	00060	1		1968	3	572.5	31
USGS	04111000	00060	1		1968	4	745.4	30
USGS	04111000	00060	1		1968	5	480.9	31
USGS	04111000	00060	1		1968	6	1041	30
USGS	04111000	00060	1		1968	7	1234	31
USGS	04111000	00060	1		1968	8	578.8	31
USGS	04111000	00060	1		1968	9	316.9	30
USGS	04111000	00060	1		1968	10	278.6	31
USGS	04111000	00060	1		1968	11	446.8	30
USGS	04111000	00060	1		1968	12	722.8	31
USGS	04111000	00060	1		1969	1	1058	31
USGS	04111000	00060	1		1969	2	874.4	28
USGS	04111000	00060	1		1969	3	610.3	31
USGS	04111000	00060	1		1969	4	1331	30
USGS	04111000	00060	1		1969	5	1092	31
USGS	04111000	00060	1		1969	6	881.6	30
USGS	04111000	00060	1		1969	7	648.1	31
USGS	04111000	00060	1		1969	8	288.2	31
USGS	04111000	00060	1		1969	9	147.1	30
USGS	04111000	00060	1		1969	10	201.4	31
USGS	04111000	00060	1		1969	11	339.5	30
USGS	04111000	00060	1		1969	12	265.4	31
USGS	04111000	00060	1		1970	1	205.2	31
USGS	04111000	00060	1		1970	2	318.6	28
USGS	04111000	00060	1		1970	3	590.8	31
USGS	04111000	00060	1		1970	4	1158	30
USGS	04111000	00060	1		1970	5	751.6	31
USGS	04111000	00060	1		1970	6	412.8	30
USGS	04111000	00060	1		1970	7	431.7	31
USGS	04111000	00060	1		1970	8	214.0	31
USGS	04111000	00060	1		1970	9	191.0	30
USGS	04111000	00060	1		1970	10	349.1	31
USGS	04111000	00060	1		1970	11	481.7	30
USGS	04111000	00060	1		1970	12	576.8	31
USGS	04111000	00060	1		1971	1	281.4	31
USGS	04111000	00060	1		1971	2	1280	28
USGS	04111000	00060	1		1971	3	1204	31
USGS	04111000	00060	1		1971	4	693.9	30
USGS	04111000	00060	1		1971	5	319.8	31
USGS	04111000	00060	1		1971	6	195.8	30
USGS	04111000	00060	1		1971	7	148.3	31
USGS	04111000	00060	1		1971	8	83.9	31
USGS	04111000	00060	1		1971	9	98.6	30
USGS	04111000	00060	1		1971	10	159.2	31
USGS	04111000	00060	1		1971	11	157.3	30
USGS	04111000	00060	1		1971	12	409.3	31
USGS	04111000	00060	1		1972	1	441.6	31
USGS	04111000	00060	1		1972	2	254.1	29
USGS	04111000	00060	1		1972	3	789.0	31
USGS	04111000	00060	1		1972	4	924.8	30
USGS	04111000	00060	1		1972	5	638.3	31
USGS	04111000	00060	1		1972	6	267.2	30
USGS	04111000	00060	1		1972	7	202.3	31
USGS	04111000	00060	1		1972	8	193.7	31
USGS	04111000	00060	1		1972	9	315.1	30
USGS	04111000	00060	1		1972	10	316.3	31
USGS	04111000	00060	1		1972	11	664.9	30
USGS	04111000	00060	1		1972	12	688.8	31
USGS	04111000	00060	1		1973	1	1085	31
USGS	04111000	00060	1		1973	2	536.9	28
USGS	04111000	00060	1		1973	3	1336	31
USGS	04111000	00060	1		1973	4	1159	30
USGS	04111000	00060	1		1973	5	768.2	31
USGS	04111000	00060	1		1973	6	799.7	30
USGS	04111000	00060	1		1973	7	379.3	31
USGS	04111000	00060	1		1973	8	460.6	31
USGS	04111000	00060	1		1973	9	200.3	30
USGS	04111000	00060	1		1973	10	295.6	31
USGS	04111000	00060	1		1973	11	457.9	30
USGS	04111000	00060	1		1973	12	665.3	31
USGS	04111000	00060	1		1974	1	1087	31
USGS	04111000	00060	1		1974	2	1090	28
USGS	04111000	00060	1		1974	3	1932	31
USGS	04111000	00060	1		1974	4	1561	30
USGS	04111000	00060	1		1974	5	1134	31
USGS	04111000	00060	1		1974	6	537.0	30
USGS	04111000	00060	1		1974	7	191.8	31
USGS	04111000	00060	1		1974	8	162.9	31
USGS	04111000	00060	1		1974	9	137.1	30
USGS	04111000	00060	1		1974	10	163.0	31
USGS	04111000	00060	1		1974	11	297.0	30
USGS	04111000	00060	1		1974	12	362.3	31
USGS	04111000	00060	1		1975	1	577.5	31
USGS	04111000	00060	1		1975	2	652.6	28
USGS	04111000	00060	1		1975	3	873.3	31
USGS	04111000	00060	1		1975	4	1251	30
USGS	04111000	00060	1		1975	5	810.5	31
USGS	04111000	00060	1		1975	6	503.5	30
USGS	04111000	00060	1		1975	7	223.5	31
USGS	04111000	00060	1		1975	8	215.0	31
USGS	04111000	00060	1		1975	9	800.5	30
USGS	04111000	00060	1		1975	10	284.7	31
USGS	04111000	00060	1		1975	11	375.6	30
USGS	04111000	00060	1		1975	12	877.3	31
USGS	04111000	00060	1		1976	1	439.3	31
USGS	04111000	00060	1		1976	2	1227	29
USGS	04111000	00060	1		1976	3	1824	31
USGS	04111000	00060	1		1976	4	992.6	30
USGS	04111000	00060	1		1976	5	1027	31
USGS	04111000	00060	1		1976	6	377.7	30
USGS	04111000	00060	1		1976	7	425.7	31
USGS	04111000	00060	1		1976	8	161.5	31
USGS	04111000	00060	1		1976	9	132.8	30
USGS	04111000	00060	1		1976	10	206.0	31
USGS	04111000	00060	1		1976	11	222.7	30
USGS	04111000	00060	1		1976	12	202.7	31
USGS	04111000	00060	1		1977	1	179.7	31
USGS	04111000	00060	1		1977	2	262.7	28
USGS	04111000	00060	1		1977	3	931.5	31
USGS	04111000	00060	1		1977	4	955.9	30
USGS	04111000	00060	1		1977	5	414.7	31
USGS	04111000	00060	1		1977	6	194.6	30
USGS	04111000	00060	1		1977	7	133.9	31
USGS	04111000	00060	1		1977	8	106.9	31
USGS	04111000	00060	1		1977	9	166.0	30
USGS	04111000	00060	1		1977	10	195.1	31
USGS	04111000	00060	1		1977	11	228.3	30
USGS	04111000	00060	1		1977	12	469.5	31
USGS	04111000	00060	1		1978	1	303.5	31
USGS	04111000	00060	1		1978	2	258.6	28
USGS	04111000	00060	1		1978	3	828.4	31
USGS	04111000	00060	1		1978	4	1281	30
USGS	04111000	00060	1		1978	5	648.6	31
USGS	04111000	00060	1		1978	6	272.9	30
USGS	04111000	00060	1		1978	7	195.4	31
USGS	04111000	00060	1		1978	8	130.1	31
USGS	04111000	00060	1		1978	9	158.4	30
USGS	04111000	00060	1		1978	10	177.2	31
USGS	04111000	00060	1		1978	11	235.6	30
USGS	04111000	00060	1		1978	12	326.0	31
USGS	04111000	00060	1		1979	1	343.7	31
USGS	04111000	00060	1		1979	2	266.7	28
USGS	04111000	00060	1		1979	3	1108	31
USGS	04111000	00060	1		1979	4	875.4	30
USGS	04111000	00060	1		1979	5	531.0	31
USGS	04111000	00060	1		1979	6	211.7	30
USGS	04111000	00060	1		1979	7	212.4	31
USGS	04111000	00060	1		1979	8	235.6	31
USGS	04111000	00060	1		1979	9	116.4	30
USGS	04111000	00060	1		1979	10	143.9	31
USGS	04111000	00060	1		1979	11	251.9	30
USGS	04111000	00060	1		1979	12	421.6	31
USGS	04111000	00060	1		1980	1	437.0	31
USGS	04111000	00060	1		1980	2	290.6	29
USGS	04111000	00060	1		1980	3	732.3	31
USGS	04111000	00060	1		1980	4	1121	30
USGS	04111000	00060	1		1980	5	586.9	31
USGS	04111000	00060	1		1980	6	519.5	30
USGS	04111000	00060	1		1980	7	211.2	31
USGS	04111000	00060	1		1980	8	441.1	31
USGS	04111000	00060	1		1980	9	539.9	30
USGS	04111000	00060	1		1980	10	329.3	31
USGS	04111000	00060	1		1980	11	292.9	30
USGS	04111000	00060	1		1980	12	565.3	31
USGS	04111000	00060	1		1981	1	291.0	31
USGS	04111000	00060	1		1981	2	1004	28
USGS	04111000	00060	1		1981	3	781.3	31
USGS	04111000	00060	1		1981	4	967.4	30
USGS	04111000	00060	1		1981	5	803.6	31
USGS	04111000	00060	1		1981	6	517.7	30
USGS	04111000	00060	1		1981	7	269.7	31
USGS	04111000	00060	1		1981	8	299.8	31
USGS	04111000	00060	1		1981	9	422.8	30
USGS	04111000	00060	1		1981	10	641.5	31
USGS	04111000	00060	1		1981	11	523.9	30
USGS	04111000	00060	1		1981	12	417.9	31
USGS	04111000	00060	1		1982	1	371.5	31
USGS	04111000	00060	1		1982	2	337.5	28
USGS	04111000	00060	1		1982	3	1697	31
USGS	04111000	00060	1		1982	4	1529	30
USGS	04111000	00060	1		1982	5	516.7	31
USGS	04111000	00060	1		1982	6	584.8	30
USGS	04111000	00060	1		1982	7	343.3	31
USGS	04111000	00060	1		1982	8	181.2	31
USGS	04111000	00060	1		1982	9	187.5	30
USGS	04111000	00060	1		1995	10	239.7	31
USGS	04111000	00060	1		1995	11	646.0	30
USGS	04111000	00060	1		1995	12	392.5	31
USGS	04111000	00060	1		1996	1	466.3	31
USGS	04111000	00060	1		1996	2	396.4	29
USGS	04111000	00060	1		1996	3	634.0	31
USGS	04111000	00060	1		1996	4	737.4	30
USGS	04111000	00060	1		1996	5	866.6	31
USGS	04111000	00060	1		1996	6	726.3	30
USGS	04111000	00060	1		1996	7	237.0	31
USGS	04111000	00060	1		1996	8	167.7	31
USGS	04111000	00060	1		1996	9	158.1	30
USGS	04111000	00060	1		1996	10	208.2	31
USGS	04111000	00060	1		1996	11	425.2	30
USGS	04111000	00060	1		1996	12	544.1	31
USGS	04111000	00060	1		1997	1	571.5	31
USGS	04111000	00060	1		1997	2	832.3	28
USGS	04111000	00060	1		1997	3	1231	31
USGS	04111000	00060	1		1997	4	933.5	30
USGS	04111000	00060	1		1997	5	743.8	31
USGS	04111000	00060	1		1997	6	552.2	30
USGS	04111000	00060	1		1997	7	256.5	31
USGS	04111000	00060	1		1997	8	232.5	31
USGS	04111000	00060	1		1997	9	406.1	30
USGS	04111000	00060	1		1997	10	293.8	31
USGS	04111000	00060	1		1997	11	412.1	30
USGS	04111000	00060	1		1997	12	473.7	31
USGS	04111000	00060	1		1998	1	1046	31
USGS	04111000	00060	1		1998	2	1084	28
USGS	04111000	00060	1		1998	3	1457	31
USGS	04111000	00060	1		1998	4	1217	30
USGS	04111000	00060	1		1998	5	985.4	31
USGS	04111000	00060	1		1998	6	425.6	30
USGS	04111000	00060	1		1998	7	271.0	31
USGS	04111000	00060	1		1998	8	257.6	31
USGS	04111000	00060	1		1998	9	182.3	30
USGS	04111000	00060	1		1998	10	212.1	31
USGS	04111000	00060	1		1998	11	266.0	30
USGS	04111000	00060	1		1998	12	301.5	31
USGS	04111000	00060	1		1999	1	587.3	31
USGS	04111000	00060	1		1999	2	773.4	28
USGS	04111000	00060	1		1999	3	566.2	31
USGS	04111000	00060	1		1999	4	944.4	30
USGS	04111000	00060	1		1999	5	615.5	31
USGS	04111000	00060	1		1999	6	269.1	30
USGS	04111000	00060	1		1999	7	316.0	31
USGS	04111000	00060	1		1999	8	166.7	31
USGS	04111000	00060	1		1999	9	97.7	30
USGS	04111000	00060	1		1999	10	147.7	31
USGS	04111000	00060	1		1999	11	177.0	30
USGS	04111000	00060	1		1999	12	303.4	31
USGS	04111000	00060	1		2000	1	280.2	31
USGS	04111000	00060	1		2000	2	314.0	29
USGS	04111000	00060	1		2000	3	465.7	31
USGS	04111000	00060	1		2000	4	569.4	30
USGS	04111000	00060	1		2000	5	791.7	31
USGS	04111000	00060	1		2000	6	744.7	30
USGS	04111000	00060	1		2000	7	610.7	31
USGS	04111000	00060	1		2000	8	590.8	31
USGS	04111000	00060	1		2000	9	352.1	30
USGS	04111000	00060	1		2000	10	392.0	31
USGS	04111000	00060	1		2000	11	472.6	30
