#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:49 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04111379     00060          RED CEDAR RIVER NEAR WILLIAMSTON, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04111379	00060	1		1975	8	36.1	31
USGS	04111379	00060	1		1975	9	132.6	30
USGS	04111379	00060	1		1975	10	46.3	31
USGS	04111379	00060	1		1975	11	72.1	30
USGS	04111379	00060	1		1975	12	248.1	31
USGS	04111379	00060	1		1976	1	79.2	31
USGS	04111379	00060	1		1976	2	410.7	29
USGS	04111379	00060	1		1976	3	471.1	31
USGS	04111379	00060	1		1976	4	224.3	30
USGS	04111379	00060	1		1976	5	189.9	31
USGS	04111379	00060	1		1976	6	51.6	30
USGS	04111379	00060	1		1976	7	61.5	31
USGS	04111379	00060	1		1976	8	17.9	31
USGS	04111379	00060	1		1976	9	18.0	30
USGS	04111379	00060	1		1976	10	25.6	31
USGS	04111379	00060	1		1976	11	26.9	30
USGS	04111379	00060	1		1976	12	27.2	31
USGS	04111379	00060	1		1977	1	22.3	31
USGS	04111379	00060	1		1977	2	40.6	28
USGS	04111379	00060	1		1977	3	199.2	31
USGS	04111379	00060	1		1977	4	272.4	30
USGS	04111379	00060	1		1977	5	85.7	31
USGS	04111379	00060	1		1977	6	32.2	30
USGS	04111379	00060	1		1977	7	21.2	31
USGS	04111379	00060	1		1977	8	16.9	31
USGS	04111379	00060	1		1977	9	24.1	30
USGS	04111379	00060	1		1977	10	31.4	31
USGS	04111379	00060	1		1977	11	39.1	30
USGS	04111379	00060	1		1977	12	98.5	31
USGS	04111379	00060	1		1978	1	43.9	31
USGS	04111379	00060	1		1978	2	37.4	28
USGS	04111379	00060	1		1978	3	269.5	31
USGS	04111379	00060	1		1978	4	256.3	30
USGS	04111379	00060	1		1978	5	100.4	31
USGS	04111379	00060	1		1978	6	33.2	30
USGS	04111379	00060	1		1978	7	18.1	31
USGS	04111379	00060	1		1978	8	12.1	31
USGS	04111379	00060	1		1978	9	11.3	30
USGS	04111379	00060	1		1978	10	18.7	31
USGS	04111379	00060	1		1978	11	27.1	30
USGS	04111379	00060	1		1978	12	39.5	31
USGS	04111379	00060	1		1979	1	45.8	31
USGS	04111379	00060	1		1979	2	33.9	28
USGS	04111379	00060	1		1979	3	290.0	31
USGS	04111379	00060	1		1979	4	230.4	30
USGS	04111379	00060	1		1979	5	80.8	31
USGS	04111379	00060	1		1979	6	28.0	30
USGS	04111379	00060	1		1979	7	40.7	31
USGS	04111379	00060	1		1979	8	24.8	31
USGS	04111379	00060	1		1979	9	14.6	30
USGS	04111379	00060	1		1979	10	16.9	31
USGS	04111379	00060	1		1979	11	32.3	30
USGS	04111379	00060	1		1979	12	83.4	31
