#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:50 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04111500     00060          DEER CREEK NEAR DANSVILLE, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04111500	00060	1		1954	5	5.01	31
USGS	04111500	00060	1		1954	6	34.1	30
USGS	04111500	00060	1		1954	7	4.47	31
USGS	04111500	00060	1		1954	8	1.47	31
USGS	04111500	00060	1		1954	9	1.04	30
USGS	04111500	00060	1		1954	10	6.42	31
USGS	04111500	00060	1		1954	11	7.59	30
USGS	04111500	00060	1		1954	12	9.34	31
USGS	04111500	00060	1		1955	1	16.3	31
USGS	04111500	00060	1		1955	2	15.9	28
USGS	04111500	00060	1		1955	3	24.4	31
USGS	04111500	00060	1		1955	4	9.55	30
USGS	04111500	00060	1		1955	5	3.62	31
USGS	04111500	00060	1		1955	6	3.89	30
USGS	04111500	00060	1		1955	7	1.52	31
USGS	04111500	00060	1		1955	8	0.874	31
USGS	04111500	00060	1		1955	9	0.550	30
USGS	04111500	00060	1		1955	10	1.71	31
USGS	04111500	00060	1		1955	11	5.36	30
USGS	04111500	00060	1		1955	12	3.17	31
USGS	04111500	00060	1		1956	1	1.32	31
USGS	04111500	00060	1		1956	2	4.38	29
USGS	04111500	00060	1		1956	3	38.0	31
USGS	04111500	00060	1		1956	4	34.7	30
USGS	04111500	00060	1		1956	5	57.2	31
USGS	04111500	00060	1		1956	6	4.85	30
USGS	04111500	00060	1		1956	7	3.14	31
USGS	04111500	00060	1		1956	8	3.66	31
USGS	04111500	00060	1		1956	9	1.71	30
USGS	04111500	00060	1		1956	10	0.948	31
USGS	04111500	00060	1		1956	11	1.39	30
USGS	04111500	00060	1		1956	12	2.79	31
USGS	04111500	00060	1		1957	1	3.60	31
USGS	04111500	00060	1		1957	2	9.25	28
USGS	04111500	00060	1		1957	3	8.19	31
USGS	04111500	00060	1		1957	4	18.2	30
USGS	04111500	00060	1		1957	5	21.7	31
USGS	04111500	00060	1		1957	6	6.08	30
USGS	04111500	00060	1		1957	7	30.5	31
USGS	04111500	00060	1		1957	8	1.31	31
USGS	04111500	00060	1		1957	9	1.14	30
USGS	04111500	00060	1		1957	10	2.25	31
USGS	04111500	00060	1		1957	11	7.65	30
USGS	04111500	00060	1		1957	12	15.8	31
USGS	04111500	00060	1		1958	1	5.82	31
USGS	04111500	00060	1		1958	2	10.4	28
USGS	04111500	00060	1		1958	3	14.5	31
USGS	04111500	00060	1		1958	4	9.87	30
USGS	04111500	00060	1		1958	5	2.58	31
USGS	04111500	00060	1		1958	6	2.64	30
USGS	04111500	00060	1		1958	7	8.31	31
USGS	04111500	00060	1		1958	8	2.63	31
USGS	04111500	00060	1		1958	9	1.10	30
USGS	04111500	00060	1		1958	10	1.92	31
USGS	04111500	00060	1		1958	11	2.38	30
USGS	04111500	00060	1		1958	12	2.00	31
USGS	04111500	00060	1		1959	1	3.07	31
USGS	04111500	00060	1		1959	2	6.88	28
USGS	04111500	00060	1		1959	3	48.3	31
USGS	04111500	00060	1		1959	4	24.0	30
USGS	04111500	00060	1		1959	5	7.47	31
USGS	04111500	00060	1		1959	6	3.62	30
USGS	04111500	00060	1		1959	7	9.57	31
USGS	04111500	00060	1		1959	8	9.39	31
USGS	04111500	00060	1		1959	9	4.43	30
USGS	04111500	00060	1		1959	10	33.8	31
USGS	04111500	00060	1		1959	11	23.4	30
USGS	04111500	00060	1		1959	12	18.7	31
USGS	04111500	00060	1		1960	1	20.7	31
USGS	04111500	00060	1		1960	2	16.8	29
USGS	04111500	00060	1		1960	3	31.6	31
USGS	04111500	00060	1		1960	4	27.3	30
USGS	04111500	00060	1		1960	5	11.0	31
USGS	04111500	00060	1		1960	6	14.9	30
USGS	04111500	00060	1		1960	7	2.55	31
USGS	04111500	00060	1		1960	8	1.55	31
USGS	04111500	00060	1		1960	9	1.20	30
USGS	04111500	00060	1		1960	10	1.36	31
USGS	04111500	00060	1		1960	11	2.20	30
USGS	04111500	00060	1		1960	12	1.35	31
USGS	04111500	00060	1		1961	1	1.09	31
USGS	04111500	00060	1		1961	2	3.74	28
USGS	04111500	00060	1		1961	3	12.1	31
USGS	04111500	00060	1		1961	4	20.3	30
USGS	04111500	00060	1		1961	5	6.54	31
USGS	04111500	00060	1		1961	6	5.97	30
USGS	04111500	00060	1		1961	7	1.42	31
USGS	04111500	00060	1		1961	8	4.14	31
USGS	04111500	00060	1		1961	9	5.37	30
USGS	04111500	00060	1		1961	10	4.18	31
USGS	04111500	00060	1		1961	11	6.99	30
USGS	04111500	00060	1		1961	12	6.68	31
USGS	04111500	00060	1		1962	1	6.45	31
USGS	04111500	00060	1		1962	2	10.3	28
USGS	04111500	00060	1		1962	3	40.4	31
USGS	04111500	00060	1		1962	4	10.1	30
USGS	04111500	00060	1		1962	5	6.54	31
USGS	04111500	00060	1		1962	6	2.81	30
USGS	04111500	00060	1		1962	7	2.35	31
USGS	04111500	00060	1		1962	8	0.648	31
USGS	04111500	00060	1		1962	9	1.77	30
USGS	04111500	00060	1		1962	10	1.97	31
USGS	04111500	00060	1		1962	11	2.47	30
USGS	04111500	00060	1		1962	12	1.97	31
USGS	04111500	00060	1		1963	1	1.42	31
USGS	04111500	00060	1		1963	2	1.65	28
USGS	04111500	00060	1		1963	3	28.3	31
USGS	04111500	00060	1		1963	4	5.93	30
USGS	04111500	00060	1		1963	5	10.9	31
USGS	04111500	00060	1		1963	6	6.12	30
USGS	04111500	00060	1		1963	7	0.997	31
USGS	04111500	00060	1		1963	8	0.468	31
USGS	04111500	00060	1		1963	9	0.390	30
USGS	04111500	00060	1		1963	10	0.345	31
USGS	04111500	00060	1		1963	11	0.653	30
USGS	04111500	00060	1		1963	12	0.477	31
USGS	04111500	00060	1		1964	1	1.36	31
USGS	04111500	00060	1		1964	2	1.71	29
USGS	04111500	00060	1		1964	3	3.00	31
USGS	04111500	00060	1		1964	4	7.01	30
