#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:50 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04112000     00060          SLOAN CREEK NEAR WILLIAMSTON, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04112000	00060	1		1954	6	4.20	30
USGS	04112000	00060	1		1954	7	0.686	31
USGS	04112000	00060	1		1954	8	0.246	31
USGS	04112000	00060	1		1954	9	0.142	30
USGS	04112000	00060	1		1954	10	1.53	31
USGS	04112000	00060	1		1954	11	1.79	30
USGS	04112000	00060	1		1954	12	3.64	31
USGS	04112000	00060	1		1955	1	7.81	31
USGS	04112000	00060	1		1955	2	9.09	28
USGS	04112000	00060	1		1955	3	13.6	31
USGS	04112000	00060	1		1955	4	2.86	30
USGS	04112000	00060	1		1955	5	0.937	31
USGS	04112000	00060	1		1955	6	0.790	30
USGS	04112000	00060	1		1955	7	0.291	31
USGS	04112000	00060	1		1955	8	0.119	31
USGS	04112000	00060	1		1955	9	0.086	30
USGS	04112000	00060	1		1955	10	0.158	31
USGS	04112000	00060	1		1955	11	0.823	30
USGS	04112000	00060	1		1955	12	0.661	31
USGS	04112000	00060	1		1956	1	0.281	31
USGS	04112000	00060	1		1956	2	1.67	29
USGS	04112000	00060	1		1956	3	24.2	31
USGS	04112000	00060	1		1956	4	18.3	30
USGS	04112000	00060	1		1956	5	37.6	31
USGS	04112000	00060	1		1956	6	1.30	30
USGS	04112000	00060	1		1956	7	0.375	31
USGS	04112000	00060	1		1956	8	4.52	31
USGS	04112000	00060	1		1956	9	0.397	30
USGS	04112000	00060	1		1956	10	0.228	31
