#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:52 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04113000     00060          GRAND RIVER AT LANSING, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04113000	00060	1		1901	3	3076	31
USGS	04113000	00060	1		1901	4	1305	30
USGS	04113000	00060	1		1901	5	596.7	31
USGS	04113000	00060	1		1901	6	417.4	30
USGS	04113000	00060	1		1901	7	953.3	31
USGS	04113000	00060	1		1901	8	715.0	31
USGS	04113000	00060	1		1901	9	538.8	30
USGS	04113000	00060	1		1901	10	633.2	31
USGS	04113000	00060	1		1901	11	435.1	30
USGS	04113000	00060	1		1901	12	813.5	31
USGS	04113000	00060	1		1902	1	680.4	31
USGS	04113000	00060	1		1902	2	525.8	28
USGS	04113000	00060	1		1902	3	1548	31
USGS	04113000	00060	1		1902	4	1247	30
USGS	04113000	00060	1		1902	5	1342	31
USGS	04113000	00060	1		1902	6	1082	30
USGS	04113000	00060	1		1902	7	2204	31
USGS	04113000	00060	1		1902	8	703.5	31
USGS	04113000	00060	1		1902	9	613.4	30
USGS	04113000	00060	1		1902	10	1035	31
USGS	04113000	00060	1		1902	11	809.8	30
USGS	04113000	00060	1		1902	12	765.1	31
USGS	04113000	00060	1		1903	1	1025	31
USGS	04113000	00060	1		1903	2	1675	28
USGS	04113000	00060	1		1903	3	3311	31
USGS	04113000	00060	1		1903	4	2894	30
USGS	04113000	00060	1		1903	5	640.0	31
USGS	04113000	00060	1		1903	6	559.8	30
USGS	04113000	00060	1		1903	7	646.0	31
USGS	04113000	00060	1		1903	8	967.2	31
USGS	04113000	00060	1		1903	9	1277	30
USGS	04113000	00060	1		1903	10	766.5	31
USGS	04113000	00060	1		1903	11	526.7	30
USGS	04113000	00060	1		1903	12	410.1	31
USGS	04113000	00060	1		1904	1	589.4	31
USGS	04113000	00060	1		1904	2	1319	29
USGS	04113000	00060	1		1904	3	7242	31
USGS	04113000	00060	1		1904	4	3297	30
USGS	04113000	00060	1		1904	5	853.8	31
USGS	04113000	00060	1		1904	6	409.8	30
USGS	04113000	00060	1		1904	7	301.8	31
USGS	04113000	00060	1		1904	8	290.8	31
USGS	04113000	00060	1		1904	9	264.9	30
USGS	04113000	00060	1		1904	10	391.4	31
USGS	04113000	00060	1		1904	11	296.8	30
USGS	04113000	00060	1		1904	12	324.8	31
