#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:53 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04113097     00060          CARRIER CREEK AT WILLOW HWY NEAR LANSING, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04113097	00060	1		1975	1	15.0	31
USGS	04113097	00060	1		1975	2	13.9	28
USGS	04113097	00060	1		1975	3	16.3	31
USGS	04113097	00060	1		1975	4	40.6	30
USGS	04113097	00060	1		1975	5	8.94	31
USGS	04113097	00060	1		1975	6	4.63	30
USGS	04113097	00060	1		1975	7	0.680	31
USGS	04113097	00060	1		1975	8	6.69	31
USGS	04113097	00060	1		1975	9	5.37	30
USGS	04113097	00060	1		1975	10	1.03	31
USGS	04113097	00060	1		1975	11	4.39	30
USGS	04113097	00060	1		1975	12	16.2	31
USGS	04113097	00060	1		1976	1	3.83	31
USGS	04113097	00060	1		1976	2	35.0	29
USGS	04113097	00060	1		1976	3	27.2	31
USGS	04113097	00060	1		1976	4	13.5	30
USGS	04113097	00060	1		1976	5	11.9	31
USGS	04113097	00060	1		1976	6	3.47	30
USGS	04113097	00060	1		1976	7	3.95	31
USGS	04113097	00060	1		1976	8	0.384	31
USGS	04113097	00060	1		1976	9	0.509	30
USGS	04113097	00060	1		1976	10	0.814	31
USGS	04113097	00060	1		1976	11	0.570	30
USGS	04113097	00060	1		1976	12	0.348	31
USGS	04113097	00060	1		1977	1	0.151	31
USGS	04113097	00060	1		1977	2	1.51	28
USGS	04113097	00060	1		1977	3	9.15	31
USGS	04113097	00060	1		1977	4	6.73	30
USGS	04113097	00060	1		1977	5	1.20	31
USGS	04113097	00060	1		1977	6	0.812	30
USGS	04113097	00060	1		1977	7	0.443	31
USGS	04113097	00060	1		1977	8	0.200	31
USGS	04113097	00060	1		1977	9	1.34	30
USGS	04113097	00060	1		1977	10	0.421	31
USGS	04113097	00060	1		1977	11	0.656	30
USGS	04113097	00060	1		1977	12	3.79	31
USGS	04113097	00060	1		1978	1	0.898	31
USGS	04113097	00060	1		1978	2	0.898	28
USGS	04113097	00060	1		1978	3	19.1	31
USGS	04113097	00060	1		1978	4	12.6	30
USGS	04113097	00060	1		1978	5	4.47	31
USGS	04113097	00060	1		1978	6	1.23	30
USGS	04113097	00060	1		1978	7	0.690	31
USGS	04113097	00060	1		1978	8	1.27	31
USGS	04113097	00060	1		1978	9	1.46	30
USGS	04113097	00060	1		1978	10	0.854	31
USGS	04113097	00060	1		1978	11	2.08	30
USGS	04113097	00060	1		1978	12	2.72	31
USGS	04113097	00060	1		1979	1	3.87	31
USGS	04113097	00060	1		1979	2	1.96	28
USGS	04113097	00060	1		1979	3	24.1	31
USGS	04113097	00060	1		1979	4	11.5	30
USGS	04113097	00060	1		1979	5	4.78	31
USGS	04113097	00060	1		1979	6	3.14	30
USGS	04113097	00060	1		1979	7	2.95	31
USGS	04113097	00060	1		1979	8	1.05	31
USGS	04113097	00060	1		1979	9	0.074	30
USGS	04113097	00060	1		1979	10	0.760	31
USGS	04113097	00060	1		1979	11	2.53	30
USGS	04113097	00060	1		1979	12	6.71	31
USGS	04113097	00060	1		1980	1	3.14	31
USGS	04113097	00060	1		1980	2	3.99	29
USGS	04113097	00060	1		1980	3	8.21	31
USGS	04113097	00060	1		1980	4	13.7	30
USGS	04113097	00060	1		1980	5	6.04	31
USGS	04113097	00060	1		1980	6	5.11	30
USGS	04113097	00060	1		1980	7	2.56	31
USGS	04113097	00060	1		1980	8	8.05	31
USGS	04113097	00060	1		1980	9	4.18	30
