#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:54 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04114000     00060          GRAND RIVER AT PORTLAND, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04114000	00060	1		1952	9	255.7	30
USGS	04114000	00060	1		1952	10	255.7	31
USGS	04114000	00060	1		1952	11	478.3	30
USGS	04114000	00060	1		1952	12	589.0	31
USGS	04114000	00060	1		1953	1	612.4	31
USGS	04114000	00060	1		1953	2	586.8	28
USGS	04114000	00060	1		1953	3	1519	31
USGS	04114000	00060	1		1953	4	1305	30
USGS	04114000	00060	1		1953	5	1021	31
USGS	04114000	00060	1		1953	6	682.7	30
USGS	04114000	00060	1		1953	7	353.5	31
USGS	04114000	00060	1		1953	8	328.6	31
USGS	04114000	00060	1		1953	9	172.4	30
USGS	04114000	00060	1		1953	10	195.4	31
USGS	04114000	00060	1		1953	11	261.3	30
USGS	04114000	00060	1		1953	12	331.2	31
USGS	04114000	00060	1		1954	1	295.1	31
USGS	04114000	00060	1		1954	2	1635	28
USGS	04114000	00060	1		1954	3	2073	31
USGS	04114000	00060	1		1954	4	1926	30
USGS	04114000	00060	1		1954	5	833.2	31
USGS	04114000	00060	1		1954	6	1443	30
USGS	04114000	00060	1		1954	7	517.8	31
USGS	04114000	00060	1		1954	8	248.8	31
USGS	04114000	00060	1		1954	9	272.1	30
USGS	04114000	00060	1		1954	10	1271	31
USGS	04114000	00060	1		1954	11	815.6	30
USGS	04114000	00060	1		1954	12	896.9	31
USGS	04114000	00060	1		1955	1	1420	31
USGS	04114000	00060	1		1955	2	1133	28
