#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:55 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04114500     00060          LOOKING GLASS RIVER AT HINMAN RD NEAR EAGLE, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04114500	00060	1		1944	8	29.4	31
USGS	04114500	00060	1		1944	9	34.6	30
USGS	04114500	00060	1		1944	10	37.4	31
USGS	04114500	00060	1		1944	11	41.7	30
USGS	04114500	00060	1		1944	12	38.2	31
USGS	04114500	00060	1		1945	1	33.6	31
USGS	04114500	00060	1		1945	2	74.0	28
USGS	04114500	00060	1		1945	3	153.5	31
USGS	04114500	00060	1		1945	4	145.4	30
USGS	04114500	00060	1		1945	5	521.4	31
USGS	04114500	00060	1		1945	6	181.6	30
USGS	04114500	00060	1		1945	7	73.6	31
USGS	04114500	00060	1		1945	8	63.5	31
USGS	04114500	00060	1		1945	9	160.5	30
USGS	04114500	00060	1		1945	10	308.1	31
USGS	04114500	00060	1		1945	11	179.7	30
USGS	04114500	00060	1		1945	12	98.9	31
USGS	04114500	00060	1		1946	1	291.9	31
USGS	04114500	00060	1		1946	2	133.4	28
USGS	04114500	00060	1		1946	3	738.1	31
USGS	04114500	00060	1		1946	4	116.9	30
USGS	04114500	00060	1		1946	5	102.1	31
USGS	04114500	00060	1		1946	6	126.3	30
USGS	04114500	00060	1		1946	7	38.4	31
USGS	04114500	00060	1		1946	8	30.5	31
USGS	04114500	00060	1		1946	9	26.1	30
USGS	04114500	00060	1		1946	10	32.5	31
USGS	04114500	00060	1		1946	11	45.3	30
USGS	04114500	00060	1		1946	12	56.8	31
USGS	04114500	00060	1		1947	1	111.3	31
USGS	04114500	00060	1		1947	2	73.0	28
USGS	04114500	00060	1		1947	3	255.3	31
USGS	04114500	00060	1		1947	4	1131	30
USGS	04114500	00060	1		1947	5	365.3	31
USGS	04114500	00060	1		1947	6	405.7	30
USGS	04114500	00060	1		1947	7	94.2	31
USGS	04114500	00060	1		1947	8	64.3	31
USGS	04114500	00060	1		1947	9	200.5	30
USGS	04114500	00060	1		1947	10	119.5	31
USGS	04114500	00060	1		1947	11	174.6	30
USGS	04114500	00060	1		1947	12	256.4	31
USGS	04114500	00060	1		1948	1	111.9	31
USGS	04114500	00060	1		1948	2	342.8	29
USGS	04114500	00060	1		1948	3	1054	31
USGS	04114500	00060	1		1948	4	404.8	30
USGS	04114500	00060	1		1948	5	640.6	31
USGS	04114500	00060	1		1948	6	126.2	30
USGS	04114500	00060	1		1948	7	84.8	31
USGS	04114500	00060	1		1948	8	45.3	31
USGS	04114500	00060	1		1948	9	33.7	30
USGS	04114500	00060	1		1948	10	36.5	31
USGS	04114500	00060	1		1948	11	50.8	30
USGS	04114500	00060	1		1948	12	61.6	31
USGS	04114500	00060	1		1949	1	203.4	31
USGS	04114500	00060	1		1949	2	434.7	28
USGS	04114500	00060	1		1949	3	217.3	31
USGS	04114500	00060	1		1949	4	325.4	30
USGS	04114500	00060	1		1949	5	104.4	31
USGS	04114500	00060	1		1949	6	88.1	30
USGS	04114500	00060	1		1949	7	86.5	31
USGS	04114500	00060	1		1949	8	52.5	31
USGS	04114500	00060	1		1949	9	36.2	30
USGS	04114500	00060	1		1949	10	40.6	31
USGS	04114500	00060	1		1949	11	47.0	30
USGS	04114500	00060	1		1949	12	190.5	31
USGS	04114500	00060	1		1950	1	441.4	31
USGS	04114500	00060	1		1950	2	296.0	28
USGS	04114500	00060	1		1950	3	639.4	31
USGS	04114500	00060	1		1950	4	853.7	30
USGS	04114500	00060	1		1950	5	268.0	31
USGS	04114500	00060	1		1950	6	299.2	30
USGS	04114500	00060	1		1950	7	84.5	31
USGS	04114500	00060	1		1950	8	66.4	31
USGS	04114500	00060	1		1950	9	203.2	30
USGS	04114500	00060	1		1950	10	96.4	31
USGS	04114500	00060	1		1950	11	148.2	30
USGS	04114500	00060	1		1950	12	296.5	31
USGS	04114500	00060	1		1951	1	353.0	31
USGS	04114500	00060	1		1951	2	560.7	28
USGS	04114500	00060	1		1951	3	439.4	31
