#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:55 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04115000     00060          MAPLE RIVER AT MAPLE RAPIDS, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04115000	00060	1		1944	8	14.0	31
USGS	04115000	00060	1		1944	9	17.7	30
USGS	04115000	00060	1		1944	10	23.4	31
USGS	04115000	00060	1		1944	11	23.6	30
USGS	04115000	00060	1		1944	12	24.5	31
USGS	04115000	00060	1		1945	1	21.6	31
USGS	04115000	00060	1		1945	2	29.3	28
USGS	04115000	00060	1		1945	3	187.4	31
USGS	04115000	00060	1		1945	4	139.4	30
USGS	04115000	00060	1		1945	5	643.6	31
USGS	04115000	00060	1		1945	6	424.2	30
USGS	04115000	00060	1		1945	7	95.1	31
USGS	04115000	00060	1		1945	8	48.5	31
USGS	04115000	00060	1		1945	9	119.2	30
USGS	04115000	00060	1		1945	10	487.8	31
USGS	04115000	00060	1		1945	11	227.4	30
USGS	04115000	00060	1		1945	12	134.1	31
USGS	04115000	00060	1		1946	1	570.1	31
USGS	04115000	00060	1		1946	2	122.0	28
USGS	04115000	00060	1		1946	3	1160	31
USGS	04115000	00060	1		1946	4	162.9	30
USGS	04115000	00060	1		1946	5	90.6	31
USGS	04115000	00060	1		1946	6	87.4	30
