#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:56 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04115265     00060          FISH CREEK NEAR CRYSTAL, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04115265	00060	2		1987	10	28.2	31
USGS	04115265	00060	2		1987	11	33.0	30
USGS	04115265	00060	2		1987	12	41.8	31
USGS	04115265	00060	2		1988	1	34.2	31
USGS	04115265	00060	2		1988	2	39.3	29
USGS	04115265	00060	2		1988	3	42.6	31
USGS	04115265	00060	2		1988	4	45.8	30
USGS	04115265	00060	2		1988	5	26.9	31
USGS	04115265	00060	2		1988	6	15.3	30
USGS	04115265	00060	2		1988	7	12.9	31
USGS	04115265	00060	2		1988	8	15.6	31
USGS	04115265	00060	2		1988	9	22.1	30
USGS	04115265	00060	2		1988	10	29.3	31
USGS	04115265	00060	2		1988	11	45.6	30
USGS	04115265	00060	2		1988	12	28.9	31
USGS	04115265	00060	2		1989	1	28.8	31
USGS	04115265	00060	2		1989	2	25.7	28
USGS	04115265	00060	2		1989	3	68.5	31
USGS	04115265	00060	2		1989	4	37.5	30
USGS	04115265	00060	2		1989	5	33.8	31
USGS	04115265	00060	2		1989	6	38.9	30
USGS	04115265	00060	2		1989	7	16.0	31
USGS	04115265	00060	2		1989	8	22.2	31
USGS	04115265	00060	2		1989	9	21.2	30
USGS	04115265	00060	2		1989	10	20.1	31
USGS	04115265	00060	2		1989	11	33.1	30
USGS	04115265	00060	2		1989	12	19.8	31
USGS	04115265	00060	2		1990	1	30.4	31
USGS	04115265	00060	2		1990	2	29.0	28
USGS	04115265	00060	2		1990	3	75.9	31
USGS	04115265	00060	2		1990	4	36.4	30
USGS	04115265	00060	2		1990	5	36.3	31
USGS	04115265	00060	2		1990	6	23.2	30
USGS	04115265	00060	2		1990	7	19.1	31
USGS	04115265	00060	2		1990	8	19.3	31
USGS	04115265	00060	2		1990	9	19.2	30
USGS	04115265	00060	2		1990	10	37.9	31
USGS	04115265	00060	2		1990	11	49.1	30
USGS	04115265	00060	2		1990	12	41.4	31
USGS	04115265	00060	2		1991	1	30.5	31
USGS	04115265	00060	2		1991	2	34.8	28
USGS	04115265	00060	2		1991	3	55.1	31
USGS	04115265	00060	2		1991	4	66.6	30
USGS	04115265	00060	2		1991	5	44.7	31
USGS	04115265	00060	2		1991	6	33.9	30
USGS	04115265	00060	2		1991	7	28.9	31
USGS	04115265	00060	2		1991	8	23.7	31
USGS	04115265	00060	2		1991	9	21.8	30
USGS	04115265	00060	2		1991	10	39.2	31
USGS	04115265	00060	2		1991	11	38.9	30
USGS	04115265	00060	2		1991	12	46.1	31
USGS	04115265	00060	2		1992	1	37.6	31
USGS	04115265	00060	2		1992	2	33.8	29
USGS	04115265	00060	2		1992	3	52.0	31
USGS	04115265	00060	2		1992	4	53.1	30
USGS	04115265	00060	2		1992	5	31.1	31
USGS	04115265	00060	2		1992	6	22.6	30
USGS	04115265	00060	2		1992	7	29.4	31
USGS	04115265	00060	2		1992	8	22.9	31
