#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:56 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04116000     00060          GRAND RIVER AT IONIA, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04116000	00060	1		1931	4	702.3	30
USGS	04116000	00060	1		1931	5	566.7	31
USGS	04116000	00060	1		1931	6	647.8	30
USGS	04116000	00060	1		1951	8	765.6	31
USGS	04116000	00060	1		1951	9	748.9	30
USGS	04116000	00060	1		1951	10	1440	31
USGS	04116000	00060	1		1951	11	2911	30
USGS	04116000	00060	1		1951	12	2212	31
USGS	04116000	00060	1		1952	1	5642	31
USGS	04116000	00060	1		1952	2	3431	29
USGS	04116000	00060	1		1952	3	4982	31
USGS	04116000	00060	1		1952	4	6107	30
USGS	04116000	00060	1		1952	5	2190	31
USGS	04116000	00060	1		1952	6	1246	30
USGS	04116000	00060	1		1952	7	625.3	31
USGS	04116000	00060	1		1952	8	676.5	31
USGS	04116000	00060	1		1952	9	555.3	30
USGS	04116000	00060	1		1952	10	463.9	31
USGS	04116000	00060	1		1952	11	873.5	30
USGS	04116000	00060	1		1952	12	1329	31
USGS	04116000	00060	1		1953	1	1315	31
