#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:57 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04116500     00060          FLAT RIVER AT SMYRNA, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04116500	00060	1		1950	10	259.4	31
USGS	04116500	00060	1		1950	11	317.7	30
USGS	04116500	00060	1		1950	12	422.0	31
USGS	04116500	00060	1		1951	1	433.0	31
USGS	04116500	00060	1		1951	2	597.2	28
USGS	04116500	00060	1		1951	3	766.3	31
USGS	04116500	00060	1		1951	4	760.1	30
USGS	04116500	00060	1		1951	5	481.5	31
USGS	04116500	00060	1		1951	6	363.4	30
USGS	04116500	00060	1		1951	7	233.6	31
USGS	04116500	00060	1		1951	8	249.3	31
USGS	04116500	00060	1		1951	9	335.6	30
USGS	04116500	00060	1		1951	10	498.3	31
USGS	04116500	00060	1		1951	11	611.9	30
USGS	04116500	00060	1		1951	12	535.2	31
USGS	04116500	00060	1		1952	1	742.2	31
USGS	04116500	00060	1		1952	2	648.7	29
USGS	04116500	00060	1		1952	3	936.0	31
USGS	04116500	00060	1		1952	4	940.0	30
USGS	04116500	00060	1		1952	5	482.7	31
USGS	04116500	00060	1		1952	6	321.4	30
USGS	04116500	00060	1		1952	7	474.5	31
USGS	04116500	00060	1		1952	8	478.5	31
USGS	04116500	00060	1		1952	9	348.2	30
USGS	04116500	00060	1		1952	10	286.5	31
USGS	04116500	00060	1		1952	11	419.9	30
USGS	04116500	00060	1		1952	12	480.8	31
USGS	04116500	00060	1		1953	1	403.0	31
USGS	04116500	00060	1		1953	2	514.9	28
USGS	04116500	00060	1		1953	3	759.1	31
USGS	04116500	00060	1		1953	4	530.4	30
USGS	04116500	00060	1		1953	5	584.0	31
USGS	04116500	00060	1		1953	6	332.5	30
USGS	04116500	00060	1		1953	7	255.6	31
USGS	04116500	00060	1		1953	8	259.7	31
USGS	04116500	00060	1		1953	9	192.0	30
USGS	04116500	00060	1		1953	10	238.6	31
USGS	04116500	00060	1		1953	11	256.0	30
USGS	04116500	00060	1		1953	12	285.1	31
USGS	04116500	00060	1		1954	1	244.5	31
USGS	04116500	00060	1		1954	2	473.8	28
USGS	04116500	00060	1		1954	3	584.0	31
USGS	04116500	00060	1		1954	4	737.9	30
USGS	04116500	00060	1		1954	5	494.8	31
USGS	04116500	00060	1		1954	6	329.1	30
USGS	04116500	00060	1		1954	7	226.5	31
USGS	04116500	00060	1		1954	8	198.7	31
USGS	04116500	00060	1		1954	9	187.8	30
USGS	04116500	00060	1		1954	10	500.2	31
USGS	04116500	00060	1		1954	11	343.6	30
USGS	04116500	00060	1		1954	12	336.8	31
USGS	04116500	00060	1		1955	1	374.9	31
USGS	04116500	00060	1		1955	2	338.9	28
USGS	04116500	00060	1		1955	3	735.0	31
USGS	04116500	00060	1		1955	4	564.4	30
USGS	04116500	00060	1		1955	5	421.4	31
USGS	04116500	00060	1		1955	6	437.2	30
USGS	04116500	00060	1		1955	7	233.2	31
USGS	04116500	00060	1		1955	8	218.7	31
USGS	04116500	00060	1		1955	9	247.9	30
USGS	04116500	00060	1		1955	10	267.8	31
USGS	04116500	00060	1		1955	11	325.3	30
USGS	04116500	00060	1		1955	12	305.0	31
USGS	04116500	00060	1		1956	1	237.0	31
USGS	04116500	00060	1		1956	2	244.1	29
USGS	04116500	00060	1		1956	3	568.3	31
USGS	04116500	00060	1		1956	4	722.0	30
USGS	04116500	00060	1		1956	5	1083	31
USGS	04116500	00060	1		1956	6	370.6	30
USGS	04116500	00060	1		1956	7	278.5	31
USGS	04116500	00060	1		1956	8	318.8	31
USGS	04116500	00060	1		1956	9	238.2	30
USGS	04116500	00060	1		1956	10	208.4	31
USGS	04116500	00060	1		1956	11	258.0	30
USGS	04116500	00060	1		1956	12	292.7	31
USGS	04116500	00060	1		1957	1	263.4	31
USGS	04116500	00060	1		1957	2	360.3	28
USGS	04116500	00060	1		1957	3	477.6	31
USGS	04116500	00060	1		1957	4	476.5	30
USGS	04116500	00060	1		1957	5	484.2	31
USGS	04116500	00060	1		1957	6	345.7	30
USGS	04116500	00060	1		1957	7	461.5	31
USGS	04116500	00060	1		1957	8	207.4	31
USGS	04116500	00060	1		1957	9	256.6	30
USGS	04116500	00060	1		1957	10	310.4	31
USGS	04116500	00060	1		1957	11	556.2	30
USGS	04116500	00060	1		1957	12	435.2	31
USGS	04116500	00060	1		1958	1	352.5	31
USGS	04116500	00060	1		1958	2	320.2	28
USGS	04116500	00060	1		1958	3	509.9	31
USGS	04116500	00060	1		1958	4	366.1	30
USGS	04116500	00060	1		1958	5	267.5	31
USGS	04116500	00060	1		1958	6	220.9	30
USGS	04116500	00060	1		1958	7	196.9	31
USGS	04116500	00060	1		1958	8	166.9	31
USGS	04116500	00060	1		1958	9	210.0	30
USGS	04116500	00060	1		1958	10	247.3	31
USGS	04116500	00060	1		1958	11	295.3	30
USGS	04116500	00060	1		1958	12	243.1	31
USGS	04116500	00060	1		1959	1	214.9	31
USGS	04116500	00060	1		1959	2	248.3	28
USGS	04116500	00060	1		1959	3	688.5	31
USGS	04116500	00060	1		1959	4	1095	30
USGS	04116500	00060	1		1959	5	507.1	31
USGS	04116500	00060	1		1959	6	229.8	30
USGS	04116500	00060	1		1959	7	186.1	31
USGS	04116500	00060	1		1959	8	241.2	31
USGS	04116500	00060	1		1959	9	207.6	30
USGS	04116500	00060	1		1959	10	335.1	31
USGS	04116500	00060	1		1959	11	497.1	30
USGS	04116500	00060	1		1959	12	507.6	31
USGS	04116500	00060	1		1960	1	591.5	31
USGS	04116500	00060	1		1960	2	474.3	29
USGS	04116500	00060	1		1960	3	444.5	31
USGS	04116500	00060	1		1960	4	1116	30
USGS	04116500	00060	1		1960	5	682.9	31
USGS	04116500	00060	1		1960	6	470.9	30
USGS	04116500	00060	1		1960	7	307.1	31
USGS	04116500	00060	1		1960	8	327.9	31
USGS	04116500	00060	1		1960	9	236.6	30
USGS	04116500	00060	1		1960	10	248.6	31
USGS	04116500	00060	1		1960	11	377.6	30
USGS	04116500	00060	1		1960	12	280.2	31
USGS	04116500	00060	1		1961	1	248.9	31
USGS	04116500	00060	1		1961	2	302.2	28
USGS	04116500	00060	1		1961	3	549.0	31
USGS	04116500	00060	1		1961	4	591.3	30
USGS	04116500	00060	1		1961	5	405.3	31
USGS	04116500	00060	1		1961	6	286.3	30
USGS	04116500	00060	1		1961	7	190.1	31
USGS	04116500	00060	1		1961	8	237.8	31
USGS	04116500	00060	1		1961	9	385.7	30
USGS	04116500	00060	1		1961	10	385.2	31
USGS	04116500	00060	1		1961	11	427.6	30
USGS	04116500	00060	1		1961	12	368.2	31
USGS	04116500	00060	1		1962	1	306.0	31
USGS	04116500	00060	1		1962	2	305.9	28
USGS	04116500	00060	1		1962	3	682.9	31
USGS	04116500	00060	1		1962	4	581.0	30
USGS	04116500	00060	1		1962	5	583.8	31
USGS	04116500	00060	1		1962	6	247.6	30
USGS	04116500	00060	1		1962	7	207.6	31
USGS	04116500	00060	1		1962	8	177.4	31
USGS	04116500	00060	1		1962	9	180.0	30
USGS	04116500	00060	1		1962	10	238.3	31
USGS	04116500	00060	1		1962	11	251.8	30
USGS	04116500	00060	1		1962	12	236.5	31
USGS	04116500	00060	1		1963	1	224.3	31
USGS	04116500	00060	1		1963	2	216.6	28
USGS	04116500	00060	1		1963	3	439.4	31
USGS	04116500	00060	1		1963	4	388.0	30
USGS	04116500	00060	1		1963	5	500.7	31
USGS	04116500	00060	1		1963	6	221.0	30
USGS	04116500	00060	1		1963	7	144.4	31
USGS	04116500	00060	1		1963	8	167.3	31
USGS	04116500	00060	1		1963	9	194.7	30
USGS	04116500	00060	1		1963	10	211.2	31
USGS	04116500	00060	1		1963	11	286.7	30
USGS	04116500	00060	1		1963	12	245.2	31
USGS	04116500	00060	1		1964	1	239.0	31
USGS	04116500	00060	1		1964	2	230.6	29
USGS	04116500	00060	1		1964	3	330.8	31
USGS	04116500	00060	1		1964	4	451.9	30
USGS	04116500	00060	1		1964	5	458.2	31
USGS	04116500	00060	1		1964	6	201.5	30
USGS	04116500	00060	1		1964	7	178.2	31
USGS	04116500	00060	1		1964	8	195.9	31
USGS	04116500	00060	1		1964	9	207.8	30
USGS	04116500	00060	1		1964	10	192.3	31
USGS	04116500	00060	1		1964	11	247.7	30
USGS	04116500	00060	1		1964	12	295.2	31
USGS	04116500	00060	1		1965	1	311.3	31
USGS	04116500	00060	1		1965	2	474.1	28
USGS	04116500	00060	1		1965	3	713.0	31
USGS	04116500	00060	1		1965	4	1294	30
USGS	04116500	00060	1		1965	5	449.7	31
USGS	04116500	00060	1		1965	6	251.6	30
USGS	04116500	00060	1		1965	7	157.8	31
USGS	04116500	00060	1		1965	8	175.9	31
USGS	04116500	00060	1		1965	9	387.9	30
USGS	04116500	00060	1		1965	10	362.8	31
USGS	04116500	00060	1		1965	11	329.1	30
USGS	04116500	00060	1		1965	12	564.5	31
USGS	04116500	00060	1		1966	1	455.5	31
USGS	04116500	00060	1		1966	2	636.0	28
USGS	04116500	00060	1		1966	3	721.8	31
USGS	04116500	00060	1		1966	4	571.7	30
USGS	04116500	00060	1		1966	5	543.7	31
USGS	04116500	00060	1		1966	6	264.5	30
USGS	04116500	00060	1		1966	7	189.6	31
USGS	04116500	00060	1		1966	8	190.1	31
