#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:57 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04117000     00060          QUAKER BROOK NEAR NASHVILLE, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04117000	00060	1		1954	8	2.25	31
USGS	04117000	00060	1		1954	9	2.61	30
USGS	04117000	00060	1		1954	10	14.2	31
USGS	04117000	00060	1		1954	11	7.66	30
USGS	04117000	00060	1		1954	12	7.64	31
USGS	04117000	00060	1		1955	1	8.01	31
USGS	04117000	00060	1		1955	2	11.2	28
USGS	04117000	00060	1		1955	3	11.0	31
USGS	04117000	00060	1		1955	4	6.80	30
USGS	04117000	00060	1		1955	5	4.74	31
USGS	04117000	00060	1		1955	6	4.63	30
USGS	04117000	00060	1		1955	7	2.83	31
USGS	04117000	00060	1		1955	8	2.63	31
USGS	04117000	00060	1		1955	9	2.51	30
USGS	04117000	00060	1		1955	10	4.18	31
USGS	04117000	00060	1		1955	11	6.11	30
USGS	04117000	00060	1		1955	12	4.34	31
USGS	04117000	00060	1		1956	1	3.05	31
USGS	04117000	00060	1		1956	2	5.53	29
USGS	04117000	00060	1		1956	3	19.5	31
USGS	04117000	00060	1		1956	4	13.1	30
USGS	04117000	00060	1		1956	5	12.0	31
USGS	04117000	00060	1		1956	6	4.40	30
USGS	04117000	00060	1		1956	7	3.49	31
USGS	04117000	00060	1		1956	8	2.99	31
USGS	04117000	00060	1		1956	9	2.66	30
USGS	04117000	00060	1		1956	10	2.86	31
USGS	04117000	00060	1		1956	11	3.41	30
USGS	04117000	00060	1		1956	12	3.78	31
USGS	04117000	00060	1		1957	1	4.04	31
USGS	04117000	00060	1		1957	2	5.57	28
USGS	04117000	00060	1		1957	3	5.12	31
USGS	04117000	00060	1		1957	4	9.96	30
USGS	04117000	00060	1		1957	5	10.0	31
USGS	04117000	00060	1		1957	6	3.18	30
USGS	04117000	00060	1		1957	7	5.36	31
USGS	04117000	00060	1		1957	8	2.03	31
USGS	04117000	00060	1		1957	9	2.32	30
USGS	04117000	00060	1		1957	10	3.78	31
USGS	04117000	00060	1		1957	11	6.73	30
USGS	04117000	00060	1		1957	12	6.23	31
USGS	04117000	00060	1		1958	1	3.97	31
USGS	04117000	00060	1		1958	2	6.03	28
USGS	04117000	00060	1		1958	3	6.65	31
USGS	04117000	00060	1		1958	4	4.69	30
USGS	04117000	00060	1		1958	5	2.97	31
USGS	04117000	00060	1		1958	6	3.13	30
USGS	04117000	00060	1		1958	7	2.77	31
USGS	04117000	00060	1		1958	8	3.82	31
USGS	04117000	00060	1		1958	9	2.75	30
USGS	04117000	00060	1		1958	10	2.89	31
USGS	04117000	00060	1		1958	11	3.56	30
USGS	04117000	00060	1		1958	12	3.07	31
USGS	04117000	00060	1		1959	1	2.84	31
USGS	04117000	00060	1		1959	2	4.26	28
USGS	04117000	00060	1		1959	3	14.9	31
USGS	04117000	00060	1		1959	4	8.95	30
USGS	04117000	00060	1		1959	5	4.35	31
USGS	04117000	00060	1		1959	6	2.05	30
USGS	04117000	00060	1		1959	7	1.93	31
USGS	04117000	00060	1		1959	8	2.65	31
USGS	04117000	00060	1		1959	9	2.76	30
USGS	04117000	00060	1		1959	10	6.94	31
USGS	04117000	00060	1		1959	11	6.94	30
USGS	04117000	00060	1		1959	12	6.72	31
USGS	04117000	00060	1		1960	1	9.87	31
USGS	04117000	00060	1		1960	2	8.08	29
USGS	04117000	00060	1		1960	3	11.7	31
USGS	04117000	00060	1		1960	4	10.3	30
USGS	04117000	00060	1		1960	5	9.83	31
USGS	04117000	00060	1		1960	6	9.46	30
