#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:58 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04117500     00060          THORNAPPLE RIVER NEAR HASTINGS, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04117500	00060	1		1944	10	93.3	31
USGS	04117500	00060	1		1944	11	112.2	30
USGS	04117500	00060	1		1944	12	113.5	31
USGS	04117500	00060	1		1945	1	109.7	31
USGS	04117500	00060	1		1945	2	159.5	28
USGS	04117500	00060	1		1945	3	299.1	31
USGS	04117500	00060	1		1945	4	287.7	30
USGS	04117500	00060	1		1945	5	797.2	31
USGS	04117500	00060	1		1945	6	292.8	30
USGS	04117500	00060	1		1945	7	105.7	31
USGS	04117500	00060	1		1945	8	110.9	31
USGS	04117500	00060	1		1945	9	218.5	30
USGS	04117500	00060	1		1945	10	352.4	31
USGS	04117500	00060	1		1945	11	236.7	30
USGS	04117500	00060	1		1945	12	176.4	31
USGS	04117500	00060	1		1946	1	485.1	31
USGS	04117500	00060	1		1946	2	187.9	28
USGS	04117500	00060	1		1946	3	1136	31
USGS	04117500	00060	1		1946	4	176.4	30
USGS	04117500	00060	1		1946	5	179.6	31
USGS	04117500	00060	1		1946	6	241.0	30
USGS	04117500	00060	1		1946	7	83.4	31
USGS	04117500	00060	1		1946	8	50.2	31
USGS	04117500	00060	1		1946	9	63.6	30
USGS	04117500	00060	1		1946	10	83.5	31
USGS	04117500	00060	1		1946	11	129.6	30
USGS	04117500	00060	1		1946	12	151.5	31
USGS	04117500	00060	1		1947	1	231.7	31
USGS	04117500	00060	1		1947	2	199.7	28
USGS	04117500	00060	1		1947	3	593.3	31
USGS	04117500	00060	1		1947	4	1914	30
USGS	04117500	00060	1		1947	5	733.0	31
USGS	04117500	00060	1		1947	6	689.1	30
USGS	04117500	00060	1		1947	7	190.0	31
USGS	04117500	00060	1		1947	8	121.1	31
USGS	04117500	00060	1		1947	9	191.7	30
USGS	04117500	00060	1		1947	10	148.1	31
USGS	04117500	00060	1		1947	11	189.3	30
USGS	04117500	00060	1		1947	12	287.5	31
USGS	04117500	00060	1		1948	1	159.8	31
USGS	04117500	00060	1		1948	2	440.0	29
USGS	04117500	00060	1		1948	3	1506	31
USGS	04117500	00060	1		1948	4	579.1	30
USGS	04117500	00060	1		1948	5	979.3	31
USGS	04117500	00060	1		1948	6	181.7	30
USGS	04117500	00060	1		1948	7	171.8	31
USGS	04117500	00060	1		1948	8	90.1	31
USGS	04117500	00060	1		1948	9	88.7	30
USGS	04117500	00060	1		1948	10	95.2	31
USGS	04117500	00060	1		1948	11	130.3	30
USGS	04117500	00060	1		1948	12	149.0	31
USGS	04117500	00060	1		1949	1	386.0	31
USGS	04117500	00060	1		1949	2	756.3	28
USGS	04117500	00060	1		1949	3	293.5	31
USGS	04117500	00060	1		1949	4	480.5	30
USGS	04117500	00060	1		1949	5	209.2	31
USGS	04117500	00060	1		1949	6	192.6	30
