#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:59 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04118000     00060          THORNAPPLE RIVER NEAR CALEDONIA, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04118000	00060	1		1951	10	543.1	31
USGS	04118000	00060	1		1951	11	889.1	30
USGS	04118000	00060	1		1951	12	674.4	31
USGS	04118000	00060	1		1952	1	1435	31
USGS	04118000	00060	1		1952	2	890.0	29
USGS	04118000	00060	1		1952	3	1136	31
USGS	04118000	00060	1		1952	4	1474	30
USGS	04118000	00060	1		1952	5	753.2	31
USGS	04118000	00060	1		1952	6	492.0	30
USGS	04118000	00060	1		1952	7	330.1	31
USGS	04118000	00060	1		1952	8	343.1	31
USGS	04118000	00060	1		1952	9	266.9	30
USGS	04118000	00060	1		1952	10	261.9	31
USGS	04118000	00060	1		1952	11	373.9	30
USGS	04118000	00060	1		1952	12	475.6	31
USGS	04118000	00060	1		1953	1	434.2	31
USGS	04118000	00060	1		1953	2	479.1	28
USGS	04118000	00060	1		1953	3	795.2	31
USGS	04118000	00060	1		1953	4	660.0	30
USGS	04118000	00060	1		1953	5	583.6	31
USGS	04118000	00060	1		1953	6	312.8	30
USGS	04118000	00060	1		1953	7	200.6	31
USGS	04118000	00060	1		1953	8	208.9	31
USGS	04118000	00060	1		1953	9	170.7	30
USGS	04118000	00060	1		1953	10	201.7	31
USGS	04118000	00060	1		1953	11	239.8	30
USGS	04118000	00060	1		1953	12	262.8	31
USGS	04118000	00060	1		1954	1	244.3	31
USGS	04118000	00060	1		1954	2	689.7	28
USGS	04118000	00060	1		1954	3	964.1	31
USGS	04118000	00060	1		1954	4	920.3	30
USGS	04118000	00060	1		1954	5	494.9	31
USGS	04118000	00060	1		1954	6	570.2	30
USGS	04118000	00060	1		1954	7	308.3	31
USGS	04118000	00060	1		1954	8	230.7	31
USGS	04118000	00060	1		1954	9	196.2	30
USGS	04118000	00060	1		1954	10	1006	31
USGS	04118000	00060	1		1954	11	587.8	30
USGS	04118000	00060	1		1954	12	640.1	31
USGS	04118000	00060	1		1955	1	965.5	31
USGS	04118000	00060	1		1955	2	782.1	28
USGS	04118000	00060	1		1955	3	1255	31
USGS	04118000	00060	1		1955	4	689.9	30
USGS	04118000	00060	1		1955	5	431.8	31
USGS	04118000	00060	1		1955	6	477.2	30
USGS	04118000	00060	1		1955	7	250.1	31
USGS	04118000	00060	1		1955	8	204.8	31
USGS	04118000	00060	1		1955	9	203.2	30
USGS	04118000	00060	1		1955	10	291.9	31
USGS	04118000	00060	1		1955	11	451.5	30
USGS	04118000	00060	1		1955	12	424.2	31
USGS	04118000	00060	1		1956	1	274.3	31
USGS	04118000	00060	1		1956	2	343.7	29
USGS	04118000	00060	1		1956	3	1860	31
USGS	04118000	00060	1		1956	4	1138	30
USGS	04118000	00060	1		1956	5	2489	31
USGS	04118000	00060	1		1956	6	484.4	30
USGS	04118000	00060	1		1956	7	320.5	31
USGS	04118000	00060	1		1956	8	260.7	31
USGS	04118000	00060	1		1956	9	216.6	30
USGS	04118000	00060	1		1956	10	216.2	31
USGS	04118000	00060	1		1956	11	254.9	30
USGS	04118000	00060	1		1956	12	278.9	31
USGS	04118000	00060	1		1957	1	298.3	31
USGS	04118000	00060	1		1957	2	423.2	28
USGS	04118000	00060	1		1957	3	489.6	31
USGS	04118000	00060	1		1957	4	837.8	30
USGS	04118000	00060	1		1957	5	1633	31
USGS	04118000	00060	1		1957	6	476.5	30
USGS	04118000	00060	1		1957	7	733.4	31
USGS	04118000	00060	1		1957	8	241.7	31
USGS	04118000	00060	1		1957	9	258.3	30
USGS	04118000	00060	1		1957	10	331.7	31
USGS	04118000	00060	1		1957	11	654.9	30
USGS	04118000	00060	1		1957	12	612.5	31
USGS	04118000	00060	1		1958	1	449.8	31
USGS	04118000	00060	1		1958	2	445.6	28
USGS	04118000	00060	1		1958	3	960.1	31
USGS	04118000	00060	1		1958	4	531.9	30
USGS	04118000	00060	1		1958	5	290.8	31
USGS	04118000	00060	1		1958	6	276.9	30
USGS	04118000	00060	1		1958	7	262.7	31
USGS	04118000	00060	1		1958	8	321.7	31
USGS	04118000	00060	1		1958	9	250.7	30
USGS	04118000	00060	1		1958	10	253.0	31
USGS	04118000	00060	1		1958	11	280.0	30
USGS	04118000	00060	1		1958	12	265.4	31
USGS	04118000	00060	1		1959	1	252.0	31
USGS	04118000	00060	1		1959	2	354.8	28
USGS	04118000	00060	1		1959	3	1648	31
USGS	04118000	00060	1		1959	4	1124	30
USGS	04118000	00060	1		1959	5	579.9	31
USGS	04118000	00060	1		1959	6	251.9	30
USGS	04118000	00060	1		1959	7	192.5	31
USGS	04118000	00060	1		1959	8	237.9	31
USGS	04118000	00060	1		1959	9	199.7	30
USGS	04118000	00060	1		1959	10	454.6	31
USGS	04118000	00060	1		1959	11	655.8	30
USGS	04118000	00060	1		1959	12	639.0	31
USGS	04118000	00060	1		1960	1	1062	31
USGS	04118000	00060	1		1960	2	767.1	29
USGS	04118000	00060	1		1960	3	790.8	31
USGS	04118000	00060	1		1960	4	1846	30
USGS	04118000	00060	1		1960	5	877.6	31
USGS	04118000	00060	1		1960	6	749.6	30
USGS	04118000	00060	1		1960	7	352.8	31
USGS	04118000	00060	1		1960	8	303.3	31
USGS	04118000	00060	1		1960	9	225.7	30
USGS	04118000	00060	1		1960	10	222.9	31
USGS	04118000	00060	1		1960	11	289.8	30
USGS	04118000	00060	1		1960	12	262.6	31
USGS	04118000	00060	1		1961	1	253.0	31
USGS	04118000	00060	1		1961	2	342.6	28
USGS	04118000	00060	1		1961	3	620.0	31
USGS	04118000	00060	1		1961	4	818.9	30
USGS	04118000	00060	1		1961	5	529.6	31
USGS	04118000	00060	1		1961	6	268.7	30
USGS	04118000	00060	1		1961	7	199.5	31
USGS	04118000	00060	1		1961	8	220.8	31
USGS	04118000	00060	1		1961	9	243.9	30
USGS	04118000	00060	1		1961	10	250.8	31
USGS	04118000	00060	1		1961	11	321.8	30
USGS	04118000	00060	1		1961	12	323.4	31
USGS	04118000	00060	1		1962	1	308.3	31
USGS	04118000	00060	1		1962	2	336.0	28
USGS	04118000	00060	1		1962	3	1418	31
USGS	04118000	00060	1		1962	4	632.1	30
USGS	04118000	00060	1		1962	5	792.8	31
USGS	04118000	00060	1		1962	6	290.3	30
USGS	04118000	00060	1		1962	7	250.1	31
USGS	04118000	00060	1		1962	8	181.6	31
USGS	04118000	00060	1		1962	9	224.5	30
USGS	04118000	00060	1		1962	10	229.6	31
USGS	04118000	00060	1		1962	11	257.0	30
USGS	04118000	00060	1		1962	12	256.9	31
USGS	04118000	00060	1		1963	1	245.3	31
USGS	04118000	00060	1		1963	2	245.2	28
USGS	04118000	00060	1		1963	3	812.6	31
USGS	04118000	00060	1		1963	4	425.5	30
USGS	04118000	00060	1		1963	5	401.4	31
USGS	04118000	00060	1		1963	6	283.9	30
USGS	04118000	00060	1		1963	7	162.7	31
USGS	04118000	00060	1		1963	8	157.7	31
USGS	04118000	00060	1		1963	9	145.1	30
USGS	04118000	00060	1		1963	10	152.8	31
USGS	04118000	00060	1		1963	11	211.2	30
USGS	04118000	00060	1		1963	12	186.9	31
USGS	04118000	00060	1		1964	1	212.7	31
USGS	04118000	00060	1		1964	2	219.6	29
USGS	04118000	00060	1		1964	3	311.9	31
USGS	04118000	00060	1		1964	4	419.8	30
USGS	04118000	00060	1		1964	5	434.7	31
USGS	04118000	00060	1		1964	6	208.3	30
USGS	04118000	00060	1		1964	7	145.3	31
USGS	04118000	00060	1		1964	8	130.5	31
USGS	04118000	00060	1		1964	9	147.7	30
USGS	04118000	00060	1		1964	10	167.4	31
USGS	04118000	00060	1		1964	11	203.1	30
USGS	04118000	00060	1		1964	12	265.6	31
USGS	04118000	00060	1		1965	1	323.2	31
USGS	04118000	00060	1		1965	2	1138	28
USGS	04118000	00060	1		1965	3	1226	31
USGS	04118000	00060	1		1965	4	1629	30
USGS	04118000	00060	1		1965	5	341.8	31
USGS	04118000	00060	1		1965	6	262.2	30
USGS	04118000	00060	1		1965	7	166.0	31
USGS	04118000	00060	1		1965	8	177.5	31
USGS	04118000	00060	1		1965	9	267.9	30
USGS	04118000	00060	1		1965	10	286.8	31
USGS	04118000	00060	1		1965	11	272.2	30
USGS	04118000	00060	1		1965	12	711.4	31
USGS	04118000	00060	1		1966	1	641.4	31
USGS	04118000	00060	1		1966	2	745.6	28
USGS	04118000	00060	1		1966	3	1191	31
USGS	04118000	00060	1		1966	4	788.7	30
USGS	04118000	00060	1		1966	5	825.5	31
USGS	04118000	00060	1		1966	6	363.9	30
USGS	04118000	00060	1		1966	7	249.4	31
USGS	04118000	00060	1		1966	8	227.5	31
USGS	04118000	00060	1		1966	9	179.8	30
USGS	04118000	00060	1		1966	10	208.5	31
USGS	04118000	00060	1		1966	11	363.4	30
USGS	04118000	00060	1		1966	12	801.6	31
USGS	04118000	00060	1		1967	1	485.8	31
USGS	04118000	00060	1		1967	2	630.1	28
USGS	04118000	00060	1		1967	3	1340	31
USGS	04118000	00060	1		1967	4	1470	30
USGS	04118000	00060	1		1967	5	599.1	31
USGS	04118000	00060	1		1967	6	704.2	30
USGS	04118000	00060	1		1967	7	318.5	31
USGS	04118000	00060	1		1967	8	189.3	31
USGS	04118000	00060	1		1967	9	273.7	30
USGS	04118000	00060	1		1967	10	374.0	31
USGS	04118000	00060	1		1967	11	673.5	30
USGS	04118000	00060	1		1967	12	1106	31
USGS	04118000	00060	1		1968	1	538.9	31
USGS	04118000	00060	1		1968	2	1219	29
USGS	04118000	00060	1		1968	3	665.2	31
USGS	04118000	00060	1		1968	4	822.6	30
USGS	04118000	00060	1		1968	5	427.0	31
USGS	04118000	00060	1		1968	6	552.0	30
USGS	04118000	00060	1		1968	7	727.0	31
USGS	04118000	00060	1		1968	8	341.5	31
USGS	04118000	00060	1		1968	9	320.0	30
USGS	04118000	00060	1		1968	10	306.8	31
USGS	04118000	00060	1		1968	11	422.8	30
USGS	04118000	00060	1		1968	12	712.9	31
USGS	04118000	00060	1		1969	1	1020	31
USGS	04118000	00060	1		1969	2	1024	28
USGS	04118000	00060	1		1969	3	612.5	31
USGS	04118000	00060	1		1969	4	1277	30
USGS	04118000	00060	1		1969	5	976.1	31
USGS	04118000	00060	1		1969	6	740.5	30
USGS	04118000	00060	1		1969	7	530.3	31
USGS	04118000	00060	1		1969	8	316.4	31
USGS	04118000	00060	1		1969	9	229.4	30
USGS	04118000	00060	1		1969	10	333.9	31
USGS	04118000	00060	1		1969	11	451.9	30
USGS	04118000	00060	1		1969	12	366.1	31
USGS	04118000	00060	1		1970	1	290.8	31
