#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-20 16:24:59 EST	(natwebcaas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04118500     00060          ROGUE RIVER NEAR ROCKFORD, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04118500	00060	1		1952	2	311.7	29
USGS	04118500	00060	1		1952	3	433.2	31
USGS	04118500	00060	1		1952	4	410.6	30
USGS	04118500	00060	1		1952	5	278.9	31
USGS	04118500	00060	1		1952	6	144.5	30
USGS	04118500	00060	1		1952	7	233.0	31
USGS	04118500	00060	1		1952	8	219.2	31
USGS	04118500	00060	1		1952	9	146.9	30
USGS	04118500	00060	1		1952	10	120.3	31
USGS	04118500	00060	1		1952	11	193.3	30
USGS	04118500	00060	1		1952	12	228.6	31
USGS	04118500	00060	1		1953	1	195.2	31
USGS	04118500	00060	1		1953	2	309.7	28
USGS	04118500	00060	1		1953	3	350.1	31
USGS	04118500	00060	1		1953	4	248.3	30
USGS	04118500	00060	1		1953	5	291.9	31
USGS	04118500	00060	1		1953	6	176.4	30
USGS	04118500	00060	1		1953	7	135.5	31
USGS	04118500	00060	1		1953	8	143.8	31
USGS	04118500	00060	1		1953	9	95.7	30
USGS	04118500	00060	1		1953	10	115.9	31
USGS	04118500	00060	1		1953	11	124.0	30
USGS	04118500	00060	1		1953	12	143.1	31
USGS	04118500	00060	1		1954	1	125.0	31
USGS	04118500	00060	1		1954	2	274.4	28
USGS	04118500	00060	1		1954	3	303.9	31
USGS	04118500	00060	1		1954	4	419.4	30
USGS	04118500	00060	1		1954	5	226.8	31
USGS	04118500	00060	1		1954	6	220.2	30
USGS	04118500	00060	1		1954	7	136.9	31
USGS	04118500	00060	1		1954	8	102.7	31
USGS	04118500	00060	1		1954	9	97.3	30
USGS	04118500	00060	1		1954	10	353.8	31
USGS	04118500	00060	1		1954	11	183.7	30
USGS	04118500	00060	1		1954	12	187.3	31
USGS	04118500	00060	1		1955	1	216.5	31
USGS	04118500	00060	1		1955	2	190.4	28
USGS	04118500	00060	1		1955	3	435.9	31
USGS	04118500	00060	1		1955	4	293.8	30
USGS	04118500	00060	1		1955	5	310.0	31
USGS	04118500	00060	1		1955	6	262.0	30
USGS	04118500	00060	1		1955	7	111.9	31
USGS	04118500	00060	1		1955	8	100.0	31
USGS	04118500	00060	1		1955	9	109.8	30
USGS	04118500	00060	1		1955	10	129.9	31
USGS	04118500	00060	1		1955	11	169.4	30
USGS	04118500	00060	1		1955	12	174.1	31
USGS	04118500	00060	1		1956	1	116.4	31
USGS	04118500	00060	1		1956	2	119.8	29
USGS	04118500	00060	1		1956	3	338.8	31
USGS	04118500	00060	1		1956	4	400.1	30
USGS	04118500	00060	1		1956	5	619.7	31
USGS	04118500	00060	1		1956	6	213.1	30
USGS	04118500	00060	1		1956	7	154.7	31
USGS	04118500	00060	1		1956	8	123.9	31
USGS	04118500	00060	1		1956	9	105.3	30
USGS	04118500	00060	1		1956	10	109.1	31
USGS	04118500	00060	1		1956	11	127.9	30
USGS	04118500	00060	1		1956	12	154.5	31
USGS	04118500	00060	1		1957	1	153.0	31
USGS	04118500	00060	1		1957	2	275.8	28
USGS	04118500	00060	1		1957	3	280.4	31
USGS	04118500	00060	1		1957	4	277.0	30
USGS	04118500	00060	1		1957	5	262.3	31
USGS	04118500	00060	1		1957	6	213.1	30
USGS	04118500	00060	1		1957	7	191.8	31
USGS	04118500	00060	1		1957	8	101.2	31
USGS	04118500	00060	1		1957	9	120.0	30
USGS	04118500	00060	1		1957	10	147.2	31
USGS	04118500	00060	1		1957	11	296.7	30
USGS	04118500	00060	1		1957	12	227.7	31
USGS	04118500	00060	1		1958	1	181.5	31
USGS	04118500	00060	1		1958	2	174.7	28
USGS	04118500	00060	1		1958	3	290.8	31
USGS	04118500	00060	1		1958	4	174.5	30
USGS	04118500	00060	1		1958	5	121.8	31
USGS	04118500	00060	1		1958	6	113.3	30
USGS	04118500	00060	1		1958	7	104.9	31
USGS	04118500	00060	1		1958	8	116.6	31
USGS	04118500	00060	1		1958	9	104.2	30
USGS	04118500	00060	1		1958	10	161.9	31
USGS	04118500	00060	1		1958	11	197.2	30
USGS	04118500	00060	1		1958	12	145.0	31
USGS	04118500	00060	1		1959	1	120.4	31
USGS	04118500	00060	1		1959	2	135.6	28
USGS	04118500	00060	1		1959	3	483.9	31
USGS	04118500	00060	1		1959	4	546.8	30
USGS	04118500	00060	1		1959	5	243.1	31
USGS	04118500	00060	1		1959	6	123.5	30
USGS	04118500	00060	1		1959	7	105.6	31
USGS	04118500	00060	1		1959	8	149.0	31
USGS	04118500	00060	1		1959	9	102.7	30
USGS	04118500	00060	1		1959	10	214.7	31
USGS	04118500	00060	1		1959	11	317.6	30
USGS	04118500	00060	1		1959	12	307.5	31
USGS	04118500	00060	1		1960	1	364.0	31
USGS	04118500	00060	1		1960	2	271.8	29
USGS	04118500	00060	1		1960	3	332.8	31
USGS	04118500	00060	1		1960	4	535.6	30
USGS	04118500	00060	1		1960	5	394.5	31
USGS	04118500	00060	1		1960	6	244.9	30
USGS	04118500	00060	1		1960	7	170.7	31
USGS	04118500	00060	1		1960	8	177.4	31
USGS	04118500	00060	1		1960	9	120.9	30
USGS	04118500	00060	1		1960	10	127.3	31
USGS	04118500	00060	1		1960	11	228.1	30
USGS	04118500	00060	1		1960	12	167.9	31
USGS	04118500	00060	1		1961	1	141.4	31
USGS	04118500	00060	1		1961	2	202.2	28
USGS	04118500	00060	1		1961	3	324.2	31
USGS	04118500	00060	1		1961	4	323.3	30
USGS	04118500	00060	1		1961	5	194.6	31
USGS	04118500	00060	1		1961	6	180.6	30
USGS	04118500	00060	1		1961	7	118.0	31
USGS	04118500	00060	1		1961	8	132.4	31
USGS	04118500	00060	1		1961	9	231.8	30
USGS	04118500	00060	1		1961	10	207.7	31
USGS	04118500	00060	1		1961	11	264.4	30
USGS	04118500	00060	1		1961	12	212.5	31
USGS	04118500	00060	1		1962	1	184.2	31
USGS	04118500	00060	1		1962	2	175.6	28
USGS	04118500	00060	1		1962	3	493.9	31
USGS	04118500	00060	1		1962	4	266.7	30
USGS	04118500	00060	1		1962	5	301.6	31
USGS	04118500	00060	1		1962	6	140.7	30
USGS	04118500	00060	1		1962	7	107.7	31
USGS	04118500	00060	1		1962	8	92.9	31
USGS	04118500	00060	1		1962	9	105.2	30
USGS	04118500	00060	1		1962	10	133.4	31
USGS	04118500	00060	1		1962	11	132.5	30
USGS	04118500	00060	1		1962	12	125.7	31
USGS	04118500	00060	1		1963	1	122.2	31
USGS	04118500	00060	1		1963	2	106.9	28
USGS	04118500	00060	1		1963	3	316.2	31
USGS	04118500	00060	1		1963	4	210.3	30
USGS	04118500	00060	1		1963	5	314.3	31
USGS	04118500	00060	1		1963	6	151.7	30
USGS	04118500	00060	1		1963	7	93.4	31
USGS	04118500	00060	1		1963	8	88.8	31
USGS	04118500	00060	1		1963	9	97.8	30
USGS	04118500	00060	1		1963	10	111.4	31
USGS	04118500	00060	1		1963	11	168.3	30
USGS	04118500	00060	1		1963	12	142.1	31
USGS	04118500	00060	1		1964	1	151.0	31
USGS	04118500	00060	1		1964	2	146.0	29
USGS	04118500	00060	1		1964	3	222.5	31
USGS	04118500	00060	1		1964	4	283.4	30
USGS	04118500	00060	1		1964	5	244.6	31
USGS	04118500	00060	1		1964	6	108.4	30
USGS	04118500	00060	1		1964	7	83.8	31
USGS	04118500	00060	1		1964	8	88.2	31
USGS	04118500	00060	1		1964	9	110.0	30
USGS	04118500	00060	1		1964	10	100.4	31
USGS	04118500	00060	1		1964	11	117.8	30
USGS	04118500	00060	1		1964	12	149.0	31
USGS	04118500	00060	1		1965	1	150.7	31
USGS	04118500	00060	1		1965	2	278.8	28
USGS	04118500	00060	1		1965	3	412.5	31
USGS	04118500	00060	1		1965	4	670.4	30
USGS	04118500	00060	1		1965	5	199.2	31
USGS	04118500	00060	1		1965	6	119.6	30
USGS	04118500	00060	1		1965	7	89.0	31
USGS	04118500	00060	1		1965	8	107.2	31
USGS	04118500	00060	1		1965	9	235.0	30
USGS	04118500	00060	1		1965	10	190.1	31
USGS	04118500	00060	1		1965	11	172.1	30
USGS	04118500	00060	1		1965	12	346.8	31
USGS	04118500	00060	1		1966	1	249.0	31
USGS	04118500	00060	1		1966	2	337.7	28
USGS	04118500	00060	1		1966	3	374.6	31
USGS	04118500	00060	1		1966	4	315.3	30
USGS	04118500	00060	1		1966	5	248.5	31
USGS	04118500	00060	1		1966	6	142.4	30
USGS	04118500	00060	1		1966	7	118.1	31
USGS	04118500	00060	1		1966	8	102.7	31
USGS	04118500	00060	1		1966	9	93.7	30
USGS	04118500	00060	1		1966	10	114.0	31
USGS	04118500	00060	1		1966	11	224.3	30
USGS	04118500	00060	1		1966	12	402.6	31
USGS	04118500	00060	1		1967	1	248.3	31
USGS	04118500	00060	1		1967	2	230.4	28
USGS	04118500	00060	1		1967	3	384.1	31
USGS	04118500	00060	1		1967	4	836.2	30
USGS	04118500	00060	1		1967	5	294.2	31
USGS	04118500	00060	1		1967	6	313.4	30
USGS	04118500	00060	1		1967	7	175.0	31
USGS	04118500	00060	1		1967	8	162.8	31
USGS	04118500	00060	1		1967	9	129.6	30
USGS	04118500	00060	1		1967	10	174.9	31
USGS	04118500	00060	1		1967	11	311.8	30
USGS	04118500	00060	1		1967	12	287.0	31
USGS	04118500	00060	1		1968	1	190.3	31
USGS	04118500	00060	1		1968	2	328.0	29
USGS	04118500	00060	1		1968	3	224.9	31
USGS	04118500	00060	1		1968	4	249.9	30
USGS	04118500	00060	1		1968	5	206.6	31
USGS	04118500	00060	1		1968	6	193.9	30
USGS	04118500	00060	1		1968	7	146.1	31
USGS	04118500	00060	1		1968	8	100.8	31
USGS	04118500	00060	1		1968	9	115.8	30
USGS	04118500	00060	1		1968	10	133.3	31
USGS	04118500	00060	1		1968	11	160.2	30
USGS	04118500	00060	1		1968	12	202.4	31
USGS	04118500	00060	1		1969	1	235.7	31
USGS	04118500	00060	1		1969	2	218.2	28
USGS	04118500	00060	1		1969	3	250.4	31
USGS	04118500	00060	1		1969	4	374.7	30
USGS	04118500	00060	1		1969	5	294.9	31
USGS	04118500	00060	1		1969	6	196.1	30
USGS	04118500	00060	1		1969	7	226.4	31
USGS	04118500	00060	1		1969	8	107.6	31
USGS	04118500	00060	1		1969	9	97.6	30
USGS	04118500	00060	1		1969	10	156.0	31
USGS	04118500	00060	1		1969	11	190.7	30
USGS	04118500	00060	1		1969	12	138.5	31
USGS	04118500	00060	1		1970	1	116.1	31
USGS	04118500	00060	1		1970	2	124.6	28
USGS	04118500	00060	1		1970	3	299.4	31
USGS	04118500	00060	1		1970	4	348.5	30
USGS	04118500	00060	1		1970	5	216.8	31
USGS	04118500	00060	1		1970	6	232.9	30
USGS	04118500	00060	1		1970	7	138.7	31
USGS	04118500	00060	1		1970	8	120.6	31
USGS	04118500	00060	1		1970	9	248.0	30
USGS	04118500	00060	1		1970	10	217.9	31
USGS	04118500	00060	1		1970	11	273.6	30
USGS	04118500	00060	1		1970	12	251.6	31
USGS	04118500	00060	1		1971	1	178.0	31
USGS	04118500	00060	1		1971	2	285.2	28
USGS	04118500	00060	1		1971	3	500.5	31
USGS	04118500	00060	1		1971	4	365.9	30
USGS	04118500	00060	1		1971	5	169.2	31
USGS	04118500	00060	1		1971	6	127.1	30
USGS	04118500	00060	1		1971	7	87.7	31
USGS	04118500	00060	1		1971	8	83.2	31
USGS	04118500	00060	1		1971	9	116.8	30
USGS	04118500	00060	1		1971	10	116.0	31
USGS	04118500	00060	1		1971	11	126.3	30
USGS	04118500	00060	1		1971	12	305.0	31
USGS	04118500	00060	1		1972	1	225.6	31
USGS	04118500	00060	1		1972	2	164.0	29
USGS	04118500	00060	1		1972	3	389.7	31
USGS	04118500	00060	1		1972	4	347.0	30
USGS	04118500	00060	1		1972	5	221.8	31
USGS	04118500	00060	1		1972	6	145.6	30
USGS	04118500	00060	1		1972	7	139.4	31
USGS	04118500	00060	1		1972	8	259.9	31
USGS	04118500	00060	1		1972	9	264.0	30
USGS	04118500	00060	1		1972	10	286.3	31
USGS	04118500	00060	1		1972	11	310.1	30
USGS	04118500	00060	1		1972	12	253.5	31
USGS	04118500	00060	1		1973	1	511.6	31
USGS	04118500	00060	1		1973	2	223.2	28
USGS	04118500	00060	1		1973	3	489.7	31
USGS	04118500	00060	1		1973	4	387.1	30
USGS	04118500	00060	1		1973	5	461.8	31
USGS	04118500	00060	1		1973	6	294.4	30
USGS	04118500	00060	1		1973	7	223.6	31
USGS	04118500	00060	1		1973	8	184.3	31
USGS	04118500	00060	1		1973	9	133.6	30
USGS	04118500	00060	1		1973	10	155.6	31
USGS	04118500	00060	1		1973	11	221.6	30
USGS	04118500	00060	1		1973	12	254.8	31
USGS	04118500	00060	1		1974	1	441.6	31
USGS	04118500	00060	1		1974	2	352.4	28
USGS	04118500	00060	1		1974	3	550.1	31
USGS	04118500	00060	1		1974	4	555.2	30
USGS	04118500	00060	1		1974	5	515.5	31
USGS	04118500	00060	1		1974	6	273.8	30
USGS	04118500	00060	1		1974	7	151.5	31
USGS	04118500	00060	1		1974	8	155.7	31
USGS	04118500	00060	1		1974	9	141.8	30
USGS	04118500	00060	1		1974	10	187.5	31
