#
#
# US Geological Survey, Water Resources Data
# retrieved: 2014-11-21 09:04:52 EST	(natwebsdas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        04119000     00060          GRAND RIVER AT GRAND RAPIDS, MI
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	dd_nu	loc_web_ds	year_nu	month_nu	mean_va	count_nu
# 5s	15s	5s	3n	15s	4s	2s	12n	8n
USGS	04119000	00060	1		1901	3	10970	31
USGS	04119000	00060	1		1901	4	5760	30
USGS	04119000	00060	1		1901	5	2765	31
USGS	04119000	00060	1		1901	6	2103	30
USGS	04119000	00060	1		1901	7	3790	31
USGS	04119000	00060	1		1901	8	1708	31
USGS	04119000	00060	1		1901	9	1727	30
USGS	04119000	00060	1		1901	10	2109	31
USGS	04119000	00060	1		1901	11	1829	30
USGS	04119000	00060	1		1901	12	2733	31
USGS	04119000	00060	1		1902	1	1995	31
USGS	04119000	00060	1		1902	2	1762	28
USGS	04119000	00060	1		1902	3	5742	31
USGS	04119000	00060	1		1902	4	4236	30
USGS	04119000	00060	1		1902	5	4721	31
USGS	04119000	00060	1		1902	6	2914	30
USGS	04119000	00060	1		1902	7	6467	31
USGS	04119000	00060	1		1902	8	2031	31
USGS	04119000	00060	1		1902	9	1524	30
USGS	04119000	00060	1		1902	10	3300	31
USGS	04119000	00060	1		1902	11	3861	30
USGS	04119000	00060	1		1902	12	3999	31
USGS	04119000	00060	1		1903	1	5234	31
USGS	04119000	00060	1		1903	2	9342	28
USGS	04119000	00060	1		1903	3	11050	31
USGS	04119000	00060	1		1903	4	8776	30
USGS	04119000	00060	1		1903	5	2851	31
USGS	04119000	00060	1		1903	6	2267	30
USGS	04119000	00060	1		1903	7	1968	31
USGS	04119000	00060	1		1903	8	2171	31
USGS	04119000	00060	1		1903	9	4339	30
USGS	04119000	00060	1		1903	10	4690	31
USGS	04119000	00060	1		1903	11	2303	30
USGS	04119000	00060	1		1903	12	2626	31
USGS	04119000	00060	1		1904	1	2600	31
USGS	04119000	00060	1		1904	2	3300	29
USGS	04119000	00060	1		1904	3	21580	31
USGS	04119000	00060	1		1904	4	13450	30
USGS	04119000	00060	1		1904	5	4163	31
USGS	04119000	00060	1		1904	6	2141	30
USGS	04119000	00060	1		1904	7	1533	31
USGS	04119000	00060	1		1904	8	1314	31
USGS	04119000	00060	1		1904	9	1556	30
USGS	04119000	00060	1		1904	10	2511	31
USGS	04119000	00060	1		1904	11	1641	30
USGS	04119000	00060	1		1904	12	1752	31
USGS	04119000	00060	1		1905	1	2100	31
USGS	04119000	00060	1		1905	2	2200	28
USGS	04119000	00060	1		1905	3	8712	31
USGS	04119000	00060	1		1905	4	5818	30
USGS	04119000	00060	1		1905	5	5998	31
USGS	04119000	00060	1		1905	6	15670	30
USGS	04119000	00060	1		1905	7	3707	31
USGS	04119000	00060	1		1905	8	3205	31
USGS	04119000	00060	1		1905	9	2892	30
USGS	04119000	00060	1		1905	10	2813	31
USGS	04119000	00060	1		1905	11	3200	30
USGS	04119000	00060	1		1905	12	3068	31
USGS	04119000	00060	1		1930	10	944.7	31
USGS	04119000	00060	1		1930	11	1004	30
USGS	04119000	00060	1		1930	12	1139	31
USGS	04119000	00060	1		1931	1	1173	31
USGS	04119000	00060	1		1931	2	1691	28
USGS	04119000	00060	1		1931	3	1858	31
USGS	04119000	00060	1		1931	4	1759	30
USGS	04119000	00060	1		1931	5	1459	31
USGS	04119000	00060	1		1931	6	1574	30
USGS	04119000	00060	1		1931	7	981.5	31
USGS	04119000	00060	1		1931	8	666.7	31
USGS	04119000	00060	1		1931	9	964.5	30
USGS	04119000	00060	1		1931	10	948.4	31
USGS	04119000	00060	1		1931	11	1655	30
USGS	04119000	00060	1		1931	12	2154	31
USGS	04119000	00060	1		1932	1	4899	31
USGS	04119000	00060	1		1932	2	4418	29
USGS	04119000	00060	1		1932	3	3107	31
USGS	04119000	00060	1		1932	4	4191	30
USGS	04119000	00060	1		1932	5	4279	31
USGS	04119000	00060	1		1932	6	2291	30
USGS	04119000	00060	1		1932	7	1080	31
USGS	04119000	00060	1		1932	8	948.4	31
USGS	04119000	00060	1		1932	9	1404	30
USGS	04119000	00060	1		1932	10	1674	31
USGS	04119000	00060	1		1932	11	2545	30
USGS	04119000	00060	1		1932	12	3455	31
USGS	04119000	00060	1		1933	1	3805	31
USGS	04119000	00060	1		1933	2	3690	28
