# http://www.glerl.noaa.gov/ftp/publications/tech_reports/glerl-083/UpdatedFiles/ accessed Oct. 22, 2014
# NBS_SUP_djh!Evp_CMS modified on Oct. 23, 2014 by Dave Holtschlag, USGS
# Used original NBS_SUP.xlsx!Evp in mm and converted to cms used formula, area, and days in Tim Hunter's spreadsheet
# Original Units: Monthly Evaporation (mm over lake) from GLERL Lake Evaporation Model (Lake area: 81,925 km2) 
# Data calculated and compiled by Tim Hunter at 
# U.S. Department of Commerce
# National Oceanic and Atmospheric Administration
# Office of Oceanic and Atmospheric Research
# Great Lakes Environmental Research Laboratory
# 4840 South State Road
# Ann Arbor, MI  48108
# tim.hunter@noaa.gov
# Units converted to CMS by Dave Holtschlag, USGS, using conversions factors inferred from Hunter Precip_lake.xlsx with MM and CMS month/year conversions
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1948	4060.2	3010.6	1765.3	438.7	231.7	-76.7	8.3	592.2	1802.0	3116.8	3327.7	3795.7
1949	2854.7	503.6	181.8	570.5	179.0	-143.2	-236.9	24.5	1583.1	2199.9	3607.4	3476.3
1950	1559.9	130.7	240.0	412.1	143.5	-169.1	-194.0	-86.7	572.7	1777.2	3535.5	2691.9
1951	578.7	-214.8	-176.3	34.5	67.4	-128.0	-189.1	-5.5	1379.1	2384.2	3898.2	2933.8
1952	678.6	53.1	101.5	293.0	13.2	-175.8	-238.5	-3.1	1323.4	3375.5	3154.1	2693.8
1953	2193.5	434.4	270.0	545.4	81.2	-195.4	-198.3	-124.8	1503.3	1858.5	2958.1	3650.7
1954	2601.8	721.5	1421.1	570.5	237.6	-177.4	-167.7	84.0	956.6	1901.7	2061.7	2957.1
1955	3069.6	2628.4	2515.0	97.2	10.4	-176.4	-261.2	236.6	1718.7	1478.7	3885.8	4129.2
1956	2840.6	2335.6	1070.1	1032.3	491.1	-140.3	-181.8	-44.4	1406.0	1701.2	3732.2	3258.7
1957	1741.7	34.6	266.4	350.0	229.0	-123.2	-178.4	95.6	1481.7	2099.4	3603.6	3006.7
1958	2102.8	834.2	231.4	814.0	290.6	-46.6	-188.2	67.4	1175.1	1891.3	3724.6	3747.3
1959	1468.0	99.8	268.8	551.8	49.7	-138.4	-182.7	-155.7	1154.5	2570.2	3921.0	2641.6
1960	2015.1	429.9	146.5	279.4	118.6	-99.5	-147.7	-107.0	1153.3	2201.2	3497.8	3578.7
1961	1829.0	185.0	204.5	389.3	261.8	-94.1	-166.4	-22.1	1509.3	2114.7	2998.9	3447.5
1962	2247.8	122.9	280.5	529.0	39.2	-104.2	-128.7	-41.1	1388.9	1824.4	2740.2	3527.2
1963	1675.2	93.3	137.9	522.9	167.7	-133.0	-164.9	15.3	853.9	793.6	2604.9	4072.5
1964	2543.2	2273.3	2181.5	609.4	-51.8	-98.5	-92.3	669.5	1519.4	1989.4	2648.6	3622.2
1965	3547.4	1739.3	839.6	296.5	-25.4	-82.7	-102.4	337.8	1313.2	1881.2	3175.7	2804.7
1966	3630.2	1109.7	972.3	571.4	438.6	-122.9	-113.7	200.8	1774.4	2615.0	3536.1	3560.6
1967	3196.5	1657.5	566.2	472.3	360.2	-145.1	-147.7	207.8	1345.8	2157.9	2992.0	3412.9
1968	2707.2	2011.5	554.5	338.3	64.7	-147.6	-172.9	197.4	580.3	1864.3	3293.8	3888.0
1969	3003.7	1604.2	1719.3	331.9	125.7	-68.7	-135.5	5.5	1329.4	2350.8	2774.7	3053.9
1970	3151.7	1862.1	894.4	470.7	132.4	-106.7	-159.4	263.9	1357.6	1538.5	3096.5	3400.0
