# http://www.glerl.noaa.gov/ftp/publications/tech_reports/glerl-083/UpdatedFiles/ accessed Oct. 22, 2014
# Evaporation.xlsx!SUP
# Units: Monthly Evaporation (mm over lake) from GLERL Lake Evaporation Model (Lake area: 81,925 km2) 
# Data calculated and compiled by Tim Hunter at 
# U.S. Department of Commerce
# National Oceanic and Atmospheric Administration
# Office of Oceanic and Atmospheric Research
# Great Lakes Environmental Research Laboratory
# 4840 South State Road
# Ann Arbor, MI  48108
# tim.hunter@noaa.gov
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	Ann
1950	57.11	18.49	13.32	15.34	4.65	-5.50	-6.49	-3.78	0.67	37.11	98.17	74.57	303.66
1951	29.84	7.02	2.84	0.93	1.62	-4.71	-6.32	-5.57	25.31	67.78	113.17	83.23	315.14
1952	35.52	13.70	11.26	11.45	0.02	-6.05	-7.79	-5.75	29.05	100.83	91.28	81.54	355.06
1953	62.16	29.08	21.63	19.52	1.57	-6.41	-6.64	-5.93	42.75	59.74	91.00	113.04	421.51
1954	77.84	24.14	44.40	13.29	5.54	-5.72	-5.41	3.96	34.75	65.60	67.15	96.20	421.74
1955	98.04	72.65	62.65	1.61	0.09	-5.43	-6.34	18.55	64.95	54.23	129.61	136.97	627.58
1956	92.26	67.42	44.75	28.35	12.97	-4.48	-5.81	2.86	55.01	61.90	120.93	106.46	582.62
1957	73.35	18.98	19.22	14.98	6.36	-4.61	-6.29	-0.42	44.50	67.49	113.08	93.06	439.70
1958	58.62	39.33	17.98	26.66	6.94	-2.21	-6.81	2.02	39.58	65.37	118.66	120.05	486.19
1959	63.35	21.29	17.30	19.08	1.38	-4.72	-6.01	-6.39	32.89	83.76	120.92	83.93	426.78
1960	62.20	29.21	20.97	11.98	3.62	-3.66	-5.18	-5.41	35.17	72.45	107.05	113.44	441.84
1961	60.03	20.85	20.02	14.81	7.49	-3.90	-6.17	-2.32	47.04	68.05	94.12	111.68	431.70
1962	77.71	23.33	15.94	18.67	0.75	-4.01	-4.85	-3.33	36.61	57.80	83.01	110.37	412.00
1963	64.71	19.07	10.88	16.60	3.98	-4.82	-6.06	-3.86	21.68	24.63	81.49	127.14	355.44
1964	76.58	61.05	65.61	16.64	-2.20	-3.46	-0.60	34.40	54.80	70.14	89.84	121.71	584.51
1965	119.27	56.28	33.16	7.95	-1.77	-3.46	-3.26	16.74	50.52	63.98	108.96	92.43	540.80
1966	121.52	38.72	31.87	14.34	11.59	-5.06	-4.31	10.84	64.84	88.47	115.63	120.54	608.99
1967	99.51	54.64	28.76	13.49	7.75	-5.74	-5.75	8.52	51.78	80.07	99.68	119.09	551.80
1968	82.10	66.33	24.48	8.20	-0.59	-5.72	-6.53	10.44	23.43	64.98	111.97	133.18	512.27
1969	96.32	43.25	45.32	6.21	2.43	-2.73	-4.07	5.92	58.69	84.20	92.10	99.23	526.87
1970	99.50	61.64	37.36	12.91	2.75	-4.09	-3.99	22.76	56.60	55.41	100.33	114.50	555.68
1971	126.83	47.65	36.23	15.96	2.49	-3.20	4.18	28.47	43.84	53.92	102.39	119.68	578.44
1972	130.53	56.48	38.33	18.22	-0.10	-2.21	-3.16	7.25	68.89	90.10	75.93	118.69	598.95
1973	71.86	57.26	17.40	19.17	4.14	-4.89	-3.72	2.39	56.07	52.12	98.73	109.51	480.04
1974	90.49	61.13	53.48	15.48	4.48	-3.93	-4.50	11.92	57.45	58.73	77.51	91.77	514.01
1975	96.36	57.81	62.63	27.83	-1.70	-4.46	-2.73	19.80	59.00	59.40	81.04	110.53	565.51
1976	107.25	54.69	55.45	10.76	6.03	-3.42	3.53	33.45	78.46	81.57	118.06	130.39	676.22
1977	96.79	43.38	20.67	12.18	-2.11	-4.96	-3.28	26.97	39.34	91.33	107.10	141.14	568.55
1978	114.13	43.20	32.28	27.34	1.48	-3.35	-5.87	-2.07	32.13	85.44	115.58	104.05	544.34
1979	87.38	29.28	26.45	16.44	2.03	-3.94	-5.04	-2.81	24.03	68.69	90.60	108.52	441.63
1980	93.48	40.58	30.25	10.62	0.07	-2.35	-4.14	-1.11	54.30	93.95	100.29	141.07	557.01
1981	71.62	35.10	32.58	19.24	3.16	-4.11	-4.34	0.00	53.86	74.49	88.73	105.24	475.57
1982	98.41	34.08	29.25	21.90	-1.57	-1.39	-5.33	-0.13	24.46	51.34	89.54	88.25	428.81
1983	79.25	43.53	55.27	26.97	11.83	-2.00	-4.10	1.75	53.69	76.80	115.83	146.34	605.16
1984	77.84	34.14	48.92	8.60	3.81	-4.66	-4.81	-0.34	47.01	55.51	106.99	109.39	482.40
1985	85.89	39.65	32.23	18.50	-0.94	-2.70	-3.28	9.43	45.27	65.94	133.02	164.86	587.87
1986	84.73	40.68	33.05	11.92	2.00	-3.13	-6.55	5.07	27.11	66.43	133.86	105.82	500.99
1987	99.64	56.26	52.51	17.00	5.21	-3.15	-3.13	26.86	38.35	117.69	112.65	121.16	641.05
