# Lake Superior Outflow through St. Marys River
# Data provided by Jacob Bruxer@ec.gc.ca, accessed Oct. 21, 2014
# Lake Superior data through 2013.xls!NBS
# LAKE SUPERIOR NBS CALCULATIONS USING ACTUAL MONTH & COORDINATED LAKE SURFACE AREA FOR CIS CONVERSION
# Apr-10
# (Residual?) NET BASIN SUPPLY VALUES - m^3/sec
#
# Meta data from cover email:
# Our office and Detroit USACE coordinate beginning-of-month water levels, change in storage, outflows, 
# diversions and residual NBS for Lake Superior, so I can provide that.  As for the other water budget 
# components, there are no coordinated runoff or evaporation datasets, you’d need to use something from
# Tim Hunter at GLERL and/or Vincent’s GEM data.  There is the coordinated precipitation dataset available, 
# but again you may prefer to use something different/better, such as CaPA from Vincent.  I was going 
# to mention during the hydrologic call the other day that I’m not aware of any records of consumptive 
# use/withdrawals from the Great Lakes, but that like groundwater flow, this is typically assumed to be 
# negligible (and on Lake Superior, it’s likely an especially suitable assumption).
#  
# I’ve attached a spreadsheet of what I’d call close to coordinated data from 1900 through 2013.  Note 
# that this data was last officially coordinated during the IUGLS for the period-of-record 1900-2008.  
# For Lake Superior, I believe the only major change then was the use of actual (rather than constant)
# month lengths, and this is reflected in the attached.  We haven’t officially coordinated any of this 
# data since, owing mainly to the fact we haven’t coordinated St. Clair and Detroit River outflows since 
# then and we typically coordinate all lakes at the same time.  But you picked a good lake, as the 
# Superior Board needs this data and coordinates it regularly, if only unofficially. 
#  
# So with the disclaimer that it’s not coordinated per so, I’ve added the years 2009 through 2013 myself 
# in the attached spreadsheet and also made a couple other modifications where I know there have been 
# updates since the IUGLS.  I’ve highlighted these changes in red.  I’m fairly confident these are the 
# best available datasets and are at least suitable to get you started (in the meantime, I’ve also CC’d 
# Keith so he or someone in his office can review what I’ve done). 
#
	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1900	-520	1160	-80	3340	3710	2210	5380	6420	7360	2050	-190	-1300
1901	-1130	-260	1340	3560	3380	5720	5200	2440	390	2900	-320	-720
1902	-890	60	1300	3630	4600	4800	3020	2120	2180	1790	1490	-500
1903	-340	-2000	2620	4290	8110	2500	4690	2580	3220	1370	370	-2220
1904	-110	950	1010	1980	6750	4220	2380	4280	3410	3470	-710	-1080
1905	-1470	990	2820	3050	5300	5490	4300	3690	4100	790	1540	-380
1906	-740	790	-350	4680	4440	5920	2490	2520	2170	910	800	-520
1907	260	650	1900	1350	6640	4740	3270	5250	4160	620	-760	-2280
1908	-640	670	310	3340	7720	5690	3970	1570	1140	170	-1560	-350
1909	-860	710	0	3080	6800	2100	5630	2760	1520	890	2270	260
1910	-250	-940	690	3460	3140	2130	2480	2900	1000	90	-350	-2040
1911	-280	-620	-200	1990	6070	5070	5930	3620	2710	230	-200	410
1912	-860	550	860	5650	4460	4660	2730	3790	1350	1700	-1530	30
1913	-1920	-340	3480	4260	5610	3250	4830	3350	3420	1960	1580	-1220
1914	-780	-90	0	4660	5350	3970	3650	2460	2270	10	510	-2650
1915	1590	-480	-890	3710	4430	6760	3650	2150	5000	2730	2470	540
1916	780	10	1030	7800	7560	5950	3390	2940	4210	1500	-570	610
1917	-1770	400	2380	2170	4390	4800	2860	3500	1690	570	-530	-1220
1918	30	450	-310	3390	5850	4890	2990	3100	1150	2760	1660	720
1919	-510	570	60	4440	3790	3170	1920	1250	1670	-200	1990	-1090
1920	470	690	4090	3860	4160	5580	3750	1880	-90	1320	-1120	720
1921	-1780	-430	1530	5390	5100	2340	3170	1730	1100	-560	-1730	-2010
1922	-1200	-90	1300	4780	5310	4070	3420	1940	980	-760	-1430	-710
1923	-730	-1280	1220	2770	2930	2860	3710	2170	1530	1190	-110	-650
1924	-920	-790	0	3490	2200	2770	3260	4260	2100	860	-1320	-1870
1925	-590	-170	1250	2940	3230	4090	3030	1670	2420	-880	-1070	-830
1926	-780	-770	1590	1640	3850	5090	4650	3110	4670	1860	1710	750
1927	-410	1020	2930	4950	7670	4740	5210	1370	2240	1260	420	-50
1928	-30	150	1460	4710	5640	5900	4710	4500	3810	4060	140	-1060
1929	110	1220	2310	3490	3700	3100	4420	920	2730	780	60	-560
1930	-590	880	110	2560	5010	5850	4020	1080	1370	440	320	-1290
1931	-760	-1280	-450	2390	3700	3830	3230	1050	2510	1900	2240	-30
1932	-340	660	110	3190	5590	2510	4760	3230	-610	200	50	-280
1933	-450	650	-110	4840	6400	3490	2870	1200	2360	1230	220	-620
1934	720	0	1420	3280	5620	3340	3270	1630	4830	1600	3040	-590
1935	450	-620	2760	4300	4030	5370	5110	2080	900	2500	90	90
1936	0	1180	2150	3740	7870	3410	1490	2750	1110	-240	-670	340
1937	280	2150	-30	5640	6050	2470	4800	3270	800	1430	1090	-640
1938	-80	400	2310	7400	5050	6480	2650	3200	1870	890	1170	-110
1939	530	760	1780	4000	6840	7060	3890	3250	1280	110	-700	-1500
1940	-340	-450	-310	2450	7090	6020	3230	1110	760	-80	1100	-450
1941	-700	-640	-130	6430	4420	4500	2800	2590	5460	3070	160	-110
1942	-450	-510	1960	4080	6450	2860	3470	2800	1570	2540	1210	-830
1943	-180	420	1490	3540	7400	8430	3080	3170	550	620	-200	-1990
1944	-630	-750	950	3180	6810	7200	5120	3980	2700	-830	1540	-1700
1945	200	1360	4190	5220	3880	3430	3430	3150	1990	30	970	-740
1946	480	320	3220	2770	3740	4360	2800	1960	3020	2420	700	-820
1947	-780	-370	120	5800	5910	8620	2420	2800	1800	350	-370	-1260
1948	-710	-580	1120	7750	2480	2640	3110	3100	240	-880	1900	-670
1949	-20	-190	590	3110	5170	4990	4950	1420	990	2250	-310	-390
1950	410	-290	1450	4300	9960	6390	5280	3540	2100	2490	1970	-1000
1951	-580	2510	2180	6670	5470	5620	3410	4240	4030	2370	690	200
1952	360	-440	950	5430	3000	5630	6740	3270	420	-2330	160	-740
1953	90	570	1580	4650	6770	6950	4300	3670	480	-230	-210	-30
1954	-260	520	390	6330	7460	5590	2480	1270	1760	400	390	-1740
1955	-1140	270	1310	5700	3910	2760	3540	2940	1040	1620	1630	-1010
1956	-170	-960	-180	3010	6100	3540	4500	2150	950	110	-40	-20
1957	-1890	420	1530	5320	3350	5020	3290	1310	1780	-370	1390	-740
1958	60	-480	320	2890	2430	4610	4440	2650	2410	440	1070	-1080
1959	-740	60	810	3150	6740	4140	2460	5670	3830	1770	-930	-380
1960	140	-690	20	6850	7280	3490	3350	2220	920	80	1650	-1860
1961	-660	1120	1770	3350	4720	2850	2540	860	2460	1530	-190	-120
1962	-1360	1390	790	2640	6160	2680	2460	3010	1990	-510	-1050	-1030
1963	120	-300	1920	4050	3760	5610	2190	2400	1150	410	170	-1880
1964	340	-790	310	5630	7480	4850	2690	3720	3360	330	1120	-320
1965	-470	550	1290	4410	7070	3510	3600	3370	3550	2080	2350	360
1966	150	320	2660	4060	5090	3320	3190	3960	230	2110	260	-130
1967	670	250	1320	6660	3150	5340	2590	3040	-180	1920	-280	-570
1968	-610	-430	2130	6590	4150	7230	6530	4870	4650	2820	-1000	880
1969	1560	70	410	5650	4490	3450	3130	3270	400	470	-190	-980
1970	260	180	340	4890	7450	4050	4630	1550	1990	3020	2040	530
1971	-940	2520	1320	5080	6470	4770	2990	2530	1690	3060	1270	-260
1972	550	270	2310	4240	5690	3040	4910	5510	3130	-70	900	-480
1973	-460	150	3560	3380	5980	4210	3870	4040	1230	1230	-630	-510
1974	180	-40	180	5510	4700	5850	4260	4150	1230	1210	1180	-200
1975	780	580	180	3150	5060	5090	2730	890	1650	-380	3080	-590
1976	-290	540	2790	5440	2500	4330	2410	380	-1330	-1020	-1620	-1720
1977	-150	330	4130	3600	2770	3450	4070	3650	6720	1330	1700	550
1978	-1000	-670	820	2380	4950	4280	4280	4550	1920	-730	-220	-780
1979	-640	1140	4280	5620	7660	6310	3310	1840	1770	2290	1510	-1250
1980	750	-280	170	4280	3160	3060	2980	3550	3250	710	-610	-1600
1981	-660	2480	1810	5830	3290	6680	1540	1740	-310	1000	-370	-570
1982	-950	-490	1230	4730	6210	2510	5970	2860	2910	4800	1710	1700
1983	-310	140	1740	4250	4940	3710	3290	2450	1270	3110	2280	-1110
1984	-600	1700	960	4730	3460	6960	3060	3220	1490	1670	240	580
1985	-590	860	1920	5060	5390	3440	4100	3680	4080	3340	3640	-550
1986	-470	630	2320	6020	2770	4500	4250	2720	2630	1100	-60	-1200
1987	-860	-150	710	1630	3570	2090	3950	1790	180	-850	550	-350
1988	-740	-1240	1720	3000	3390	2380	1690	5680	1770	750	4770	-420
1989	530	-600	1450	4010	5790	5230	1870	2470	-240	1030	-1020	-930
1990	0	-880	1520	3730	3410	5410	3060	990	2340	2500	500	-1140
1991	-660	-560	3010	4390	4710	3810	3520	1420	1230	2470	3150	-230
1992	0	-140	850	3340	5110	2620	4360	2790	4010	1600	860	1350
1993	-330	-1900	710	4880	6360	4200	4860	3270	190	890	-670	630
1994	-1090	670	1430	4850	4440	4120	3840	2590	2930	-200	-560	-480
1995	-1080	-840	1600	2340	4270	2170	3890	3060	1640	4230	-410	-230
