# Based on data from NBS_SUP_djh.xlsx, TAB PrcLd (in CMS)
# Computed by D. Holtschlag using formulas consistent with similar data
#   Note: It is not clear to djh why mm are multiplied by Area!$G$6 (Coor Lake) rather than Area!$F$6 
#         (Coor Land) in conversion 
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1948	1296.30	962.03	1800.54	2676.17	712.37	2148.16	2666.47	2229.98	1193.17	1452.32	2873.82	1952.27
1949	2017.86	1569.24	1692.33	593.26	2417.57	3343.86	3243.66	1906.90	2521.91	3139.75	1961.28	1213.84
1950	2549.38	1126.70	1489.10	2290.37	2921.20	3557.67	2815.44	2199.94	1690.78	2508.00	2871.60	1631.03
1951	827.31	2021.62	2526.70	1632.81	1435.77	3542.78	1950.43	3404.28	4216.18	2543.56	1845.98	1381.82
1952	1539.38	795.25	1518.22	1336.03	1630.72	3519.66	4814.91	2808.70	1464.94	926.94	1814.94	1120.35
1953	1745.05	1602.50	1629.80	1618.24	3192.78	3814.86	2868.78	2860.20	2780.38	671.29	1630.60	2018.78
1954	1934.79	1345.60	1546.73	2703.41	3214.23	2671.42	1501.06	2138.02	2963.14	2252.36	1262.22	746.08
1955	1425.65	1678.52	2117.79	1184.94	2137.41	1759.51	2991.08	2796.13	2902.01	2836.90	2922.91	1692.33
1956	1200.97	705.46	723.71	1520.69	2620.80	2485.81	2152.12	2598.73	2473.77	1253.08	2354.99	2212.51
1957	1098.90	1267.88	1142.42	2014.17	1810.65	3357.17	2265.54	1484.20	3969.75	1025.64	2940.02	1238.67
1958	1280.97	654.64	585.47	1216.93	1760.07	3325.18	2973.92	3293.62	2770.24	1524.05	2945.40	1427.49
1959	940.12	788.01	939.50	1145.98	3352.17	2299.24	2238.87	4310.68	3938.08	2574.51	1762.68	1062.42
1960	1380.59	884.70	852.76	3245.04	2480.72	2324.27	1898.93	2529.45	2486.76	1974.64	2519.70	1202.81
1961	571.98	1445.03	1627.35	1584.99	2496.04	1681.59	2582.48	1892.80	4017.26	1993.95	1806.07	1764.06
1962	1620.91	1790.51	705.32	1693.63	3084.27	1810.19	2123.92	3511.87	2956.49	1062.73	1020.87	1774.48
1963	852.14	1048.31	1126.18	1747.16	2111.66	3321.69	2026.75	2465.08	2056.62	856.13	2152.91	1549.18
1964	1780.30	1005.61	1364.96	2474.72	3285.35	4167.08	1784.29	3743.61	3674.86	1738.31	1981.87	1796.24
1965	1260.44	1995.49	1023.49	1139.33	3030.32	2174.45	2616.20	2810.23	4655.82	1810.04	3322.96	1799.92
1966	1403.28	990.28	2225.38	1645.80	1284.04	2135.80	2484.09	3804.91	1560.91	3154.77	2130.74	1723.90
1967	2134.96	1130.10	1327.87	2257.75	1146.10	3193.41	2057.71	2924.26	1107.65	2969.63	1574.22	1296.30
1968	877.28	964.32	1913.03	2901.69	2005.29	4517.40	4336.12	2336.34	3180.42	3381.90	1158.65	2591.37
1969	2579.11	573.19	509.14	1378.15	2300.48	2663.50	2233.35	2432.59	2499.11	2391.82	1472.86	1551.33
1970	1465.20	1006.23	820.26	1992.32	3905.76	2058.20	3077.83	1623.06	3950.43	3891.04	2309.70	1966.06
1971	1661.68	2258.50	1424.12	1024.67	3312.02	2367.66	2325.92	1778.47	3284.00	3667.59	2514.95	1825.98
1972	2385.39	1363.42	2006.52	894.17	1574.93	2009.11	3967.06	3508.50	3240.92	1495.54	1594.81	1882.07
1973	1098.59	1063.24	1624.59	1515.30	2665.25	3343.55	2817.59	3300.68	2824.40	1838.24	1889.69	1476.23
1974	1647.58	1095.48	1173.38	2362.28	2566.85	2783.23	2669.54	3822.38	2558.34	2037.79	2353.09	1017.97
1975	2531.29	1121.61	1450.79	1201.09	1717.77	3657.44	2112.89	1725.44	2474.40	1932.34	3153.82	1422.59
1976	2042.69	1582.95	2874.30	1368.33	644.62	3335.95	2014.18	1233.46	1488.38	1184.42	1419.96	1739.84
1977	1402.97	1635.42	2892.38	1773.13	1774.48	3525.36	2620.19	4172.44	4111.65	1956.86	2592.55	2122.39
1978	1063.03	656.34	889.23	1090.23	2838.74	2595.40	3564.29	3445.05	2264.40	1490.33	1881.78	1636.85
1979	1107.17	1568.22	2971.16	1490.60	2736.05	3288.75	2350.14	2783.26	2200.74	3535.17	1781.05	1337.07
1980	2352.28	733.97	1100.74	1150.73	1231.93	2095.26	2732.38	3245.19	4388.80	2081.93	1132.36	1801.76
1981	890.46	2134.29	1172.46	2107.61	1821.99	4290.93	1304.58	1549.80	1711.05	2866.02	948.33	1836.40
1982	1982.31	888.47	1244.80	1583.40	2412.36	2006.26	4460.88	2493.28	3602.33	3770.27	2230.83	2188.60
1983	1444.66	1002.49	1117.90	1490.91	2067.83	1983.77	2805.33	2269.52	4078.39	3110.94	2733.18	2269.52
1984	1530.79	847.34	993.76	1371.18	1887.90	4286.49	2669.54	2450.98	3078.75	2468.15	1430.10	2848.55
1985	1285.26	1355.78	1261.66	1667.66	3080.28	2582.73	3252.55	3238.76	5007.40	2227.53	3353.68	1864.60
1986	1277.60	1264.15	1334.31	2047.12	1504.74	3676.13	2855.29	3224.04	3221.92	2144.46	2078.16	1074.99
1987	1028.40	714.71	708.69	587.88	2394.58	1490.91	3664.22	3246.42	2374.31	2306.61	1654.04	1617.23
1988	1783.98	1227.44	1983.53	760.50	2172.96	2335.35	2398.26	5678.09	2925.76	2488.07	3264.05	2217.41
1989	1874.10	1502.72	1360.36	1208.69	2027.67	2851.01	1181.66	2979.44	1795.62	1819.85	2083.22	1701.22
1990	1691.41	1208.15	1223.65	1971.10	1793.49	4065.72	2450.98	1890.04	3056.89	3174.69	1490.28	1603.13
1991	1611.41	721.84	1718.69	2134.54	2809.31	2695.49	3279.83	1469.18	3993.19	2921.20	3301.74	1360.36
1992	1185.64	1245.13	686.31	1947.66	2159.17	2060.42	3598.31	3288.41	4284.28	1519.14	1989.15	2542.94
1993	1295.38	341.40	594.05	2342.64	3064.04	2765.49	4251.52	2549.07	3060.38	2256.03	1566.61	1070.70
1994	1494.62	604.08	1021.65	2302.73	2271.67	2814.90	3484.28	3009.48	2492.77	1871.04	2079.42	630.52
1995	1373.24	1663.92	1001.73	1457.02	2591.99	1388.29	3387.12	2438.72	4146.81	4385.78	2233.04	1856.63
1996	3175.00	1994.83	892.91	2168.43	1581.98	2701.19	4238.95	2423.09	2840.88	3464.36	2184.90	2363.01
1997	2647.16	724.21	1759.46	960.68	1978.32	2849.43	2417.57	1649.11	2107.30	2505.55	2128.52	884.63
1998	1346.26	627.83	1851.11	1002.49	1564.20	2475.35	2155.49	2566.24	2858.61	3468.34	2343.90	1596.39
1999	1555.62	1888.25	973.53	1289.78	3621.61	3128.80	4161.71	2830.46	4035.32	3065.26	1109.24	1267.18
