# http://www.glerl.noaa.gov/ftp/publications/tech_reports/glerl-083/UpdatedFiles/ accessed Oct. 22, 2014
# NBS_SUP_djh!Run_CMS modified on Oct. 23, 2014 by Dave Holtschlag, USGS
# Used original NBS_SUP.xlsx!Evp in mm and converted to cms using formula, area, and days in Tim Hunter's spreadsheet
# Monthly runoff to Lk Superior from land surface (INCLUDES) the Ogoki Diversiohn
# Data calculated and compiled by Tim Hunter at 
# U.S. Department of Commerce
# National Oceanic and Atmospheric Administration
# Office of Oceanic and Atmospheric Research
# Great Lakes Environmental Research Laboratory
# 4840 South State Road
# Ann Arbor, MI  48108
# tim.hunter@noaa.gov
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1948	600	616	804	4172	2306	903	765	757	664	581	739	766
1949	691	709	753	2406	2980	1185	1581	765	678	1105	1028	782
1950	767	791	796	2181	7665	2817	2175	1484	1110	1256	1184	1270
1951	1158	1202	1416	4035	3820	2277	1506	1126	1847	2090	2066	1564
1952	1334	1335	1403	3395	1862	1695	2364	1591	1176	974	1010	1027
1953	973	953	1391	2361	3248	3073	2266	1786	1142	1003	1043	1170
1954	1114	1229	1288	3548	4381	2678	1443	1165	1057	1301	1227	1108
1955	1083	1079	1105	3053	1701	1247	1118	1206	1010	1146	1243	1117
1956	1085	1072	945	2547	2653	1495	1426	1064	1084	958	1110	1047
1957	982	983	1095	3002	1934	1582	1729	1040	1058	1001	1288	1154
1958	1123	1100	1079	1777	1161	1240	1611	1129	1388	1148	1437	1294
1959	1171	1176	1173	1838	2473	1546	1166	1062	1524	2058	1677	1225
1960	1194	1083	1022	3230	4238	1722	1024	946	974	918	1254	1112
1961	964	954	1120	2266	2706	1612	1168	932	1245	1494	1505	1226
1962	1107	1081	1174	1812	2707	1514	994	1055	1145	1043	1091	1003
1963	991	984	1105	1923	1813	2234	1140	1032	1027	952	1022	1009
1964	1006	1053	1121	2484	3657	2299	1706	1339	1528	1689	1675	1519
1965	1344	1371	1397	2834	3257	1848	1193	1120	1348	2047	1699	1633
1966	1617	1526	1937	3031	3563	2414	1472	1425	1238	1539	1543	1471
1967	1375	1426	1511	3611	2770	2216	1287	1238	1163	1422	1447	1118
1968	1028	1010	1466	3278	2300	3104	2706	1824	1964	2524	1984	1739
1969	1647	1661	1642	4290	3140	1984	1645	1273	1200	1393	1435	1271
1970	1262	1236	1172	2364	3619	2315	1546	1205	1354	1739	2230	1718
1971	1354	1316	1493	3982	3822	2521	1394	1123	1005	1740	2415	1636
1972	1309	1256	1284	2521	4177	1757	1561	1985	1668	1629	1608	1063
1973	1059	985	1828	2580	3162	1741	1379	1370	1302	1567	1439	1156
1974	939	934	937	2592	3421	2743	1566	1440	1366	1593	1781	1295
1975	1288	1191	1172	2778	3491	2117	1243	829	938	933	1307	1188
1976	980	984	1426	4661	2343	1418	976	775	686	697	750	642
1977	505	519	1126	2710	1494	1032	918	784	2502	2354	2006	1465
1978	1194	1076	993	2190	2418	2043	1554	1315	1202	1071	996	1012
1979	975	982	1202	3729	4946	2762	1456	1110	1203	1727	1927	1311
1980	1226	1190	1199	2615	2145	1354	1025	1094	1644	1718	1298	1053
1981	950	1120	1377	3241	2379	2249	1382	984	817	1004	732	657
1982	639	602	646	2662	3581	1205	1661	1008	1059	2496	2500	1778
1983	1317	1141	1566	2432	3086	2192	1319	849	910	1982	1727	1386
1984	1127	1208	1099	3050	2709	2517	1638	1166	1093	1310	1513	1404
1985	1087	1032	1205	3126	2692	1932	1448	1584	1769	2901	2314	1500
1986	1215	1128	1285	3985	2863	1530	1409	1180	1467	1468	1488	1147
1987	961	919	1160	1556	1272	785	829	816	790	972	1036	932
1988	868	815	856	2577	2192	1040	598	1259	1370	1729	2394	1595
1989	1348	1297	1197	2786	3945	2426	1282	862	900	799	1033	835
1990	752	792	1303	1964	2321	1762	1579	985	1111	1599	1408	1118
1991	997	991	1213	2952	2580	1471	1250	748	952	1372	2022	1346
1992	1121	1024	1219	2357	3731	1638	1595	1037	2188	1973	1792	1333
1993	1204	1068	1120	2382	3104	2355	2037	1437	1509	1707	1524	1186
1994	1086	1075	1023	2284	2398	1875	1596	1291	1229	1166	1195	1133
1995	1027	1002	1564	1761	2386	1201	1440	962	933	2349	1895	1278
1996	1209	1261	1236	2671	5552	2805	2007	1725	1401	1511	2186	1520
1997	1480	1375	1382	3754	3403	1697	1674	795	724	823	970	761
1998	734	813	1220	2110	908	907	593	444	450	931	1088	1144
1999	828	921	1060	3131	2532	1903	2123	1319	1227	1562	1363	1183
2000	1132	1235	2102	2043	2132	2045	1534	1084	946	988	1121	794
2001	737	795	930	5039	3102	1602	1052	788	808	1208	1492	1828
2002	1326	1150	1211	3748	2591	1965	1324	1147	1044	1939	1212	1031
2003	969	871	1113	2743	2688	1064	922	832	831	1394	1467	1244
2004	1165	1099	1477	3653	2746	2087	1306	1190	1601	1752	1730	1306
2005	1306	1307	1229	3297	2018	1617	1051	749	654	1520	1584	1422
2006	990	1061	1166	3485	2507	1157	773	674	469	543	655	680
2007	659	720	1293	1866	1234	1126	1331	955	1132	3034	1747	1336
2008	1319	1301	1237	3713	3124	2908	2327	1271	1106	1217	1352	1054
2009	1073	1121	1361	2618	2704	1596	1161	1422	1151	1157	1414	1089
2010	1047	1016	1658	1008	929	818	653	704	993	1286	1255	1115
