# Lake Superior Outflow through St. Marys River
# Data provided by Jacob Bruxer@ec.gc.ca, accessed Oct. 21, 2014
# Lake Superior data through 2013.xls!St. Marys Flow
# LAKE SUPERIOR NBS CALCULATIONS USING ACTUAL MONTH & COORDINATED LAKE SURFACE AREA FOR CIS CONVERSION
# Apr-10
# CHANGE IN STORAGE USING ACTUAL MONTH AND COORDINATED LAKE SURFACE AREA - m^3/sec
#
# Meta data from cover email:
# Our office and Detroit USACE coordinate beginning-of-month water levels, change in storage, outflows, 
# diversions and residual NBS for Lake Superior, so I can provide that.  As for the other water budget 
# components, there are no coordinated runoff or evaporation datasets, you’d need to use something from
# Tim Hunter at GLERL and/or Vincent’s GEM data.  There is the coordinated precipitation dataset available, 
# but again you may prefer to use something different/better, such as CaPA from Vincent.  I was going 
# to mention during the hydrologic call the other day that I’m not aware of any records of consumptive 
# use/withdrawals from the Great Lakes, but that like groundwater flow, this is typically assumed to be 
# negligible (and on Lake Superior, it’s likely an especially suitable assumption).
#  
# I’ve attached a spreadsheet of what I’d call close to coordinated data from 1900 through 2013.  Note 
# that this data was last officially coordinated during the IUGLS for the period-of-record 1900-2008.  
# For Lake Superior, I believe the only major change then was the use of actual (rather than constant)
# month lengths, and this is reflected in the attached.  We haven’t officially coordinated any of this 
# data since, owing mainly to the fact we haven’t coordinated St. Clair and Detroit River outflows since 
# then and we typically coordinate all lakes at the same time.  But you picked a good lake, as the 
# Superior Board needs this data and coordinates it regularly, if only unofficially. 
#  
# So with the disclaimer that it’s not coordinated per so, I’ve added the years 2009 through 2013 myself 
# in the attached spreadsheet and also made a couple other modifications where I know there have been 
# updates since the IUGLS.  I’ve highlighted these changes in red.  I’m fairly confident these are the 
# best available datasets and are at least suitable to get you started (in the meantime, I’ve also CC’d 
# Keith so he or someone in his office can review what I’ve done). 
#
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1900	2240	2180	2070	2070	2180	2210	2320	2440	2610	2660	2660	2380
1901	2240	2120	1950	1980	2150	2240	2440	2440	2290	2290	2210	2040
1902	1870	1760	1610	1730	1840	1950	2100	2120	2180	2100	2120	1950
1903	1810	1730	1700	1760	1980	2180	2240	2270	2270	2290	2270	2070
1904	2040	1930	1930	1980	2150	2320	2380	2440	2460	2550	2460	2290
1905	2210	2010	1900	2100	2240	2320	2460	2460	2520	2630	2490	2380
1906	2320	2150	2100	2150	2290	2440	2490	2520	2490	2440	2380	2240
1907	2100	2010	1900	1980	2040	2210	2350	2490	2580	2460	2410	2320
1908	2120	1980	1840	1760	1900	2210	2440	2490	2410	2320	2240	2100
1909	1900	1730	1530	1500	1590	1780	1950	2150	2150	2120	1950	2100
1910	1900	1780	1610	1560	1610	1810	1870	1980	1950	1930	1870	1640
1911	1560	1420	1330	1360	1470	1590	1640	1780	1760	1760	1700	1640
1912	1590	1530	1470	1530	1700	1810	1810	1950	1980	2010	1950	1870
1913	1760	1700	1640	1730	1930	1980	2070	2120	2150	2270	2210	2150
1914	1980	1950	1840	1810	1980	2070	2120	2150	2270	2460	2410	1950
1915	1900	1900	1870	1810	1980	2010	2120	2150	2150	2120	2150	2070
1916	2010	1980	1950	2100	2350	2780	2780	2940	3260	3340	3230	3060
1917	2520	2440	2380	2490	2550	2580	2550	2270	2320	2410	2320	1840
1918	1870	1810	1840	1810	1870	2040	1760	1870	2100	2150	1980	1640
1919	1640	1590	1590	1590	1640	1590	1610	1560	1670	1640	1670	1670
1920	1700	1670	1640	1640	2320	2410	2520	2800	2440	1930	1730	1640
1921	1590	1610	1530	1590	1420	1390	1640	1730	1730	1590	1440	1360
1922	1250	1270	1300	1300	1330	1220	1270	1330	1300	1390	1420	1440
1923	1420	1440	1530	1500	1700	1590	1560	1560	1530	1500	1470	1500
1924	1530	1500	1530	1590	1590	1500	1420	1500	1470	1470	1530	1500
1925	1560	1530	1560	1670	1700	1560	1500	1670	2100	2180	2100	1930
1926	1670	1610	1590	1640	1700	1610	1590	1270	1190	1250	1390	1670
1927	2040	2040	2010	2100	2150	2210	2150	2290	2240	2180	2320	2100
1928	2120	2120	2070	2180	2270	2100	1950	2350	2860	3140	3310	2920
1929	1950	1560	1700	2860	2780	2150	2580	2150	2100	1700	1640	1590
1930	1560	1560	1640	1610	1640	1730	2180	2610	2320	1670	1590	1470
1931	1390	1440	1390	1440	1250	1300	1390	1360	1560	1590	1610	1500
1932	1500	1640	1640	1610	1610	1560	1700	1700	2240	2040	1950	1560
1933	1390	1330	1420	1360	1500	1590	1950	1810	1730	1840	2120	1530
1934	1640	1700	1730	1700	1640	2070	2660	2860	2610	2210	2410	2780
1935	1980	1760	2150	2720	2800	2520	2660	2690	2800	3110	2940	1930
1936	1840	1840	1840	1840	2350	2460	2410	2440	2380	2210	2180	1870
1937	1810	1810	1810	1840	1760	2150	2040	2040	2070	2040	2040	1810
1938	1760	1760	1700	1700	2290	3310	3570	3510	3450	3340	2750	1730
1939	1760	1780	1780	2100	2860	2940	3280	3570	3510	3170	2150	1870
