# Lake Superior Change In Storage
# Data provided by Jacob Bruxer@ec.gc.ca, accessed Oct. 21, 2014
# Lake Superior data through 2013.xls!Change In Storage
# LAKE SUPERIOR NBS CALCULATIONS USING ACTUAL MONTH & COORDINATED LAKE SURFACE AREA FOR CIS CONVERSION
# Apr-10
# CHANGE IN STORAGE USING ACTUAL MONTH AND COORDINATED LAKE SURFACE AREA - m^3/sec
#
# Meta data from cover email:
# Our office and Detroit USACE coordinate beginning-of-month water levels, change in storage, outflows, 
# diversions and residual NBS for Lake Superior, so I can provide that.  As for the other water budget 
# components, there are no coordinated runoff or evaporation datasets, you’d need to use something from
# Tim Hunter at GLERL and/or Vincent’s GEM data.  There is the coordinated precipitation dataset available, 
# but again you may prefer to use something different/better, such as CaPA from Vincent.  I was going 
# to mention during the hydrologic call the other day that I’m not aware of any records of consumptive 
# use/withdrawals from the Great Lakes, but that like groundwater flow, this is typically assumed to be 
# negligible (and on Lake Superior, it’s likely an especially suitable assumption).
#  
# I’ve attached a spreadsheet of what I’d call close to coordinated data from 1900 through 2013.  Note 
# that this data was last officially coordinated during the IUGLS for the period-of-record 1900-2008.  
# For Lake Superior, I believe the only major change then was the use of actual (rather than constant)
# month lengths, and this is reflected in the attached.  We haven’t officially coordinated any of this 
# data since, owing mainly to the fact we haven’t coordinated St. Clair and Detroit River outflows since 
# then and we typically coordinate all lakes at the same time.  But you picked a good lake, as the 
# Superior Board needs this data and coordinates it regularly, if only unofficially. 
#  
# So with the disclaimer that it’s not coordinated per so, I’ve added the years 2009 through 2013 myself 
# in the attached spreadsheet and also made a couple other modifications where I know there have been 
# updates since the IUGLS.  I’ve highlighted these changes in red.  I’m fairly confident these are the 
# best available datasets and are at least suitable to get you started (in the meantime, I’ve also CC’d 
# Keith so he or someone in his office can review what I’ve done). 
#
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1900	-2760	-1020	-2150	1270	1530	0	3060	3980	4750	-610	-2850	-3680
1901	-3370	-2380	-610	1580	1230	3480	2760	0	-1900	610	-2530	-2760
1902	-2760	-1700	-310	1900	2760	2850	920	0	0	-310	-630	-2450
1903	-2150	-3730	920	2530	6130	320	2450	310	950	-920	-1900	-4290
1904	-2150	-980	-920	0	4600	1900	0	1840	950	920	-3170	-3370
1905	-3680	-1020	920	950	3060	3170	1840	1230	1580	-1840	-950	-2760
1906	-3060	-1360	-2450	2530	2150	3480	0	0	-320	-1530	-1580	-2760
1907	-1840	-1360	0	-630	4600	2530	920	2760	1580	-1840	-3170	-4600
1908	-2760	-1310	-1530	1580	5820	3480	1530	-920	-1270	-2150	-3800	-2450
1909	-2760	-1020	-1530	1580	5210	320	3680	610	-630	-1230	320	-1840
1910	-2150	-2720	-920	1900	1530	320	610	920	-950	-1840	-2220	-3680
1911	-1840	-2040	-1530	630	4600	3480	4290	1840	950	-1530	-1900	-1230
1912	-2450	-980	-610	4120	2760	2850	920	1840	-630	-310	-3480	-1840
1913	-3680	-2040	1840	2530	3680	1270	2760	1230	1270	-310	-630	-3370
1914	-2760	-2040	-1840	2850	3370	1900	1530	310	0	-2450	-1900	-4600
1915	-310	-2380	-2760	1900	2450	4750	1530	0	2850	610	320	-1530
1916	-1230	-1970	-920	5700	5210	3170	610	0	950	-1840	-3800	-2450
1917	-4290	-2040	0	-320	1840	2220	310	1230	-630	-1840	-2850	-3060
1918	-1840	-1360	-2150	1580	3980	2850	1230	1230	-950	610	-320	-920
1919	-2150	-1020	-1530	2850	2150	1580	310	-310	0	-1840	320	-2760
1920	-1230	-980	2450	2220	1840	3170	1230	-920	-2530	-610	-2850	-920
1921	-3370	-2040	0	3800	3680	950	1530	0	-630	-2150	-3170	-3370
1922	-2450	-1360	0	3480	3980	2850	2150	610	-320	-2150	-2850	-2150
1923	-2150	-2720	-310	1270	1230	1270	2150	610	0	-310	-1580	-2150
1924	-2450	-2290	-1530	1900	610	1270	1840	2760	630	-610	-2850	-3370
1925	-2150	-1700	-310	1270	1530	2530	1530	0	320	-3060	-3170	-2760
1926	-2450	-2380	0	0	2150	3480	3060	1840	3480	610	320	-920
1927	-2450	-1020	920	2850	5520	2530	3060	-920	0	-920	-1900	-2150
1928	-2150	-1970	-610	2530	3370	3800	2760	2150	950	920	-3170	-3980
1929	-1840	-340	610	630	920	950	1840	-1230	630	-920	-1580	-2150
1930	-2150	-680	-1530	950	3370	4120	1840	-1530	-950	-1230	-1270	-2760
1931	-2150	-2720	-1840	950	2450	2530	1840	-310	950	310	630	-1530
1932	-1840	-980	-1530	1580	3980	950	3060	1530	-2850	-1840	-1900	-1840
1933	-1840	-680	-1530	3480	4900	1900	920	-610	630	-610	-1900	-2150
1934	-920	-1700	-310	1580	3980	1270	610	-1230	2220	-610	630	-3370
1935	-1530	-2380	610	1580	1230	2850	2450	-610	-1900	-610	-2850	-1840
1936	-1840	-660	310	1900	5520	950	-920	310	-1270	-2450	-2850	-1530
1937	-1530	340	-1840	3800	4290	320	2760	1230	-1270	-610	-950	-2450
1938	-1840	-1360	610	5700	2760	3170	-920	-310	-1580	-2450	-1580	-1840
1939	-1230	-1020	0	1900	3980	4120	610	-310	-2220	-3060	-2850	-3370
1940	-2150	-2290	-1840	950	5520	4430	1530	-610	-950	-1840	-630	-2150
1941	-2450	-2380	-1840	4750	2760	2850	1230	920	3800	920	-2850	-2450
1942	-2760	-2380	310	1580	4600	630	920	610	-630	610	-320	-2450
1943	-1840	-1360	-610	1270	4900	5380	-310	-310	-2850	-2450	-2850	-3980
1944	-2450	-2290	-610	1580	5210	5700	3060	1230	-320	-3980	-1270	-3980
1945	-1840	-680	2150	2850	920	630	1530	1230	0	-2150	-1580	-2760
1946	-1530	-1700	1230	950	1840	2530	920	0	950	310	-1270	-2760
1947	-2760	-2380	-1840	3800	3980	6650	-610	-310	-950	-2760	-2850	-3370
1948	-2760	-2620	-920	5700	610	950	1530	1530	-1270	-2450	320	-2150
1949	-1530	-1700	-920	1580	3680	3480	3370	-310	-950	310	-2220	-2150
1950	-1230	-2040	-310	2530	8280	3480	1840	0	-1270	-920	-1270	-3980
1951	-2760	340	0	3800	2150	2220	0	920	630	-920	-2530	-2450
1952	-1840	-2620	-1230	3170	0	3480	4900	0	-2850	-5520	-2850	-2760
1953	-1840	-1360	-310	2530	4290	4430	1530	310	-2850	-3370	-2850	-2150
1954	-2150	-1360	-1530	4430	5520	3480	-310	-1840	-1270	-2150	-1580	-3370
1955	-2760	-1360	-310	4120	2150	950	1840	1230	0	310	-630	-3060
1956	-2150	-2950	-2150	950	4290	2220	3060	310	-950	-1840	-1900	-1840
1957	-3680	-1360	0	3800	2150	3800	1840	-310	0	-2150	-320	-2450
1958	-1840	-2380	-1530	1270	920	3170	3060	1230	950	-1230	-630	-2760
1959	-2450	-1700	-920	1270	4900	2530	920	3980	1900	-1230	-4120	-2760
1960	-1840	-2620	-1840	5070	5520	630	310	-610	-1900	-2450	-320	-3680
1961	-2450	-680	0	1580	3060	1270	920	-610	950	0	-1900	-1840
1962	-3060	-340	-920	950	4600	1270	920	1530	630	-2150	-2850	-2760
1963	-1530	-2040	310	2530	2150	4120	610	920	-630	-1230	-1580	-3370
1964	-1230	-2620	-1530	3800	5820	3170	610	1230	630	-2450	-1900	-2760
1965	-2760	-1700	-920	2220	4600	950	610	310	630	-610	-320	-1840
1966	-1840	-1700	610	1900	3060	1580	610	1530	-2530	-310	-1900	-2150
1967	-1230	-1700	-610	4750	920	3170	310	610	-2530	0	-2220	-2450
1968	-2450	-2290	310	4750	2450	5700	3980	1530	1270	-610	-4120	-1840
1969	-610	-2380	-2150	2850	1530	630	0	0	-2220	-1230	-1900	-2760
1970	-1530	-2040	-1530	3170	5820	2530	3060	-920	0	1530	-320	-2150
1971	-3370	340	-920	2530	3680	1900	0	-310	-1270	0	-1580	-2760
1972	-1530	-1640	310	2220	2760	0	1840	2450	0	-3060	-2220	-2760
1973	-2450	-1360	2150	1900	4600	2850	1840	1530	-1900	-1230	-2850	-2760
1974	-1840	-2040	-1840	3480	2760	3480	2150	2150	-630	-610	-950	-2760
1975	-1530	-1700	-2150	630	2450	2850	610	-1230	-320	-2150	1270	-2450
1976	-2150	-1310	920	3480	310	2220	310	-1530	-3170	-2760	-3170	-3370
1977	-1840	-1360	2450	1900	1230	1900	2760	2150	5070	-1230	-1270	-1840
1978	-3060	-2720	-1230	320	2760	2220	2150	2150	-630	-3370	-2850	-2760
1979	-2450	-680	2450	3800	5520	3800	310	-1230	-1270	-310	-950	-3370
1980	-1230	-2290	-1840	2220	920	950	920	1530	1270	-1530	-2850	-3370
1981	-2450	680	0	3800	920	4120	-1230	-920	-2530	-310	-1580	-1840
1982	-2150	-1700	0	3480	4600	630	3980	610	630	2450	-950	-920
1983	-2450	-2040	-610	1900	2150	950	610	-310	-950	1530	0	-3370
1984	-2760	-330	-1230	2530	920	4430	310	310	-1270	-310	-1270	-1230
1985	-2450	-1020	0	3170	3680	1900	2450	1530	1270	0	0	-3370
1986	-2760	-1700	0	3800	0	1580	1230	-310	-320	-1230	-1580	-3060
1987	-2760	-2040	-1230	-320	1230	0	2450	310	-1270	-2450	-950	-1840
1988	-2450	-2950	0	1270	1530	630	310	4290	0	-920	3480	-2450
1989	-1530	-2720	-610	1900	3370	2850	-610	0	-2530	-920	-2850	-2760
1990	-1840	-2720	-310	1900	1530	4120	1530	-610	630	920	-1270	-2760
1991	-2150	-2040	1530	2530	2760	1900	1530	-920	-630	610	1270	-2450
1992	-2150	-2290	-1230	1270	3060	630	2450	610	1900	-610	-1270	-610
1993	-2450	-4070	-1230	2850	4290	1900	2760	1230	-1580	-920	-2530	-1230
1994	-3060	-1360	-610	2850	2150	1900	1840	610	950	-2150	-2530	-2450
1995	-3060	-2720	0	630	2450	630	2450	1230	0	2450	-2530	-2150
1996	-920	-660	-610	2850	4290	3480	3060	1230	-630	-920	-2850	-1530
1997	-610	-2380	0	3170	1840	950	310	-1840	0	-1840	-1900	-2760
1998	-2150	-1360	310	320	610	2220	-920	-1230	-1900	-1840	-630	-1840
1999	-1840	-340	-1230	2850	4290	1900	3980	-610	-950	-1840	-2530	-2450
2000	-2150	-2290	1530	320	1840	4430	0	-610	-2530	-1530	-1580	-3060
2001	-1840	-1360	-920	9180	3680	1900	610	310	-2530	-920	630	-610
2002	-3370	-1700	-920	4120	1840	2220	1530	-310	950	-610	-2220	-3370
2003	-3680	-2040	610	2220	3370	-320	1840	-310	630	-1230	-630	-2450
2004	-1840	-1310	920	3480	3680	1900	920	920	320	2150	-3170	-1840
