# http://www.glerl.noaa.gov/ftp/publications/tech_reports/glerl-083/UpdatedFiles/ accessed Oct. 22, 2014
# GL Diversions, 1900-present!LongLac & Ogoki
# NOTE: Using rounded rather than raw diversion data.
# Combined Long Lac and Ogoki Diversions - m3/sec
# Obtained from Ontario Power Generation Inc, via Environment Canada, Cornwall
# Data calculated and compiled by Tim Hunter at 
# U.S. Department of Commerce
# National Oceanic and Atmospheric Administration
# Office of Oceanic and Atmospheric Research
# Great Lakes Environmental Research Laboratory
# 4840 South State Road
# Ann Arbor, MI  48108
# tim.hunter@noaa.gov
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1900	0	0	0	0	0	0	0	0	0	0	0	0
1901	0	0	0	0	0	0	0	0	0	0	0	0
1902	0	0	0	0	0	0	0	0	0	0	0	0
1903	0	0	0	0	0	0	0	0	0	0	0	0
1904	0	0	0	0	0	0	0	0	0	0	0	0
1905	0	0	0	0	0	0	0	0	0	0	0	0
1906	0	0	0	0	0	0	0	0	0	0	0	0
1907	0	0	0	0	0	0	0	0	0	0	0	0
1908	0	0	0	0	0	0	0	0	0	0	0	0
1909	0	0	0	0	0	0	0	0	0	0	0	0
1910	0	0	0	0	0	0	0	0	0	0	0	0
1911	0	0	0	0	0	0	0	0	0	0	0	0
1912	0	0	0	0	0	0	0	0	0	0	0	0
1913	0	0	0	0	0	0	0	0	0	0	0	0
1914	0	0	0	0	0	0	0	0	0	0	0	0
1915	0	0	0	0	0	0	0	0	0	0	0	0
1916	0	0	0	0	0	0	0	0	0	0	0	0
1917	0	0	0	0	0	0	0	0	0	0	0	0
1918	0	0	0	0	0	0	0	0	0	0	0	0
1919	0	0	0	0	0	0	0	0	0	0	0	0
1920	0	0	0	0	0	0	0	0	0	0	0	0
1921	0	0	0	0	0	0	0	0	0	0	0	0
1922	0	0	0	0	0	0	0	0	0	0	0	0
1923	0	0	0	0	0	0	0	0	0	0	0	0
1924	0	0	0	0	0	0	0	0	0	0	0	0
1925	0	0	0	0	0	0	0	0	0	0	0	0
1926	0	0	0	0	0	0	0	0	0	0	0	0
1927	0	0	0	0	0	0	0	0	0	0	0	0
1928	0	0	0	0	0	0	0	0	0	0	0	0
1929	0	0	0	0	0	0	0	0	0	0	0	0
1930	0	0	0	0	0	0	0	0	0	0	0	0
1931	0	0	0	0	0	0	0	0	0	0	0	0
1932	0	0	0	0	0	0	0	0	0	0	0	0
1933	0	0	0	0	0	0	0	0	0	0	0	0
1934	0	0	0	0	0	0	0	0	0	0	0	0
1935	0	0	0	0	0	0	0	0	0	0	0	0
1936	0	0	0	0	0	0	0	0	0	0	0	0
1937	0	0	0	0	0	0	0	0	0	0	0	0
1938	0	0	0	0	0	0	0	0	0	0	0	0
1939	0	0	0	0	0	0	0	10	10	0	0	0
1940	0	0	0	0	20	20	30	40	20	0	0	0
1941	10	20	20	20	40	50	40	30	40	30	50	40
1942	40	30	20	20	50	60	60	50	40	20	60	50
1943	40	30	20	20	50	60	90	120	140	160	150	130
1944	110	100	80	70	130	230	210	80	70	110	80	70
1945	80	60	60	70	100	200	250	180	110	110	110	100
1946	90	80	80	110	280	350	300	160	110	130	210	210
1947	140	110	80	70	220	240	280	150	140	120	100	100
1948	100	80	60	70	230	260	260	210	130	100	90	130
1949	100	100	100	140	290	300	150	140	100	100	130	140
1950	140	120	110	100	250	60	70	60	200	100	190	190
1951	140	100	90	70	130	80	100	130	110	220	210	270
1952	180	140	110	60	30	60	60	40	40	40	20	100
1953	170	110	90	90	150	260	260	40	40	90	220	150
1954	210	160	120	110	210	70	40	170	170	170	180	210
1955	140	130	110	120	280	310	280	160	120	110	120	130
1956	120	110	100	90	140	410	320	200	140	120	120	130
1957	110	90	80	90	270	310	80	190	120	120	160	130
1958	110	110	100	110	250	320	230	170	150	200	250	190
1959	160	140	110	100	140	340	360	260	190	170	150	140
1960	120	110	90	90	170	280	220	140	100	80	100	110
1961	110	100	100	100	270	370	220	140	100	110	130	120
1962	110	110	100	90	140	290	240	220	230	170	130	110
1963	110	100	90	90	120	240	200	280	260	170	120	100
1964	100	100	90	100	320	360	210	340	300	360	260	190
1965	150	130	140	130	190	240	210	170	140	200	220	210
1966	190	160	130	130	240	500	140	290	180	130	110	100
1967	110	90	80	100	180	380	270	180	110	90	100	100
