# http://www.glerl.noaa.gov/ftp/publications/tech_reports/glerl-083/UpdatedFiles/ accessed Oct. 22, 2014
# NBS_SUP.xlsx!NBS_comp_cms_LakePrc
# Lake Superior Net Basin Supply (expressed as cubic meters per second)
# Component Method using overlake precipitation depth  (precip + runoff - evaporation)
# Formula: =('NBS_comp_mm _LakePrc'!B5 / 1000) * Area!$G$6 / (Days!B5*86400)
#
# Data calculated and compiled by Tim Hunter at 
# U.S. Department of Commerce
# National Oceanic and Atmospheric Administration
# Office of Oceanic and Atmospheric Research
# Great Lakes Environmental Research Laboratory
# 4840 South State Road
# Ann Arbor, MI  48108
# tim.hunter@noaa.gov
Year	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
1948	-1344	-1340	695	6779	2734	2630	3020	2161	-342	-1353	812	-846
1949	90	2041	2474	2319	5174	4494	5439	2304	1716	1862	-44	-1221
1950	2261	2061	2187	4185	10147	6058	4768	4107	2292	1432	941	371
1951	1680	3685	4249	5956	5283	5939	3299	4523	4521	2070	8	165
1952	2314	1917	2701	4448	3474	5371	6265	4099	893	-1567	-384	-656
1953	253	2282	2721	3590	6699	6451	5448	4524	2172	16	-105	-419
1954	521	1768	1318	5957	7182	5373	2561	2712	3046	1346	326	-1184
1955	-491	-148	1489	4406	4092	3096	4053	3723	2339	2844	53	-1130
1956	-576	-591	533	2908	4860	3755	4126	3336	1758	13	-417	-89
1957	681	2225	1957	4349	3358	4570	3487	2254	2665	-92	507	-571
1958	189	1085	1313	2042	2397	3996	4595	4426	2704	711	938	-520
1959	847	1820	1910	2209	5820	3622	3061	6053	4488	2569	-589	-378
1960	681	1660	1747	6424	7146	3863	3486	3054	2059	657	101	-1300
1961	1	2017	2488	3207	4743	3517	2926	2197	3760	1338	584	-636
1962	503	2759	1310	2655	5475	3008	2657	3947	2559	125	-806	-845
1963	623	2031	2416	3448	3243	5398	2598	3346	1696	893	203	-1247
1964	-23	-201	302	4609	7101	4962	3371	3711	3247	1286	855	67
1965	-612	1955	1854	3868	6454	3900	3730	3280	4335	1941	1703	517
1966	-47	1595	3069	3645	4432	3989	3191	4759	1028	1732	-288	-351
1967	315	1424	2112	5053	3361	5615	3129	4000	752	2242	234	-808
1968	-616	290	2550	5669	4418	7212	6606	4315	4987	3435	-400	521
1969	1447	830	422	5651	4638	4196	3287	3357	1673	1659	-185	-209
1970	-75	321	1104	3640	7414	4093	4827	1911	3428	3520	1484	48
1971	-230	2295	2191	4460	6738	5285	3709	2303	2381	3580	1831	13
1972	-127	1265	2544	3231	5765	3897	5041	5424	2762	207	979	-337
1973	193	-168	2782	3359	6311	4733	4293	4439	2183	1535	203	-413
1974	-133	-175	-72	4157	5402	5828	4028	4027	1947	1679	1813	-403
1975	1347	751	755	3024	5199	5650	2849	1806	1769	629	2229	-403
1976	182	883	2860	5519	2996	4283	2435	652	-568	-528	-1724	-1471
1977	-888	564	3647	3859	2970	3874	3878	3886	5880	1379	856	-707
1978	-1163	769	1122	2541	4911	4265	5149	4375	2470	-409	-42	-150
1979	127	2312	4047	4461	7941	6184	3913	3300	2499	3232	507	-1043
1980	1276	1131	1376	3703	3229	3766	3417	4037	4347	809	-761	-1481
1981	-251	2882	1883	4864	3615	6855	2545	2638	882	1781	-1098	-101
1982	1343	995	1448	4191	5955	2664	5934	3589	2990	4564	1747	1116
1983	219	189	1263	2893	5226	4059	3324	3128	3016	2928	925	-116
1984	471	1165	1324	4096	4190	6515	3676	3545	2614	1845	-556	473
1985	36	1668	1830	3858	5728	4100	4452	4012	4835	3311	2775	-309
1986	45	1128	2365	4844	3842	4569	4583	3486	3301	1742	-341	-718
1987	-782	-352	287	1554	3697	2201	4485	3158	2044	189	-163	-719
1988	-743	-128	1382	2603	3830	2547	2162	6566	2322	1364	3223	162
1989	1154	62	894	3095	5712	5913	2128	2914	976	190	-1269	-1264
1990	-374	179	1474	2969	3912	5398	3635	2296	3222	2931	-155	-1128
1991	-335	793	2265	4626	4992	3977	4531	1805	2657	1926	1681	-477
1992	-385	363	424	3127	5471	3354	5287	3577	4593	1857	1433	813
1993	-78	-1174	41	3981	6219	4893	5414	3428	2159	1622	55	-370
1994	-464	258	1499	4012	4641	4436	4029	4044	2831	1202	266	-957
1995	-1191	-558	1303	2303	5076	2156	4794	3296	2780	4413	-407	-220
1996	752	1231	1001	4137	6784	6311	5705	4223	2986	2498	1031	792
1997	1543	47	1896	3877	5373	4166	3865	2072	1587	1009	74	-842
1998	-702	404	1414	2452	2384	3422	1455	1602	974	1038	256	-1519
1999	-1185	56	-53	3863	6677	4288	5856	2709	2720	1540	-234	-1588
2000	-1027	-222	2791	2349	3960	5543	2688	2130	640	592	100	-2876
2001	-669	-270	62	9476	6030	4071	2821	2490	1118	2197	2049	173
2002	-1422	-443	543	4984	4093	4239	3271	2739	3373	2284	-1021	-2233
2003	-2292	-367	1748	3820	5328	2479	3975	2119	2355	914	399	-425
2004	-1079	362	1773	4538	5449	3901	3174	3142	2709	3471	202	-883
2005	-687	422	200	3764	4208	4963	1871	1274	2275	3554	1359	-170
2006	-41	-1000	695	3916	5244	1999	2440	111	260	-744	-674	-212
2007	-2730	-2968	1482	2278	2398	3263	2675	1146	4241	5776	-1107	-1162
2008	-1004	-772	-7	5543	5132	6444	4637	1996	2246	180	153	-1739
2009	-1220	443	1252	4258	4285	3701	3617	4532	1194	1646	1098	-1402
2010	-903	-822	1103	1324	2096	4062	2589	2009	2933	591	465	-1800
